場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10, , ,1,塚本　浩司,0,099,108.88,3.512,119.55,3.856,3.45,2連率 10.0 3連率 10.0,ロンギヌス,川口,21期,59歳,1級,B-80,04/13川 7着2R 3.584 3.40 ST 0.24,04/12川 6着3R 3.516 3.45 ST 0.16,04/11川 5着6R 3.518 3.42 ST 0.17,04/07川 5着5R 3.833 3.83 ST 0.18,04/06川 6着1R 3.526 3.42 ST 0.19,04/05川 7着8R 3.545 3.42 ST 0.14,03/28川 4着9R 3.489 3.41 ST 0.08,03/27川 8着9R 3.519 3.44 ST 0.05,03/26川 1着5R 3.868 3.81 ST 0.24,03/11伊 8着4R 3.548 再3.47 ST 0.25,04/13川 7着2R 3.584 3.40 ST 0.24,04/12川 6着3R 3.516 3.45 ST 0.16,04/11川 5着6R 3.518 3.42 ST 0.17,04/06川 6着1R 3.526 3.42 ST 0.19,04/05川 7着8R 3.545 3.42 ST 0.14,6.2,,,04/07川 5着5R 3.833 3.83 ST 0.18,03/26川 1着5R 3.868 3.81 ST 0.24,02/25川 3着7R 3.898 3.81 ST 0.06,02/11川 3着8R 3.729 3.71 ST 0.16,-,3,,25%,-,-,-,-,-,,,,8,7
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10, , ,2,信沢　綾乃,20,084,107.87,3.457,121.02,3.879,3.39,2連率 20.0 3連率 40.0,Ｋハルソラ,川口,34期,27歳,1級,B-32,04/13川 ①着8R 3.413 3.36 ST 0.04,04/12川 1着5R 3.432 3.39 ST 0.08,04/11川 3着1R 3.460 3.37 ST 0.20,04/07飯 7着1R 3.498 3.41 ST 0.15,04/06飯 6着5R 3.503 3.40 ST 0.11,04/05飯 7着2R 3.540 3.43 ST 0.31,04/04飯 8着3R 3.596 再3.48 ST 0.22,03/28川 5着4R 3.495 3.41 ST 0.13,03/27川 3着8R 3.486 3.41 ST 0.19,03/26川 7着6R 3.923 3.83 ST 0.13,04/13川 ①着8R 3.413 3.36 ST 0.04,04/12川 1着5R 3.432 3.39 ST 0.08,04/11川 3着1R 3.460 3.37 ST 0.20,04/07飯 7着1R 3.498 3.41 ST 0.15,04/06飯 6着5R 3.503 3.40 ST 0.11,3.6,,40%,03/26川 7着6R 3.923 3.83 ST 0.13,03/18山 6着6R 3.852 3.83 ST 0.17,02/25川 4着12R 3.862 3.79 ST 0.12,02/14飯 7着4R 3.759 3.67 ST 0.17,-,6,,,-,-,-,-,-,,,,6,8
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10,◎, ,3,川原　　剛,20,062,106.66,3.419,118.55,3.800,3.34,2連率 40.0 3連率 60.0,マイヤン,川口,26期,48歳,1級,A-131,04/13川 1着2R 3.433 3.36 ST 0.16,04/12川 3着8R F 3.415 3.34 ST 0.27,04/11川 1着5R 3.426 3.37 ST 0.09,04/07川 7着11R 3.442 3.36 ST 0.14,04/06川 3着10R 3.445 3.35 ST 0.14,04/05川 1着2R 3.423 3.38 ST 0.05,03/26山 1着3R 3.454 3.34 ST 0.25,03/25山 4着2R 3.684 3.63 ST 0.20,03/24山 4着6R 3.431 3.34 ST 0.18,03/23山 4着3R 3.433 3.37 ST 0.19,04/13川 1着2R 3.433 3.36 ST 0.16,04/12川 3着8R F 3.415 3.34 ST 0.27,04/11川 1着5R 3.426 3.37 ST 0.09,04/07川 7着11R 3.442 3.36 ST 0.14,04/06川 3着10R 3.445 3.35 ST 0.14,3,,40%,03/25山 4着2R 3.684 3.63 ST 0.20,02/25川 7着8R 3.965 3.85 ST 0.12,02/14飯 7着5R 3.750 3.70 ST 0.37,02/11山 8着4R 3.765 3.67 ST 0.16,02/10山 8着8R 3.801 3.70 ST 0.05,6.8,,,03/24山 4着6R 3.431 3.34 ST 0.18,-,-,-,-,4,,,1,6
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10,▲,△,4,中尾　貴志,30,083,107.56,3.436,115.39,3.687,3.36,2連率 30.0 3連率 50.0,レッドマジック,飯塚,31期,36歳,1級,A-53,04/10飯 3着4R 3.495 3.42 ST 0.21,04/09飯 1着2R 3.642 3.61 ST 0.23,04/08飯 7着8R 3.454 3.36 ST 0.15,04/08飯 4着1R 3.433 3.34 ST 0.21,04/07飯 1着1R 3.444 3.36 ST 0.16,04/06飯 2着8R 3.443 3.37 ST 0.18,04/05飯 6着12R 3.441 3.35 ST 0.12,04/04飯 4着8R 3.444 3.40 ST 0.17,04/04飯 6着2R 3.486 3.37 ST 0.19,03/31飯 3着1R 3.640 3.58 ST 0.13,04/08飯 7着8R 3.454 3.36 ST 0.15,04/08飯 4着1R 3.433 3.34 ST 0.21,04/07飯 1着1R 3.444 3.36 ST 0.16,04/06飯 2着8R 3.443 3.37 ST 0.18,04/05飯 6着12R 3.441 3.35 ST 0.12,4,,40%,04/09飯 1着2R 3.642 3.61 ST 0.23,03/31飯 3着1R 3.640 3.58 ST 0.13,03/30飯 2着2R 3.778 3.70 ST 0.13,03/22飯 1着5R 3.744 3.67 ST 0.22,03/22飯 5着1R 3.757 3.70 ST 0.11,2.4,,60%,04/10飯 3着4R 3.495 3.42 ST 0.21,04/04飯 4着8R 3.444 3.40 ST 0.17,-,-,-,3.5,,,3,4
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10,△,▲,5,押田　和也,30,074,107.59,3.437,114.95,3.673,3.35,2連率 30.0 3連率 50.0,エガオノループ,伊勢崎,27期,48歳,1級,A-18,04/15伊 1着10R 3.412 3.34 ST 0.11,04/14伊 5着12R 3.426 3.36 ST 0.10,04/13伊 2着6R 3.441 3.38 ST 0.10,04/04伊 7着11R 3.561 3.37 ST 0.20,04/03伊 3着10R 3.444 3.35 ST 0.09,04/02伊 3着3R 3.476 3.39 ST 0.17,03/31浜 5着8R 3.779 3.67 ST 0.36,03/30浜 1着6R 3.427 3.37 ST 0.16,03/29浜 5着10R 3.457 3.39 ST 0.23,03/29浜 5着4R 3.473 3.37 ST 0.24,04/14伊 5着12R 3.426 3.36 ST 0.10,04/13伊 2着6R 3.441 3.38 ST 0.10,04/03伊 3着10R 3.444 3.35 ST 0.09,03/30浜 1着6R 3.427 3.37 ST 0.16,03/29浜 5着10R 3.457 3.39 ST 0.23,3.2,,40%,03/31浜 5着8R 3.779 3.67 ST 0.36,03/03飯 2着6R 3.613 3.56 ST 0.08,03/03飯 1着1R 3.626 3.61 ST 0.14,03/02飯 5着8R 3.723 3.69 ST 0.13,02/11川 5着1R 3.732 3.63 ST 0.22,3.6,,40%,04/15伊 1着10R 3.412 3.34 ST 0.11,04/04伊 7着11R 3.561 3.37 ST 0.20,04/02伊 3着3R 3.476 3.39 ST 0.17,-,-,3.7,,33.3%,4,3
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10,注,◎,6,早船　　歩,30,087,107.68,3.440,112.6,3.598,3.34,2連率 30.0 3連率 30.0,エレンシア,川口,27期,46歳,1級,A-59,04/13川 4着1R 3.438 3.34 ST 0.34,04/12川 4着5R 3.433 3.36 ST 0.17,04/11川 4着2R 3.454 3.36 ST 0.12,04/07川 1着7R 3.444 3.48 ST 0.12,04/06川 5着3R 3.460 3.36 ST 0.17,04/05川 5着7R 3.457 3.35 ST 0.09,03/28川 ⑦着12R 3.460 3.35 ST 0.14,03/27川 2着11R 3.423 3.34 ST 0.09,03/26川 1着12R 3.594 3.56 ST 0.16,03/08川 8着10R 3.421 3.32 ST 0.15,04/13川 4着1R 3.438 3.34 ST 0.34,04/12川 4着5R 3.433 3.36 ST 0.17,04/11川 4着2R 3.454 3.36 ST 0.12,04/06川 5着3R 3.460 3.36 ST 0.17,04/05川 5着7R 3.457 3.35 ST 0.09,4.4,,,03/26川 1着12R 3.594 3.56 ST 0.16,02/11川 1着5R 3.601 3.59 ST 0.17,-,-,-,1,,100%,04/07川 1着7R 3.444 3.48 ST 0.12,-,-,-,-,1,,100%,5,1
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10, ,注,7,横田　翔紀,40,093,108.53,3.456,115.41,3.675,3.32,2連率 30.0 3連率 50.0,Ｌ・ダウ,伊勢崎,34期,26歳,1級,A-4,04/15伊 6着8R 3.442 3.38 ST 0.22,04/14伊 2着7R 3.470 3.38 ST 0.13,04/13伊 7着2R 3.483 3.33 ST 0.17,03/31飯 ②着9R 3.494 3.50 ST 0.03,03/30飯 1着6R 3.730 3.71 ST 0.10,03/29飯 5着7R 3.418 3.31 ST 0.11,03/28飯 3着5R 3.408 3.32 ST 0.13,03/27飯 4着9R 3.402 3.33 ST 0.14,03/22浜 7着6R 3.448 3.33 ST 0.08,03/21浜 3着5R 3.421 3.33 ST 0.14,04/15伊 6着8R 3.442 3.38 ST 0.22,04/14伊 2着7R 3.470 3.38 ST 0.13,04/13伊 7着2R 3.483 3.33 ST 0.17,03/29飯 5着7R 3.418 3.31 ST 0.11,03/28飯 3着5R 3.408 3.32 ST 0.13,4.6,,20%,03/30飯 1着6R 3.730 3.71 ST 0.10,02/10山 1着8R 3.653 3.61 ST 0.11,02/07山 1着6R 3.643 3.58 ST 0.08,-,-,1,,100%,03/31飯 ②着9R 3.494 3.50 ST 0.03,-,-,-,-,2,,100%,7,5
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選11R,3100m,20:10,〇,〇,8,永井　大介,40,087,106.77,3.400,114.37,3.642,3.31,2連率 80.0 3連率 80.0,ビンテージ,川口,25期,49歳,1級,S-16,04/15伊 2着10R 3.408 3.32 ST 0.15,04/14伊 5着9R 3.428 3.31 ST 0.09,04/13伊 1着10R 3.404 3.32 ST 0.10,04/07川 ①着12R 3.378 3.31 ST 0.08,04/06川 2着10R 3.423 3.30 ST 0.14,04/05川 1着9R 3.414 3.32 ST 0.09,03/28川 1着7R 3.395 3.31 ST 0.25,03/27川 1着7R 3.417 3.30 ST 0.17,03/26川 4着10R 3.713 3.68 ST 0.15,03/22浜 1着10R 3.365 3.29 ST 0.14,04/14伊 5着9R 3.428 3.31 ST 0.09,04/13伊 1着10R 3.404 3.32 ST 0.10,04/07川 ①着12R 3.378 3.31 ST 0.08,04/06川 2着10R 3.423 3.30 ST 0.14,04/05川 1着9R 3.414 3.32 ST 0.09,2,,80%,03/26川 4着10R 3.713 3.68 ST 0.15,02/10山 1着12R 3.592 3.49 ST 0.08,02/07山 1着3R 3.622 3.56 ST 0.09,01/21飯 3着2R 3.647 3.54 ST 0.18,-,2.3,,50%,04/15伊 2着10R 3.408 3.32 ST 0.15,-,-,-,-,2,,100%,2,2
