車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,岩元　　毅,"投票締切
18:32",18:34,0,-,069,"2連率
0.0
3連率
0.0",04/04飯 6着3R 3.534 3.45 ST 0.19,03/22飯 6着3R 3.800 3.81 ST 0.13,03/21飯 7着4R 3.513 3.44 ST 0.18,03/20飯 6着1R 3.510 3.42 ST 0.17,03/19飯 7着3R 3.497 3.44 ST 0.23,03/15飯 6着1R 3.530 3.48 ST 0.19,03/14飯 6着6R 3.526 3.49 ST 0.11,03/13飯 7着7R 3.571 3.48 ST 0.17,03/09飯 7着1R 3.535 3.45 ST 0.20,03/08飯 7着4R 3.542 3.49 ST 0.17,04/04飯 6着3R 3.534 3.45 ST 0.19,03/21飯 7着4R 3.513 3.44 ST 0.18,03/20飯 6着1R 3.510 3.42 ST 0.17,03/19飯 7着3R 3.497 3.44 ST 0.23,03/15飯 6着1R 3.530 3.48 ST 0.19,6.4,-,-,03/22飯 6着3R 3.800 3.81 ST 0.13,03/03飯 5着3R 3.739 3.67 ST 0.15,03/02飯 4着3R 3.768 3.71 ST 0.22,-,-,5,-,-,-,-,-,-,-,-,-,-,37,0,0,0.14,0/0 0/10,0.0%,0.0%,3.46,3.529,3.497 (飯),0.0%,0/58,58,0.0%,0/9,9,0,0,0,351,480,511,7.9%,18.6%,30.1%
2,戸塚　　茂,"投票締切
18:32",18:34,0,-,091,"2連率
40.0
3連率
40.0",04/04飯 4着4R 3.494 3.45 ST 0.21,03/31浜 1着9R 3.733 3.69 ST 0.15,03/31浜 2着4R 3.827 3.68 ST 0.18,03/30浜 2着1R 3.606 3.70 ST 0.12,03/29浜 5着3R 3.505 3.42 ST 0.12,03/26山 5着6R 3.503 3.41 ST 0.24,03/26山 6着1R 3.506 3.39 ST 0.25,03/25山 1着3R 3.646 3.56 ST 0.19,03/24山 4着2R 3.486 3.37 ST 0.20,03/23山 6着6R 3.498 3.38 ST 0.26,04/04飯 4着4R 3.494 3.45 ST 0.21,03/29浜 5着3R 3.505 3.42 ST 0.12,03/26山 5着6R 3.503 3.41 ST 0.24,03/26山 6着1R 3.506 3.39 ST 0.25,03/24山 4着2R 3.486 3.37 ST 0.20,4.8,-,-,03/31浜 1着9R 3.733 3.69 ST 0.15,03/31浜 2着4R 3.827 3.68 ST 0.18,03/30浜 2着1R 3.606 3.70 ST 0.12,03/25山 1着3R 3.646 3.56 ST 0.19,03/03浜 1着5R 3.678 3.60 ST 0.14,1.4,-,100%,-,-,-,-,-,-,-,-,40,0,0,0.17,2/2 0/6,40.0%,40.0%,3.40,3.491,3.475 (浜),16.4%,9/55,55,85.7%,6/7,7,0,0,1,350,359,363,11.2%,22.7%,34.3%
3,中原　　誠,"投票締切
18:32",18:34,10,-,073,"2連率
20.0
3連率
50.0",04/04飯 3着5R 3.459 3.40 ST 0.23,03/22飯 3着3R 3.756 3.73 ST 0.17,03/21飯 6着5R 3.463 3.39 ST 0.16,03/20飯 2着4R 3.441 3.37 ST 0.16,03/19飯 4着1R 3.437 3.39 ST 0.14,03/15飯 6着2R 3.492 3.41 ST 0.26,03/14飯 2着8R 3.457 3.39 ST 0.14,03/13飯 4着5R 3.460 3.40 ST 0.17,03/09飯 7着2R 3.505 3.40 ST 0.16,03/08飯 3着2R 3.443 3.37 ST 0.20,03/21飯 6着5R 3.463 3.39 ST 0.16,03/20飯 2着4R 3.441 3.37 ST 0.16,03/19飯 4着1R 3.437 3.39 ST 0.14,03/15飯 6着2R 3.492 3.41 ST 0.26,03/14飯 2着8R 3.457 3.39 ST 0.14,4,-,40%,03/22飯 3着3R 3.756 3.73 ST 0.17,03/03飯 4着5R 3.682 3.59 ST 0.15,03/02飯 1着2R 3.743 3.70 ST 0.12,02/14飯 1着7R 3.648 3.61 ST 0.15,02/10飯 3着6R 3.723 3.60 ST 0.20,2.4,-,40%,04/04飯 3着5R 3.459 3.40 ST 0.23,-,-,-,-,3,-,-,47,0,0,0.15,0/2 3/5,20.0%,50.0%,3.39,3.463,3.437 (飯),22.4%,15/67,67,25.0%,3/12,12,0,0,3,374,358,347,12.4%,24.2%,35.7%
4,佳元　光義,"投票締切
18:32",18:34,10,-,080,"2連率
20.0
3連率
20.0",04/04飯 7着6R 3.564 3.39 ST 0.21,03/28川 8着8R 3.518 3.41 ST 0.19,03/27川 4着4R 3.487 3.38 ST 0.21,03/26川 5着3R 3.913 3.82 ST 0.08,03/22飯 4着6R 3.768 3.70 ST 0.19,03/21飯 6着7R 3.465 3.36 ST 0.19,03/20飯 2着6R 3.423 3.35 ST 0.14,03/19飯 2着7R 3.428 3.35 ST 0.14,03/15飯 4着5R 3.473 3.38 ST 0.16,03/14飯 5着4R 3.505 3.42 ST 0.36,03/28川 8着8R 3.518 3.41 ST 0.19,03/27川 4着4R 3.487 3.38 ST 0.21,03/21飯 6着7R 3.465 3.36 ST 0.19,03/20飯 2着6R 3.423 3.35 ST 0.14,03/19飯 2着7R 3.428 3.35 ST 0.14,4.4,-,40%,03/26川 5着3R 3.913 3.82 ST 0.08,03/22飯 4着6R 3.768 3.70 ST 0.19,03/03飯 6着3R 3.733 3.63 ST 0.16,03/02飯 6着4R 3.781 3.66 ST 0.17,02/02飯 7着8R 3.761 3.72 ST 0.14,5.6,-,-,04/04飯 7着6R 3.564 3.39 ST 0.21,-,-,-,-,7,-,-,39,0,0,0.15,0/2 0/8,20.0%,20.0%,3.39,3.470,3.423 (飯),41.8%,23/55,55,0.0%,0/14,14,0,0,2,317,356,271,11.4%,24.3%,34.1%
5,日名子　幹正,"投票締切
18:32",18:34,10,-,067,"2連率
10.0
3連率
20.0",04/04飯 5着7R 3.498 3.50 ST 0.08,03/31浜 7着3R 3.913 3.79 ST 0.11,03/30浜 5着8R 3.506 再3.43 ST 0.14,03/29浜 7着11R 3.531 3.39 ST 0.06,03/26山 6着4R 3.484 3.42 ST 0.03,03/25山 5着3R 3.679 3.59 ST 0.19,03/24山 5着6R 3.448 3.37 ST 0.11,03/23山 4着9R 3.453 3.39 ST 0.18,03/18山 ③着9R 3.684 3.57 ST 0.08,03/17山 1着5R 3.426 3.37 ST 0.10,03/30浜 5着8R 3.506 再3.43 ST 0.14,03/29浜 7着11R 3.531 3.39 ST 0.06,03/26山 6着4R 3.484 3.42 ST 0.03,03/23山 4着9R 3.453 3.39 ST 0.18,03/17山 1着5R 3.426 3.37 ST 0.10,4.6,-,20%,03/31浜 7着3R 3.913 3.79 ST 0.11,03/25山 5着3R 3.679 3.59 ST 0.19,03/18山 ③着9R 3.684 3.57 ST 0.08,03/06山 3着8R 3.626 3.60 ST 0.04,03/03山 7着7R 3.758 3.66 ST 0.14,5,-,-,04/04飯 5着7R 3.498 3.50 ST 0.08,03/24山 5着6R 3.448 3.37 ST 0.11,-,-,-,5,-,-,34,2,0,0.12,1/0 1/8,10.0%,20.0%,3.40,3.467,3.426 (山),26.8%,15/56,56,30.0%,3/10,10,2,0,0,17,9,11,11.6%,17.7%,25.2%
6,水本　竜二,"投票締切
18:32",18:34,20,-,071,"2連率
20.0
3連率
40.0",04/04飯 3着8R 3.449 3.45 ST 0.21,03/28川 5着2R 3.458 3.43 ST 0.16,03/27川 4着8R 3.481 3.39 ST 0.09,03/26川 5着5R 3.853 3.79 ST 0.15,03/22飯 2着4R 3.750 3.72 ST 0.08,03/21飯 7着8R 3.465 3.40 ST 0.19,03/20飯 1着7R 3.423 3.38 ST 0.08,03/19飯 3着3R 3.423 3.38 ST 0.14,03/15飯 6着4R 3.473 3.41 ST 0.25,03/14飯 4着6R 3.465 3.41 ST 0.16,03/27川 4着8R 3.481 3.39 ST 0.09,03/21飯 7着8R 3.465 3.40 ST 0.19,03/20飯 1着7R 3.423 3.38 ST 0.08,03/19飯 3着3R 3.423 3.38 ST 0.14,03/15飯 6着4R 3.473 3.41 ST 0.25,4.2,-,20%,03/26川 5着5R 3.853 3.79 ST 0.15,03/22飯 2着4R 3.750 3.72 ST 0.08,02/25川 2着1R 3.822 3.73 ST 0.06,02/14飯 3着2R 3.691 3.63 ST 0.09,02/02飯 3着1R 3.692 3.64 ST 0.10,3,-,40%,04/04飯 3着8R 3.449 3.45 ST 0.21,03/28川 5着2R 3.458 3.43 ST 0.16,-,-,-,4,-,-,44,0,0,0.17,1/1 2/6,20.0%,40.0%,3.38,3.451,3.415 (飯),26.8%,15/56,56,38.5%,5/13,13,0,0,1,298,369,476,10.7%,24.0%,41.1%
7,中村　颯斗,"投票締切
18:32",18:34,30,-,096,"2連率
10.0
3連率
20.0",04/04飯 6着11R 3.438 3.33 ST 0.04,03/31飯 5着2R 3.672 3.61 ST 0.16,03/30飯 6着1R 3.830 3.69 ST 0.14,03/29飯 7着1R 3.441 3.35 ST 0.21,03/28飯 7着5R 3.444 3.33 ST 0.11,03/27飯 7着6R 3.447 3.37 ST 0.08,03/22飯 6着7R 3.785 3.65 ST 0.15,03/21飯 3着6R 3.404 3.33 ST 0.07,03/20飯 1着4R 3.412 3.34 ST 0.11,03/19飯 5着2R 3.431 3.32 ST 0.21,04/04飯 6着11R 3.438 3.33 ST 0.04,03/29飯 7着1R 3.441 3.35 ST 0.21,03/28飯 7着5R 3.444 3.33 ST 0.11,03/27飯 7着6R 3.447 3.37 ST 0.08,03/21飯 3着6R 3.404 3.33 ST 0.07,6,-,-,03/31飯 5着2R 3.672 3.61 ST 0.16,03/30飯 6着1R 3.830 3.69 ST 0.14,03/22飯 6着7R 3.785 3.65 ST 0.15,03/09飯 5着7R 3.731 3.66 ST 0.18,03/02飯 1着5R 3.690 3.65 ST 0.20,4.6,-,20%,-,-,-,-,-,-,-,-,38,1,0,0.15,1/0 1/8,10.0%,20.0%,3.34,3.436,3.394 (飯),14.8%,9/61,61,14.3%,2/14,14,1,0,2,65,69,60,11.4%,23.6%,34.2%
8,高宗　良次,"投票締切
18:32",18:34,40,-,077,"2連率
40.0
3連率
50.0",04/04飯 6着7R 3.500 3.52 ST 0.22,04/04飯 2着1R 3.454 3.37 ST 0.23,03/31飯 7着7R 3.621 3.50 ST 0.07,03/31飯 3着2R 3.662 3.57 ST 0.07,03/30飯 6着9R 3.772 3.64 ST 0.08,03/29飯 2着4R 3.395 3.32 ST 0.06,03/28飯 2着4R 3.389 3.31 ST 0.11,03/27飯 4着2R 3.405 3.33 ST 0.15,03/22浜 2着2R 3.412 3.35 ST 0.02,03/21浜 6着6R 3.469 3.35 ST 0.08,04/04飯 2着1R 3.454 3.37 ST 0.23,03/29飯 2着4R 3.395 3.32 ST 0.06,03/28飯 2着4R 3.389 3.31 ST 0.11,03/27飯 4着2R 3.405 3.33 ST 0.15,03/22浜 2着2R 3.412 3.35 ST 0.02,2.4,-,80%,03/31飯 3着2R 3.662 3.57 ST 0.07,03/30飯 6着9R 3.772 3.64 ST 0.08,03/09飯 4着6R 3.731 3.71 ST 0.15,03/03飯 2着7R 3.622 3.53 ST 0.11,03/03飯 2着2R 3.624 3.58 ST 0.16,3.4,-,40%,04/04飯 6着7R 3.500 3.52 ST 0.22,03/31飯 7着7R 3.621 3.50 ST 0.07,-,-,-,6.5,-,-,50,1,0,0.13,0/4 1/5,40.0%,50.0%,3.34,3.417,3.385 (飯),28.4%,21/74,74,26.3%,5/19,19,1,0,5,221,239,239,13.3%,27.7%,42.1%
