レースID,日付,場所,グレード大会名,レース名,距離,天候,気温,湿度,走路温度,走路状況,車,選手名,発走予定,ハンデ,試走T,偏差,出走表_連率
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,1,栗原　勝測,-,0,3.41,060,"2連率
50.0
3連率
50.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,2,稲原　良太郎,-,0,3.42,089,"2連率
0.0
3連率
0.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,3,祐定　　響,-,10,3.39,098,"2連率
10.0
3連率
30.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,4,林　　弘明,-,10,3.35,080,"2連率
40.0
3連率
50.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,5,藤岡　一樹,-,10,3.37,082,"2連率
30.0
3連率
50.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,6,松尾　隆広,-,20,3.34,083,"2連率
10.0
3連率
10.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,7,渡辺　　篤,-,20,3.36,098,"2連率
30.0
3連率
40.0"
20260412_sanyou_05,2026-04-12,sanyou,Unknown,Unknown,3100m,曇,21.0℃,57.0%,38.0℃,良走路,8,山本　　翔,-,20,3.32,100,"2連率
50.0
3連率
60.0"
