車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,松本　　渉,"投票締切
10:54",10:56,0,-,094,"2連率
0.0
3連率
20.0",04/03伊 8着5R 3.597 3.48 ST 0.25,04/02伊 3着1R 3.558 3.59 ST 0.19,03/25伊 4着7R 3.484 3.39 ST 0.18,03/24伊 3着4R 3.519 3.43 ST 0.16,03/23伊 6着7R 3.510 3.45 ST 0.17,03/17伊 4着4R 3.526 3.43 ST 0.04,03/16伊 6着4R 3.546 3.46 ST 0.21,03/15伊 7着2R 3.587 3.46 ST 0.19,03/11伊 6着2R 3.523 3.43 ST 0.15,03/10伊 7着3R 3.518 3.47 ST 0.12,04/03伊 8着5R 3.597 3.48 ST 0.25,03/25伊 4着7R 3.484 3.39 ST 0.18,03/24伊 3着4R 3.519 3.43 ST 0.16,03/23伊 6着7R 3.510 3.45 ST 0.17,03/17伊 4着4R 3.526 3.43 ST 0.04,5,-,-,02/25伊 5着3R 3.732 3.67 ST 0.16,-,-,-,-,5,-,-,04/02伊 3着1R 3.558 3.59 ST 0.19,03/10伊 7着3R 3.518 3.47 ST 0.12,-,-,-,5,-,-,30,0,0,0.16,0/0 2/8,0.0%,20.0%,3.44,3.534,3.484 (伊),2.8%,1/36,36,0.0%,0/6,6,0,0,7,474,619,622,10.7%,24.8%,38.9%
2,千葉　泰将,"投票締切
10:54",10:56,10,-,081,"2連率
33.3
3連率
55.6",04/03伊 2着7R 3.486 3.40 ST 0.09,04/02伊 5着9R 3.477 3.40 ST 0.14,03/25伊 6着10R 3.839 3.68 ST 0.17,03/24伊 5着12R 3.465 3.42 ST 0.11,03/23伊 1着7R 3.465 3.39 ST 0.15,03/17伊 不成立11R - 3.39 ST 0.12,03/16伊 4着9R 3.461 3.40 ST 0.15,03/15伊 1着3R 3.445 3.39 ST 0.12,03/11伊 3着3R 3.492 3.38 ST 0.15,03/10伊 3着7R 3.466 3.38 ST 0.15,04/03伊 2着7R 3.486 3.40 ST 0.09,03/24伊 5着12R 3.465 3.42 ST 0.11,03/23伊 1着7R 3.465 3.39 ST 0.15,03/17伊 不成立11R - 3.39 ST 0.12,03/16伊 4着9R 3.461 3.40 ST 0.15,3,-,50%,03/25伊 6着10R 3.839 3.68 ST 0.17,02/25伊 7着6R 3.794 3.68 ST 0.17,-,-,-,6.5,-,-,-,-,-,-,-,-,-,-,34,0,0,0.15,2/1 2/4,33.3%,55.6%,3.39,3.471,3.445 (伊),12.8%,6/47,47,0.0%,0/8,8,0,0,5,363,393,420,10.6%,22.2%,34.5%
3,清岡　優一,"投票締切
10:54",10:56,10,-,096,"2連率
20.0
3連率
30.0",04/03伊 6着4R 3.559 再3.43 ST 0.17,04/02伊 5着7R 3.508 3.42 ST 0.18,03/25伊 1着3R 3.466 3.37 ST 0.12,03/24伊 7着5R 3.498 3.40 ST 0.20,03/23伊 5着4R 3.487 3.39 ST 0.17,03/17伊 5着2R 3.490 3.40 ST 0.16,03/16伊 8着7R 3.534 3.40 ST 0.22,03/15伊 7着7R 3.500 3.40 ST 0.13,03/11伊 3着6R 3.482 3.38 ST 0.16,03/10伊 1着7R 3.446 3.35 ST 0.05,04/03伊 6着4R 3.559 再3.43 ST 0.17,03/25伊 1着3R 3.466 3.37 ST 0.12,03/24伊 7着5R 3.498 3.40 ST 0.20,03/23伊 5着4R 3.487 3.39 ST 0.17,03/17伊 5着2R 3.490 3.40 ST 0.16,4.8,-,20%,02/25川 3着4R 3.860 3.78 ST 0.20,02/11川 2着2R 3.694 3.62 ST 0.20,-,-,-,2.5,-,50%,-,-,-,-,-,-,-,-,37,0,0,0.14,2/0 1/7,20.0%,30.0%,3.39,3.486,3.446 (伊),18.4%,9/49,49,45.5%,5/11,11,0,0,0,206,278,340,8.8%,20.6%,35.1%
4,栗原　勝測,"投票締切
10:54",10:56,20,-,067,"2連率
10.0
3連率
10.0",04/03伊 1着2R 3.462 3.40 ST 0.06,04/02伊 4着3R 3.490 3.45 ST 0.16,03/25伊 4着4R 3.465 3.44 ST 0.24,03/24伊 5着3R 3.492 3.40 ST 0.18,03/23伊 5着7R 3.471 3.39 ST 0.08,03/17伊 7着10R 3.473 3.40 ST 0.13,03/16伊 6着12R 3.465 3.41 ST 0.17,03/15伊 4着3R 3.436 3.40 ST 0.21,03/11伊 5着5R 3.481 3.41 ST 0.16,03/10伊 4着2R 3.449 3.43 ST 0.15,04/03伊 1着2R 3.462 3.40 ST 0.06,03/25伊 4着4R 3.465 3.44 ST 0.24,03/24伊 5着3R 3.492 3.40 ST 0.18,03/23伊 5着7R 3.471 3.39 ST 0.08,03/17伊 7着10R 3.473 3.40 ST 0.13,4.4,-,20%,02/25伊 4着3R 3.696 3.66 ST 0.14,02/10飯 4着5R 3.747 3.70 ST 0.15,02/10飯 5着1R 3.760 3.67 ST 0.13,-,-,4.3,-,-,04/02伊 4着3R 3.490 3.45 ST 0.16,03/10伊 4着2R 3.449 3.43 ST 0.15,-,-,-,4,-,-,40,0,0,0.15,1/0 0/9,10.0%,10.0%,3.40,3.467,3.436 (伊),10.2%,5/49,49,33.3%,3/9,9,0,0,11,577,645,584,12.5%,26.4%,39.0%
5,生方　将人,"投票締切
10:54",10:56,20,-,084,"2連率
20.0
3連率
30.0",04/03伊 5着7R 3.487 3.40 ST 0.10,04/02伊 6着7R 3.519 3.42 ST 0.13,03/17伊 6着9R 3.479 3.39 ST 0.11,03/16伊 8着10R 3.495 3.39 ST 0.16,03/15伊 2着6R 3.457 3.39 ST 0.20,03/11伊 7着11R 3.588 3.36 ST 0.11,03/10伊 3着12R 3.415 3.35 ST 0.13,03/09伊 2着8R 3.454 3.36 ST 0.18,02/27伊 4着7R 3.431 3.34 ST 0.22,02/26伊 4着6R 3.428 3.33 ST 0.17,04/03伊 5着7R 3.487 3.40 ST 0.10,03/17伊 6着9R 3.479 3.39 ST 0.11,03/16伊 8着10R 3.495 3.39 ST 0.16,03/15伊 2着6R 3.457 3.39 ST 0.20,03/11伊 7着11R 3.588 3.36 ST 0.11,5.6,-,20%,02/25伊 1着6R 3.654 3.60 ST 0.18,02/10飯 2着3R 3.699 3.68 ST 0.23,-,-,-,1.5,-,100%,-,-,-,-,-,-,-,-,34,0,0,0.15,0/2 1/7,20.0%,30.0%,3.37,3.454,3.428 (伊),13.7%,7/51,51,30.0%,3/10,10,0,0,1,242,301,298,9.3%,20.9%,32.4%
6,浅香　　潤,"投票締切
10:54",10:56,30,-,094,"2連率
40.0
3連率
40.0",04/03伊 1着8R 3.454 3.36 ST 0.15,04/02伊 5着1R 3.530 3.52 ST 0.18,03/25伊 ⑥着12R 3.725 3.64 ST 0.12,03/24伊 2着12R 3.409 3.34 ST 0.07,03/23伊 1着11R 3.416 3.33 ST 0.17,03/17伊 1着2R 3.446 3.35 ST 0.23,03/16伊 4着2R 3.448 3.34 ST 0.32,03/15伊 5着7R 3.456 3.36 ST 0.23,03/11伊 8着9R F 3.466 3.34 ST 0.20,03/10伊 7着12R 3.436 3.32 ST 0.16,04/03伊 1着8R 3.454 3.36 ST 0.15,03/24伊 2着12R 3.409 3.34 ST 0.07,03/23伊 1着11R 3.416 3.33 ST 0.17,03/17伊 1着2R 3.446 3.35 ST 0.23,03/16伊 4着2R 3.448 3.34 ST 0.32,1.8,-,80%,03/25伊 ⑥着12R 3.725 3.64 ST 0.12,02/11川 5着3R 3.754 3.70 ST 0.27,-,-,-,5.5,-,-,04/02伊 5着1R 3.530 3.52 ST 0.18,-,-,-,-,5,-,-,24,1,0,0.16,3/1 0/6,40.0%,40.0%,3.35,3.444,3.409 (伊),20.8%,5/24,24,0.0%,0/5,5,1,0,29,759,548,523,19.2%,33.1%,46.3%
7,湯浅　　浩,"投票締切
10:54",10:56,30,-,079,"2連率
11.1
3連率
44.4",04/03伊 4着5R 3.475 3.40 ST 0.19,04/02伊 4着12R 3.438 3.36 ST 0.20,03/25伊 5着9R 3.619 3.34 ST 0.01,03/24伊 8着11R 3.458 3.38 ST 0.10,03/23伊 3着4R 3.449 3.34 ST 0.13,03/17伊 落因11R - 3.33 ST 0.17,03/16伊 3着12R 3.409 3.34 ST 0.05,03/15伊 3着8R 3.449 3.35 ST 0.23,03/11伊 1着9R 3.412 3.34 ST 0.06,03/10伊 7着10R 3.439 3.30 ST 0.20,04/03伊 4着5R 3.475 3.40 ST 0.19,03/24伊 8着11R 3.458 3.38 ST 0.10,03/23伊 3着4R 3.449 3.34 ST 0.13,03/17伊 落因11R - 3.33 ST 0.17,03/16伊 3着12R 3.409 3.34 ST 0.05,4.5,-,-,03/25伊 5着9R 3.619 3.34 ST 0.01,02/25伊 2着6R 3.649 3.57 ST 0.18,-,-,-,3.5,-,50%,-,-,-,-,-,-,-,-,30,2,0,0.11,1/0 3/5,11.1%,44.4%,3.35,3.429,3.399 (伊),40.0%,14/35,35,50.0%,3/6,6,2,0,30,758,800,759,14.8%,30.4%,45.3%
