場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16, , ,1,田中　竜二,0,050,110.26,3.557,117.72,3.797,3.51,2連率 0.0 3連率 0.0,コルサビウ,浜松,13期,69歳,1級,B-122,04/18浜 8着4R 3.565 3.52 ST 0.15,04/17浜 5着2R 3.561 3.50 ST 0.19,04/16浜 8着9R 3.581 3.53 ST 0.27,04/10飯 7着4R 3.623 3.60 ST 0.03,04/09飯 7着4R 3.790 3.76 ST 0.11,04/08飯 7着6R 3.584 3.54 ST 0.08,04/07飯 8着6R 3.538 3.49 ST 0.23,04/07飯 8着1R 3.587 3.50 ST 0.13,04/06飯 8着7R 3.577 3.56 ST 0.12,04/05飯 8着1R 3.585 3.53 ST 0.30,04/18浜 8着4R 3.565 3.52 ST 0.15,04/17浜 5着2R 3.561 3.50 ST 0.19,04/16浜 8着9R 3.581 3.53 ST 0.27,04/08飯 7着6R 3.584 3.54 ST 0.08,04/07飯 8着6R 3.538 3.49 ST 0.23,7.2,,,04/09飯 7着4R 3.790 3.76 ST 0.11,03/31浜 5着7R 3.809 3.87 ST 0.13,03/31浜 4着2R 3.823 3.80 ST 0.15,03/03浜 7着4R 3.790 3.73 ST 0.30,-,5.8,,,04/10飯 7着4R 3.623 3.60 ST 0.03,-,-,-,-,7,,,8,6
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16, , ,2,広瀬　豪彦,0,089,109.19,3.522,117.95,3.805,3.42,2連率 10.0 3連率 40.0,ワオンチュー,浜松,19期,63歳,1級,B-79,04/18浜 6着7R 3.519 3.44 ST 0.29,04/17浜 8着10R 3.510 3.42 ST 0.16,04/16浜 5着4R 3.526 3.44 ST 0.26,04/07川 4着4R 3.873 3.75 ST 0.29,04/06川 4着1R 3.500 3.37 ST 0.16,04/05川 6着10R 3.484 3.36 ST 0.19,03/31浜 3着11R 3.745 3.67 ST 0.18,03/30浜 3着11R 3.465 3.40 ST 0.26,03/29浜 2着9R 3.477 3.42 ST 0.15,03/14浜 3着4R 3.481 3.39 ST 0.33,04/18浜 6着7R 3.519 3.44 ST 0.29,04/17浜 8着10R 3.510 3.42 ST 0.16,04/16浜 5着4R 3.526 3.44 ST 0.26,04/06川 4着1R 3.500 3.37 ST 0.16,04/05川 6着10R 3.484 3.36 ST 0.19,5.8,,,04/07川 4着4R 3.873 3.75 ST 0.29,03/31浜 3着11R 3.745 3.67 ST 0.18,03/03浜 6着3R 3.797 3.66 ST 0.19,-,-,4.3,,,-,-,-,-,-,,,,7,7
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16,◎, ,3,木村　直幸,10,069,107.99,3.472,119.27,3.835,3.40,2連率 30.0 3連率 40.0,Ｓモンキー,浜松,27期,49歳,1級,A-223,04/18浜 2着2R 3.482 3.39 ST 0.13,04/17浜 4着7R 3.461 3.43 ST 0.12,04/16浜 3着12R 3.489 3.39 ST 0.13,04/07川 6着4R 3.908 3.81 ST 0.09,04/06川 2着6R 3.490 3.40 ST 0.16,04/05川 4着3R 3.460 3.42 ST 0.05,03/31浜 8着10R 3.865 3.76 ST 0.19,03/30浜 5着5R 3.468 3.42 ST 0.11,03/29浜 2着4R 3.467 3.39 ST 0.25,03/25伊 8着9R 3.732 3.39 ST 0.14,04/18浜 2着2R 3.482 3.39 ST 0.13,04/17浜 4着7R 3.461 3.43 ST 0.12,04/16浜 3着12R 3.489 3.39 ST 0.13,04/06川 2着6R 3.490 3.40 ST 0.16,04/05川 4着3R 3.460 3.42 ST 0.05,3,,40%,04/07川 6着4R 3.908 3.81 ST 0.09,03/31浜 8着10R 3.865 3.76 ST 0.19,03/25伊 8着9R 3.732 3.39 ST 0.14,03/03浜 6着7R 3.677 3.69 ST 0.14,03/03浜 3着1R 3.743 3.79 ST 0.18,6.2,,,-,-,-,-,-,,,,1,8
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16, ,〇,4,西川　頼臣,20,091,108.82,3.488,115.17,3.691,3.40,2連率 0.0 3連率 50.0,バラクーダ,浜松,26期,50歳,1級,A-164,04/18浜 6着1R 3.506 3.39 ST 0.07,04/17浜 3着4R 3.478 3.40 ST 0.16,04/16浜 6着6R 3.510 3.40 ST 0.14,04/07川 4着1R 3.798 3.36 ST 0.17,04/06川 3着5R 3.470 3.37 ST 0.13,04/05川 7着12R 3.452 3.38 ST 0.17,03/31浜 3着4R 3.806 3.72 ST 0.21,03/30浜 3着8R 3.463 3.37 ST 0.18,03/30浜 4着2R 3.470 3.49 ST 0.13,03/29浜 3着12R 3.449 3.37 ST 0.09,04/18浜 6着1R 3.506 3.39 ST 0.07,04/17浜 3着4R 3.478 3.40 ST 0.16,04/16浜 6着6R 3.510 3.40 ST 0.14,04/06川 3着5R 3.470 3.37 ST 0.13,04/05川 7着12R 3.452 3.38 ST 0.17,5,,,04/07川 4着1R 3.798 3.36 ST 0.17,03/31浜 3着4R 3.806 3.72 ST 0.21,03/30浜 4着2R 3.470 3.49 ST 0.13,03/03浜 5着2R 3.744 3.66 ST 0.13,02/25川 2着9R 3.862 3.81 ST 0.15,3.6,,20%,-,-,-,-,-,,,,6,2
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16,△,△,5,高林　　亮,20,076,108.45,3.476,115.81,3.712,3.37,2連率 30.0 3連率 40.0,バートン,飯塚,27期,45歳,1級,A-87,04/18浜 1着6R 3.459 3.39 ST 0.07,04/17浜 4着3R 3.482 3.41 ST 0.08,04/16浜 6着11R 3.497 3.40 ST 0.08,04/10飯 2着7R 3.455 3.39 ST 0.06,04/09飯 3着6R 3.748 3.70 ST 0.08,04/09飯 7着1R 3.730 3.63 ST 0.11,04/08飯 2着8R 3.401 3.36 ST 0.07,04/07飯 4着7R 3.443 3.38 ST 0.20,04/06飯 5着7R 3.478 3.37 ST 0.11,04/05飯 8着9R 3.466 3.34 ST 0.07,04/18浜 1着6R 3.459 3.39 ST 0.07,04/17浜 4着3R 3.482 3.41 ST 0.08,04/16浜 6着11R 3.497 3.40 ST 0.08,04/08飯 2着8R 3.401 3.36 ST 0.07,04/07飯 4着7R 3.443 3.38 ST 0.20,3.4,,40%,04/09飯 3着6R 3.748 3.70 ST 0.08,04/09飯 7着1R 3.730 3.63 ST 0.11,03/31飯 4着1R 3.658 3.59 ST 0.08,03/30飯 5着3R 3.784 3.70 ST 0.05,03/22飯 1着4R 3.731 3.67 ST 0.04,4,,20%,04/10飯 2着7R 3.455 3.39 ST 0.06,-,-,-,-,2,,100%,4,4
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16,▲,注,6,浅野　浩幸,30,065,108.35,3.462,116.47,3.721,3.40,2連率 20.0 3連率 50.0,ガデス,浜松,25期,52歳,1級,A-83,04/18浜 4着4R 3.476 3.41 ST 0.09,04/17浜 5着6R 3.465 3.39 ST 0.13,04/16浜 2着12R 3.463 3.39 ST 0.21,04/07川 3着6R 3.681 3.67 ST 0.16,04/06川 3着3R 3.450 3.38 ST 0.10,04/05川 6着12R 3.441 3.37 ST 0.12,03/31浜 4着8R 3.770 3.72 ST 0.25,03/30浜 3着7R 3.448 3.41 ST 0.28,03/29浜 6着10R 3.466 3.38 ST 0.12,03/25伊 1着2R 3.443 3.37 ST 0.19,04/18浜 4着4R 3.476 3.41 ST 0.09,04/17浜 5着6R 3.465 3.39 ST 0.13,04/16浜 2着12R 3.463 3.39 ST 0.21,04/06川 3着3R 3.450 3.38 ST 0.10,04/05川 6着12R 3.441 3.37 ST 0.12,4,,20%,04/07川 3着6R 3.681 3.67 ST 0.16,03/31浜 4着8R 3.770 3.72 ST 0.25,03/03浜 1着4R 3.712 3.68 ST 0.20,-,-,2.7,,33.3%,-,-,-,-,-,,,,3,5
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16,注,◎,7,仲口　武志,30,090,108.61,3.470,114.79,3.667,3.38,2連率 30.0 3連率 40.0,キンパックン,浜松,24期,52歳,1級,A-62,04/18浜 3着7R 3.470 3.40 ST 0.13,04/17浜 8着9R 3.473 3.36 ST 0.33,04/16浜 5着8R 3.482 3.38 ST 0.33,04/03山 4着4R 3.441 3.34 ST 0.22,04/02山 4着1R 3.427 3.35 ST 0.19,04/01山 5着1R 3.695 3.61 ST 0.25,03/26山 2着7R 3.399 3.34 ST 0.20,03/25山 5着9R 3.640 3.62 ST 0.20,03/24山 2着6R 3.407 3.31 ST 0.11,03/23山 2着4R 3.415 3.31 ST 0.26,04/18浜 3着7R 3.470 3.40 ST 0.13,04/17浜 8着9R 3.473 3.36 ST 0.33,04/16浜 5着8R 3.482 3.38 ST 0.33,04/03山 4着4R 3.441 3.34 ST 0.22,04/02山 4着1R 3.427 3.35 ST 0.19,4.8,,,04/01山 5着1R 3.695 3.61 ST 0.25,03/25山 5着9R 3.640 3.62 ST 0.20,-,-,-,5,,,03/24山 2着6R 3.407 3.31 ST 0.11,-,-,-,-,2,,100%,5,1
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月19日(日),一般戦8R,3100m,14:16,〇,▲,8,浅田　真吾,40,087,108.13,3.444,115.66,3.683,3.36,2連率 20.0 3連率 40.0,ランドシャーク,浜松,27期,47歳,1級,A-55,04/18浜 3着9R 3.452 3.36 ST 0.20,04/18浜 3着2R 3.452 3.37 ST 0.15,04/17浜 7着11R 3.443 3.34 ST 0.13,04/16浜 7着10R 3.468 3.38 ST 0.16,04/07川 7着10R 3.421 3.35 ST 0.09,04/06川 6着11R 3.423 3.33 ST 0.10,04/05川 2着4R 3.411 3.33 ST 0.19,03/31飯 1着3R 3.582 3.55 ST 0.06,03/30飯 7着3R 3.785 3.72 ST 0.12,03/29飯 7着8R 3.437 3.32 ST 0.15,04/18浜 3着9R 3.452 3.36 ST 0.20,04/18浜 3着2R 3.452 3.37 ST 0.15,04/17浜 7着11R 3.443 3.34 ST 0.13,04/16浜 7着10R 3.468 3.38 ST 0.16,04/07川 7着10R 3.421 3.35 ST 0.09,5.4,,,03/31飯 1着3R 3.582 3.55 ST 0.06,03/30飯 7着3R 3.785 3.72 ST 0.12,-,-,-,4,,50%,-,-,-,-,-,,,,2,3
