場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13,◎,◎,1,田中　輝義,0,092,106.19,3.425,113.38,3.657,3.37,2連率 60.0 3連率 70.0,ファネンブルグ,飯塚,29期,45歳,1級,A-228,04/16飯 4着8R 3.437 3.35 ST 0.18,04/15飯 1着6R 3.500 3.51 ST 0.28,04/15飯 1着2R 3.574 3.61 ST 0.16,04/14飯 1着2R 3.737 3.65 ST 0.28,04/10飯 ③着8R 3.441 3.36 ST 0.14,04/09飯 1着7R 3.691 3.77 ST 0.18,04/08飯 2着4R 3.404 3.33 ST 0.14,04/07飯 4着4R 3.479 3.35 ST 0.20,04/06飯 6着6R 3.472 3.36 ST 0.26,04/06飯 1着1R 3.457 3.35 ST 0.07,04/16飯 4着8R 3.437 3.35 ST 0.18,04/08飯 2着4R 3.404 3.33 ST 0.14,04/07飯 4着4R 3.479 3.35 ST 0.20,04/06飯 6着6R 3.472 3.36 ST 0.26,04/06飯 1着1R 3.457 3.35 ST 0.07,3.4,,40%,04/15飯 1着2R 3.574 3.61 ST 0.16,04/14飯 1着2R 3.737 3.65 ST 0.28,04/09飯 1着7R 3.691 3.77 ST 0.18,03/22飯 1着3R 3.686 3.68 ST 0.16,03/09飯 1着7R 3.669 3.69 ST 0.14,1,,100%,04/15飯 1着6R 3.500 3.51 ST 0.28,04/10飯 ③着8R 3.441 3.36 ST 0.14,-,-,-,2,,50%,1,1
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13,注, ,2,竹尾　竜星,0,100,106.95,3.450,117.06,3.776,3.35,2連率 0.0 3連率 30.0,オト,飯塚,38期,27歳,2級,A-169,04/16飯 4着7R 3.447 3.35 ST 0.22,04/15飯 3着5R 3.580 3.49 ST 0.17,04/14飯 3着7R 3.750 3.66 ST 0.18,04/10飯 6着5R 3.497 3.45 ST 0.29,04/09飯 3着4R 3.705 3.63 ST 0.29,04/08飯 5着4R 3.446 3.34 ST 0.18,04/07飯 5着1R 3.471 3.36 ST 0.21,04/06飯 7着5R 3.498 3.39 ST 0.11,04/05飯 6着5R 3.487 3.39 ST 0.19,04/04飯 6着1R 3.498 3.36 ST 0.16,04/16飯 4着7R 3.447 3.35 ST 0.22,04/08飯 5着4R 3.446 3.34 ST 0.18,04/07飯 5着1R 3.471 3.36 ST 0.21,04/06飯 7着5R 3.498 3.39 ST 0.11,04/05飯 6着5R 3.487 3.39 ST 0.19,5.4,,,04/14飯 3着7R 3.750 3.66 ST 0.18,04/09飯 3着4R 3.705 3.63 ST 0.29,03/31浜 5着4R 3.873 3.68 ST 0.22,03/22飯 2着6R 3.720 3.67 ST 0.12,03/09飯 1着5R 3.769 3.41 ST 0.10,2.8,,40%,04/15飯 3着5R 3.580 3.49 ST 0.17,04/10飯 6着5R 3.497 3.45 ST 0.29,-,-,-,4.5,,,5,7
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13, ,注,3,田中　正樹,10,100,107.3,3.450,115.62,3.718,3.35,2連率 50.0 3連率 70.0,オツルパパ,飯塚,29期,44歳,1級,A-29,04/16飯 3着7R 3.433 3.35 ST 0.11,04/15飯 2着1R 3.620 3.50 ST 0.11,04/14飯 5着8R 3.767 3.67 ST 0.21,04/10飯 1着6R 3.436 3.38 ST 0.06,04/09飯 5着7R 3.766 3.66 ST 0.19,04/08飯 3着3R 3.433 3.33 ST 0.05,04/07飯 2着2R 3.478 3.37 ST 0.14,04/06飯 2着5R 3.462 3.35 ST 0.23,04/05飯 7着12R 3.444 3.34 ST 0.10,04/04飯 2着6R 3.491 3.37 ST 0.29,04/16飯 3着7R 3.433 3.35 ST 0.11,04/08飯 3着3R 3.433 3.33 ST 0.05,04/07飯 2着2R 3.478 3.37 ST 0.14,04/06飯 2着5R 3.462 3.35 ST 0.23,04/05飯 7着12R 3.444 3.34 ST 0.10,3.4,,40%,04/15飯 2着1R 3.620 3.50 ST 0.11,04/14飯 5着8R 3.767 3.67 ST 0.21,04/09飯 5着7R 3.766 3.66 ST 0.19,03/31飯 5着3R 3.653 3.55 ST 0.11,03/30飯 2着1R 3.759 3.69 ST 0.12,3.8,,40%,04/10飯 1着6R 3.436 3.38 ST 0.06,04/04飯 2着6R 3.491 3.37 ST 0.29,-,-,-,1.5,,100%,6,5
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13,▲,〇,4,久門　　徹,10,065,106.72,3.432,114.44,3.680,3.34,2連率 60.0 3連率 60.0,ロロノア・ゾロ,飯塚,26期,50歳,1級,A-34,04/16飯 2着5R 3.419 3.36 ST 0.07,04/15飯 5着6R 3.543 3.47 ST 0.16,04/14飯 2着7R 3.703 3.61 ST 0.09,04/14飯 1着1R 3.722 3.68 ST 0.15,04/12山 1着7R 3.437 3.36 ST 0.10,04/11山 1着6R 3.463 3.38 ST 0.18,04/10山 8着7R 3.614 3.56 ST 0.11,04/09山 5着5R 3.457 3.39 ST 0.13,04/08山 2着10R 3.437 3.37 ST 0.13,03/31飯 7着8R 3.650 3.57 ST 0.15,04/16飯 2着5R 3.419 3.36 ST 0.07,04/12山 1着7R 3.437 3.36 ST 0.10,04/11山 1着6R 3.463 3.38 ST 0.18,04/08山 2着10R 3.437 3.37 ST 0.13,-,1.5,,100%,04/14飯 2着7R 3.703 3.61 ST 0.09,04/14飯 1着1R 3.722 3.68 ST 0.15,04/10山 8着7R 3.614 3.56 ST 0.11,03/31飯 4着2R 3.666 3.60 ST 0.13,03/30飯 3着8R 3.733 3.67 ST 0.10,3.6,,40%,04/15飯 5着6R 3.543 3.47 ST 0.16,04/09山 5着5R 3.457 3.39 ST 0.13,03/31飯 7着8R 3.650 3.57 ST 0.15,-,-,5.7,,,3,2
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13,〇,▲,5,阿部　仁志,10,091,106.39,3.421,114.85,3.693,3.33,2連率 20.0 3連率 60.0,サティアＶ,飯塚,29期,46歳,1級,A-57,04/16飯 3着8R 3.417 3.33 ST 0.17,04/16飯 1着3R 3.421 3.32 ST 0.44,04/15飯 3着2R 3.591 3.54 ST 0.25,04/14飯 6着2R 3.776 3.68 ST 0.41,04/10飯 1着4R 3.473 3.38 ST 0.17,04/09飯 4着5R 3.712 3.61 ST 0.21,04/09飯 3着1R 3.670 3.61 ST 0.09,04/08飯 4着8R 3.435 3.34 ST 0.21,04/07飯 3着11R 3.394 3.33 ST 0.12,04/06飯 4着11R 3.417 3.34 ST 0.19,04/16飯 3着8R 3.417 3.33 ST 0.17,04/16飯 1着3R 3.421 3.32 ST 0.44,04/08飯 4着8R 3.435 3.34 ST 0.21,04/07飯 3着11R 3.394 3.33 ST 0.12,04/06飯 4着11R 3.417 3.34 ST 0.19,3,,20%,04/15飯 3着2R 3.591 3.54 ST 0.25,04/14飯 6着2R 3.776 3.68 ST 0.41,04/09飯 4着5R 3.712 3.61 ST 0.21,04/09飯 3着1R 3.670 3.61 ST 0.09,03/31飯 7着1R 3.727 3.61 ST 0.18,4.6,,,04/10飯 1着4R 3.473 3.38 ST 0.17,-,-,-,-,1,,100%,2,3
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13, ,△,6,藤川　　竜,20,097,108.07,3.464,115.49,3.702,3.35,2連率 40.0 3連率 40.0,テンジク,飯塚,34期,32歳,1級,S-40,04/16飯 4着6R 3.425 3.34 ST 0.10,04/15飯 2着5R 3.535 3.49 ST 0.18,04/14飯 1着5R 3.735 3.68 ST 0.14,04/14飯 7着1R 3.809 3.71 ST 0.32,04/12山 7着1R 3.452 3.37 ST 0.01,04/11山 7着4R 3.478 3.39 ST 0.10,04/10山 7着7R 3.561 3.56 ST 0.07,04/09山 2着2R 3.683 3.62 ST 0.09,04/08山 8着1R 3.532 3.37 ST 0.11,03/31飯 2着4R 3.592 3.52 ST 0.06,04/16飯 4着6R 3.425 3.34 ST 0.10,04/12山 7着1R 3.452 3.37 ST 0.01,04/11山 7着4R 3.478 3.39 ST 0.10,04/08山 8着1R 3.532 3.37 ST 0.11,-,6.5,,,04/14飯 1着5R 3.735 3.68 ST 0.14,04/14飯 7着1R 3.809 3.71 ST 0.32,04/10山 7着7R 3.561 3.56 ST 0.07,04/09山 2着2R 3.683 3.62 ST 0.09,03/30飯 3着4R 3.775 3.67 ST 0.02,4,,40%,04/15飯 2着5R 3.535 3.49 ST 0.18,03/31飯 2着4R 3.592 3.52 ST 0.06,-,-,-,2,,100%,7,4
iizuka,令和８年度飯塚市営　飯塚ミッドナイト　４／１４～,4月17日(金),特別選抜戦7R,3100m,23:13,△, ,7,岩見　貴史,20,086,106.79,3.423,116.43,3.732,3.31,2連率 40.0 3連率 60.0,ザザンス,飯塚,29期,42歳,1級,S-23,04/16飯 3着6R 3.399 3.32 ST 0.06,04/15飯 2着6R 3.484 3.41 ST 0.18,04/14飯 4着6R 3.752 3.64 ST 0.24,04/14飯 5着2R 3.755 3.65 ST 0.31,04/12山 1着2R 3.429 3.35 ST 0.08,04/11山 3着5R 3.436 3.34 ST 0.06,04/10山 6着8R 3.455 3.41 ST 0.08,04/09山 7着12R 3.688 3.63 ST 0.19,04/08山 2着6R 3.413 3.33 ST 0.11,03/31飯 2着8R 3.524 3.45 ST 0.03,04/16飯 3着6R 3.399 3.32 ST 0.06,04/12山 1着2R 3.429 3.35 ST 0.08,04/11山 3着5R 3.436 3.34 ST 0.06,04/08山 2着6R 3.413 3.33 ST 0.11,-,2.3,,50%,04/14飯 4着6R 3.752 3.64 ST 0.24,04/14飯 5着2R 3.755 3.65 ST 0.31,04/09山 7着12R 3.688 3.63 ST 0.19,03/30飯 4着8R 3.733 3.65 ST 0.03,02/10飯 ③着8R 3.658 3.58 ST 0.10,4.6,,,04/15飯 2着6R 3.484 3.41 ST 0.18,04/10山 6着8R 3.455 3.41 ST 0.08,03/31飯 2着8R 3.524 3.45 ST 0.03,-,-,3.3,,66.7%,4,6
