車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前9走,前10走,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,栗原　勝測,12:32,12:34,0,3.41,60,"2連率
50.0
3連率
50.0",04/11山 1着3R 3.471 3.43 ST 0.13,04/10山 5着7R 3.552 3.59 ST 0.02,04/09山 2着6R 3.442 3.40 ST 0.12,04/08山 2着3R 3.426 3.40 ST 0.16,04/04伊 1着1R 3.436 3.36 ST 0.14,04/03伊 1着2R 3.462 3.40 ST 0.06,04/02伊 4着3R 3.490 3.45 ST 0.16,03/24伊 5着3R 3.492 3.40 ST 0.18,03/23伊 5着7R 3.471 3.39 ST 0.08,0.15,3.46,3.426 (山),-,-,-,-,3.461,169.12,3
2,稲原　良太郎,12:32,12:34,0,3.42,89,"2連率
0.0
3連率
0.0",04/11山 8着4R 3.552 3.41 ST 0.10,04/10山 7着2R 3.755 3.61 ST 0.20,04/09山 5着3R 3.532 3.70 ST 0.19,04/08山 5着4R 3.465 3.36 ST 0.22,04/03山 5着1R 3.468 3.39 ST 0.08,04/02山 4着2R 3.474 3.35 ST 0.10,04/01山 6着5R 3.785 3.70 ST 0.16,03/25山 5着8R 3.668 3.58 ST 0.09,03/25山 6着1R 3.723 3.66 ST 0.11,0.16,3.449,3.408 (山),-,-,-,-,3.452,147.68,5
3,祐定　　響,12:32,12:34,10,3.39,98,"2連率
10.0
3連率
30.0",04/11山 7着6R 3.495 3.37 ST 0.08,04/10山 2着4R 3.646 3.62 ST 0.19,04/09山 5着1R 3.698 3.63 ST 0.12,04/08山 7着3R 3.457 3.39 ST 0.15,03/31浜 3着6R 3.815 3.86 ST 0.21,03/31浜 3着1R 3.819 3.68 ST 0.21,03/30浜 4着9R 3.470 3.39 ST 0.20,03/25伊 4着5R 3.444 3.37 ST 0.16,03/24伊 5着7R 3.467 3.36 ST 0.06,0.15,3.448,3.410 (飯),-,-,-,-,3.463,152.22,4
4,林　　弘明,12:32,12:34,10,3.35,80,"2連率
40.0
3連率
50.0",04/11山 4着7R 3.457 3.36 ST 0.19,04/10山 8着9R 3.468 3.39 ST 0.12,04/09山 4着10R 3.681 3.68 ST 0.01,04/08山 1着2R 3.424 3.36 ST 0.15,03/31浜 1着6R 3.768 3.84 ST 0.17,03/30浜 2着8R 3.446 3.37 ST 0.19,03/30浜 3着1R 3.581 3.69 ST 0.20,03/25伊 2着9R 3.590 3.34 ST 0.10,03/24伊 7着9R 3.460 3.36 ST 0.06,0.15,3.42,3.384 (山),-,-,-,-,3.434,173.63,2
5,藤岡　一樹,12:32,12:34,10,3.37,82,"2連率
30.0
3連率
50.0",04/11山 6着1R 3.482 3.34 ST 0.17,04/10山 4着7R 3.518 3.53 ST 0.06,04/09山 6着9R 3.688 3.70 ST 0.16,04/08山 1着1R 3.415 3.35 ST 0.23,04/03山 ④着9R 3.384 3.32 ST 0.16,04/02山 1着5R 3.410 3.36 ST 0.18,04/01山 3着4R 3.661 3.64 ST 0.22,03/27川 1着3R 3.419 3.34 ST 0.08,03/26川 6着3R 3.891 3.86 ST 0.14,0.23,3.472,3.384 (山),-,-,-,-,3.494,111.02,8
6,松尾　隆広,12:32,12:34,20,3.34,83,"2連率
10.0
3連率
10.0",04/11山 8着2R 3.503 3.40 ST 0.17,04/10山 4着5R 3.615 3.57 ST 0.20,04/09山 2着1R 3.673 3.62 ST 0.18,04/08山 7着12R 3.449 3.36 ST 0.21,03/31飯 7着3R 3.691 3.59 ST 0.22,03/30飯 5着4R 3.794 3.69 ST 0.19,03/29飯 4着1R 3.428 3.33 ST 0.24,03/27飯 6着9R 3.424 3.32 ST 0.16,03/22浜 6着8R 3.424 3.34 ST 0.22,0.23,3.443,3.424 (飯),-,-,-,-,3.477,127.97,7
7,渡辺　　篤,12:32,12:34,20,3.36,98,"2連率
30.0
3連率
40.0",04/11山 8着5R 3.468 3.38 ST 0.18,04/10山 7着10R 3.402 3.30 ST 0.10,04/09山 1着9R 3.667 3.64 ST 0.11,04/08山 1着4R 3.413 3.33 ST 0.10,04/04伊 7着7R 3.487 3.45 ST 0.18,04/03伊 3着8R 3.453 3.36 ST 0.21,04/02伊 5着5R 3.456 3.32 ST 0.23,03/30浜 4着5R 3.419 3.30 ST 0.10,03/29浜 1着8R 3.432 3.32 ST 0.12,0.14,3.428,3.400 (浜),-,-,-,-,3.454,146.22,6
8,山本　　翔,12:32,12:34,20,3.32,100,"2連率
50.0
3連率
60.0",04/11山 2着6R 3.455 3.40 ST 0.14,04/10山 3着5R 3.599 3.63 ST 0.08,04/09山 1着3R 3.458 3.62 ST 0.16,04/08山 7着7R 3.442 3.35 ST 0.17,04/03山 ⑤着9R 3.389 3.28 ST 0.08,04/02山 1着7R 3.387 3.28 ST 0.21,04/01山 1着5R 3.605 3.57 ST 0.21,03/27川 5着12R 3.416 3.31 ST 0.15,03/26川 4着2R 3.814 3.78 ST 0.27,0.16,3.43,3.374 (山),-,-,-,-,3.458,174.63,1
