車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,壷井　亜羅汰,"投票締切
20:08",20:10,0,-,099,"2連率
30.0
3連率
40.0",04/05飯 2着10R 3.445 3.36 ST 0.11,04/04飯 2着4R 3.476 3.37 ST 0.25,03/31浜 7着2R 3.865 3.87 ST 0.18,03/30浜 7着4R 3.518 3.46 ST 0.11,03/29浜 8着6R 3.546 再3.48 ST 0.14,03/22飯 2着3R 3.737 3.65 ST 0.16,03/21飯 7着2R 3.481 3.36 ST 0.14,03/20飯 3着3R 3.449 3.38 ST 0.15,03/19飯 7着2R 3.458 3.34 ST 0.16,03/15飯 6着5R 3.471 3.37 ST 0.09,04/05飯 2着10R 3.445 3.36 ST 0.11,04/04飯 2着4R 3.476 3.37 ST 0.25,03/29浜 8着6R 3.546 再3.48 ST 0.14,03/21飯 7着2R 3.481 3.36 ST 0.14,03/20飯 3着3R 3.449 3.38 ST 0.15,4.4,-,40%,03/31浜 7着2R 3.865 3.87 ST 0.18,03/22飯 2着3R 3.737 3.65 ST 0.16,03/03山 3着6R 3.719 3.83 ST 0.06,02/14飯 4着1R 3.717 3.64 ST 0.14,02/10飯 ①着8R 3.681 3.60 ST 0.11,3.4,-,40%,03/30浜 7着4R 3.518 3.46 ST 0.11,-,-,-,-,7,-,-,44,1,1,0.14,0/3 1/6,30.0%,40.0%,3.38,3.479,3.445 (飯),22.6%,14/62,62,64.3%,9/14,14,1,1,1,16,24,16,9.4%,23.4%,32.7%
2,小林　頼介,"投票締切
20:08",20:10,10,-,088,"2連率
10.0
3連率
20.0",04/05飯 3着7R 3.465 3.39 ST 0.19,04/04飯 4着2R 3.481 3.36 ST 0.12,03/31浜 5着10R 3.768 3.69 ST 0.10,03/30浜 5着11R 3.446 3.39 ST 0.18,03/29浜 2着5R 3.465 3.40 ST 0.18,03/26山 4着3R 3.486 3.39 ST 0.18,03/25山 5着5R 3.676 3.62 ST 0.16,03/25山 5着1R 3.704 3.67 ST 0.14,03/24山 6着4R 3.482 3.39 ST 0.14,03/23山 4着4R 3.462 3.36 ST 0.22,04/05飯 3着7R 3.465 3.39 ST 0.19,04/04飯 4着2R 3.481 3.36 ST 0.12,03/30浜 5着11R 3.446 3.39 ST 0.18,03/29浜 2着5R 3.465 3.40 ST 0.18,03/26山 4着3R 3.486 3.39 ST 0.18,3.6,-,20%,03/31浜 5着10R 3.768 3.69 ST 0.10,03/25山 5着5R 3.676 3.62 ST 0.16,03/25山 5着1R 3.704 3.67 ST 0.14,03/03浜 7着7R 3.723 3.65 ST 0.09,03/03浜 4着2R 3.734 3.67 ST 0.08,5.2,-,-,-,-,-,-,-,-,-,-,33,0,0,0.16,0/1 1/8,10.0%,20.0%,3.38,3.468,3.436 (浜),36.0%,18/50,50,18.2%,2/11,11,0,0,1,158,207,221,9.4%,21.7%,34.8%
3,稲川　聖也,"投票締切
20:08",20:10,10,-,076,"2連率
50.0
3連率
60.0",04/05飯 4着9R 3.444 3.37 ST 0.13,04/04飯 2着8R 3.433 3.34 ST 0.05,03/28川 2着8R 3.455 3.37 ST 0.08,03/27川 3着2R 3.442 3.35 ST 0.12,03/26川 6着2R 3.857 3.80 ST 0.15,03/15飯 1着3R 3.453 3.33 ST 0.23,03/14飯 2着1R 3.456 3.38 ST 0.20,03/13飯 1着10R F 3.397 3.40 ST 0.20,03/08川 4着6R 3.468 3.35 ST 0.16,03/07川 7着3R 3.465 3.36 ST 0.15,04/05飯 4着9R 3.444 3.37 ST 0.13,03/28川 2着8R 3.455 3.37 ST 0.08,03/27川 3着2R 3.442 3.35 ST 0.12,03/15飯 1着3R 3.453 3.33 ST 0.23,03/14飯 2着1R 3.456 3.38 ST 0.20,2.4,-,60%,03/26川 6着2R 3.857 3.80 ST 0.15,02/25川 6着5R 3.905 3.78 ST 0.28,02/11川 2着4R 3.667 3.62 ST 0.17,-,-,4.7,-,33.3%,04/04飯 2着8R 3.433 3.34 ST 0.05,-,-,-,-,2,-,100%,36,0,0,0.14,2/3 1/4,50.0%,60.0%,3.37,3.446,3.397 (飯),23.1%,15/65,65,20.0%,1/5,5,0,0,2,123,111,151,11.9%,22.7%,37.3%
4,浜野　　翼,"投票締切
20:08",20:10,20,-,112,"2連率
50.0
3連率
60.0",04/05飯 2着11R 3.418 3.34 ST 0.11,04/04飯 1着11R 3.419 3.31 ST 0.08,03/22飯 4着3R 3.744 3.64 ST 0.15,03/21飯 2着2R 3.428 3.29 ST 0.16,03/20飯 6着8R 3.439 3.31 ST 0.12,03/19飯 2着1R 3.409 3.30 ST 0.13,03/15飯 1着4R 3.427 3.31 ST 0.27,03/14飯 4着5R 3.457 3.35 ST 0.15,03/13飯 7着2R 3.470 3.33 ST 0.22,03/09飯 3着4R 3.441 3.33 ST 0.16,04/05飯 2着11R 3.418 3.34 ST 0.11,04/04飯 1着11R 3.419 3.31 ST 0.08,03/21飯 2着2R 3.428 3.29 ST 0.16,03/20飯 6着8R 3.439 3.31 ST 0.12,03/19飯 2着1R 3.409 3.30 ST 0.13,2.6,-,80%,03/22飯 4着3R 3.744 3.64 ST 0.15,02/02飯 4着6R 3.621 3.64 ST 0.09,-,-,-,4,-,-,03/09飯 3着4R 3.441 3.33 ST 0.16,-,-,-,-,3,-,-,30,1,0,0.15,2/3 1/4,50.0%,60.0%,3.31,3.422,3.361 (川),28.0%,14/50,50,0.0%,0/7,7,1,0,3,44,35,32,18.7%,33.6%,47.2%
5,阿部　仁志,"投票締切
20:08",20:10,20,-,111,"2連率
40.0
3連率
40.0",04/05飯 4着10R 3.429 3.31 ST 0.16,04/05飯 6着4R 3.494 3.39 ST 0.21,04/04飯 2着2R 3.461 3.35 ST 0.15,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,03/27飯 5着4R 3.408 3.30 ST 0.12,03/22飯 ②着8R 3.733 3.64 ST 0.09,03/21飯 1着5R 3.415 3.31 ST 0.12,04/05飯 4着10R 3.429 3.31 ST 0.16,04/05飯 6着4R 3.494 3.39 ST 0.21,04/04飯 2着2R 3.461 3.35 ST 0.15,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,3.8,-,40%,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/22飯 ②着8R 3.733 3.64 ST 0.09,02/02飯 3着5R 3.651 3.61 ST 0.01,-,4,-,25%,-,-,-,-,-,-,-,-,45,2,0,0.12,1/3 0/6,40.0%,40.0%,3.32,3.431,3.397 (飯),37.2%,29/78,78,23.1%,3/13,13,2,0,0,396,417,484,14.0%,28.7%,45.7%
6,越智　尚寿,"投票締切
20:08",20:10,30,-,085,"2連率
50.0
3連率
60.0",04/05飯 5着10R 3.422 3.35 ST 0.15,04/04飯 3着7R 3.443 3.48 ST 0.24,03/31飯 4着6R 3.579 3.51 ST 0.06,03/30飯 1着5R 3.749 3.71 ST 0.11,03/29飯 7着4R 3.447 3.34 ST 0.06,03/28飯 4着8R 3.402 3.33 ST 0.11,03/27飯 2着3R 3.415 3.32 ST 0.08,03/22飯 ①着8R 3.707 3.63 ST 0.09,03/21飯 2着7R 3.401 3.33 ST 0.10,03/20飯 1着5R 3.399 3.31 ST 0.17,04/05飯 5着10R 3.422 3.35 ST 0.15,03/29飯 7着4R 3.447 3.34 ST 0.06,03/28飯 4着8R 3.402 3.33 ST 0.11,03/27飯 2着3R 3.415 3.32 ST 0.08,03/21飯 2着7R 3.401 3.33 ST 0.10,4,-,40%,03/30飯 1着5R 3.749 3.71 ST 0.11,03/22飯 ①着8R 3.707 3.63 ST 0.09,03/09飯 2着7R 3.660 3.66 ST 0.15,03/03飯 1着6R 3.606 3.56 ST 0.10,03/02飯 6着6R 3.743 3.59 ST 0.14,2.2,-,80%,04/04飯 3着7R 3.443 3.48 ST 0.24,03/31飯 4着6R 3.579 3.51 ST 0.06,-,-,-,3.5,-,-,43,2,1,0.13,3/2 1/4,50.0%,60.0%,3.34,3.425,3.399 (飯),31.3%,21/67,67,66.7%,12/18,18,2,1,11,546,497,516,14.7%,28.0%,41.9%
7,中村　杏亮,"投票締切
20:08",20:10,30,-,089,"2連率
33.3
3連率
55.6",04/05飯 7着9R 3.431 3.34 ST 0.16,04/04飯 3着2R 3.453 3.32 ST 0.30,03/31飯 4着8R 3.531 3.52 ST 0.05,03/30飯 4着7R 3.733 3.71 ST 0.07,03/29飯 不成立9R - 3.28 ST 0.05,03/28飯 1着9R 3.357 3.30 ST 0.15,03/27飯 3着3R 3.424 3.31 ST 0.13,03/22浜 1着9R 3.377 3.32 ST 0.11,03/21浜 7着9R 3.429 3.34 ST 0.03,03/20浜 1着9R 3.423 3.35 ST 0.03,04/05飯 7着9R 3.431 3.34 ST 0.16,04/04飯 3着2R 3.453 3.32 ST 0.30,03/29飯 不成立9R - 3.28 ST 0.05,03/28飯 1着9R 3.357 3.30 ST 0.15,03/27飯 3着3R 3.424 3.31 ST 0.13,3.5,-,25%,03/30飯 4着7R 3.733 3.71 ST 0.07,02/11山 7着4R 3.721 3.61 ST 0.05,02/10山 7着5R 3.740 3.73 ST 0.16,02/07山 6着12R 3.679 3.61 ST 0.07,01/10飯 ③着8R 3.633 3.66 ST 0.14,5.4,-,-,03/31飯 4着8R 3.531 3.52 ST 0.05,-,-,-,-,4,-,-,40,2,0,0.10,3/0 2/4,33.3%,55.6%,3.33,3.419,3.357 (飯),26.2%,17/65,65,8.3%,1/12,12,2,0,14,266,136,155,23.1%,34.9%,48.4%
8,金子　大輔,"投票締切
20:08",20:10,30,-,085,"2連率
50.0
3連率
70.0",04/05飯 1着12R 3.404 3.30 ST 0.11,04/04飯 1着10R 3.404 3.33 ST 0.11,03/31浜 ④着12R 3.699 3.64 ST 0.15,03/30浜 1着12R 3.394 3.28 ST 0.17,03/29浜 2着12R 3.404 3.32 ST 0.19,03/22浜 ⑤着12R 3.359 3.28 ST 0.11,03/21浜 2着10R 3.400 3.33 ST 0.11,03/20浜 4着9R 3.432 3.34 ST 0.06,03/19浜 3着8R 3.399 3.31 ST 0.08,03/18浜 3着7R 3.395 3.30 ST 0.12,04/05飯 1着12R 3.404 3.30 ST 0.11,04/04飯 1着10R 3.404 3.33 ST 0.11,03/30浜 1着12R 3.394 3.28 ST 0.17,03/29浜 2着12R 3.404 3.32 ST 0.19,03/22浜 ⑤着12R 3.359 3.28 ST 0.11,2,-,80%,03/31浜 ④着12R 3.699 3.64 ST 0.15,02/10山 3着9R 3.627 3.55 ST 0.09,02/07山 1着9R 3.615 3.54 ST 0.17,-,-,2.7,-,33.3%,-,-,-,-,-,-,-,-,40,7,1,0.11,3/2 2/3,50.0%,70.0%,3.31,3.395,3.359 (浜),63.8%,37/58,58,60.0%,6/10,10,7,1,58,969,564,401,33.8%,53.4%,67.4%
