車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,井上　智詞,"投票締切
20:43",20:45,0,-,81,"2連率
40.0
3連率
40.0",04/06飯 2着10R 3.474 3.39 ST 0.24,04/05飯 1着7R 3.477 3.40 ST 0.14,04/04飯 5着8R 3.484 再3.48 ST 0.15,03/31浜 2着3R 3.785 3.77 ST 0.30,03/30浜 6着7R 3.519 3.42 ST 0.22,03/29浜 5着8R 3.514 3.44 ST 0.17,03/22飯 1着1R 3.765 3.71 ST 0.11,03/21飯 5着2R 3.494 3.40 ST 0.17,03/20飯 5着4R 3.468 3.40 ST 0.22,03/19飯 7着7R 3.465 3.37 ST 0.21,3.8,-,40%,2.8,-,60%,5,-,-,0.19,3.491,3.41,17.0%,35.7%,2,20.4%,3.499,143.95,8
2,藤本　梨恵,"投票締切
20:43",20:45,20,-,88,"2連率
30.0
3連率
60.0",04/06飯 1着12R 3.431 3.35 ST 0.08,04/05飯 2着12R 3.432 3.37 ST 0.08,04/04飯 3着12R 3.454 3.36 ST 0.19,03/25伊 4着6R 3.444 3.39 ST 0.19,03/24伊 8着5R 3.494 3.38 ST 0.19,03/23伊 6着10R 3.471 3.38 ST 0.13,03/17伊 3着9R 3.460 3.39 ST 0.15,03/16伊 8着11R 3.473 3.39 ST 0.07,03/15伊 2着4R 3.462 3.38 ST 0.11,03/11伊 3着2R 3.452 3.35 ST 0.16,3.6,-,40%,1,-,100%,-,-,-,0.13,3.458,3.37,35.7%,12.5%,2,21.4%,3.484,161.1,6
3,藤川　幸宏,"投票締切
20:43",20:45,20,-,75,"2連率
20.0
3連率
20.0",04/06飯 1着10R 3.449 3.37 ST 0.12,04/05飯 4着12R 3.442 3.35 ST 0.07,04/04飯 1着7R 3.452 3.57 ST 0.15,03/31飯 4着4R 3.623 3.57 ST 0.07,03/30飯 7着2R 3.897 3.72 ST 0.15,03/29飯 4着2R 3.439 3.40 ST 0.10,03/28飯 4着6R 3.439 3.37 ST 0.10,03/27飯 5着3R 3.448 3.36 ST 0.17,03/22飯 5着6R 3.762 3.74 ST 0.13,03/21飯 5着7R 3.444 3.34 ST 0.07,3.6,-,20%,4.6,-,20%,2.5,-,50%,0.16,3.445,3.37,39.4%,16.7%,5,28.1%,3.473,161.75,5
4,稲川　聖也,"投票締切
20:43",20:45,20,-,83,"2連率
60.0
3連率
70.0",04/06飯 1着11R 3.412 3.33 ST 0.04,04/05飯 4着9R 3.444 3.37 ST 0.13,04/04飯 2着8R 3.433 3.34 ST 0.05,03/28川 2着8R 3.455 3.37 ST 0.08,03/27川 3着2R 3.442 3.35 ST 0.12,03/26川 6着2R 3.857 3.80 ST 0.15,03/15飯 1着3R 3.453 3.33 ST 0.23,03/14飯 2着1R 3.456 3.38 ST 0.20,03/13飯 1着10R F 3.397 3.40 ST 0.20,03/08川 4着6R 3.468 3.35 ST 0.16,2.2,-,60%,4.7,-,33.3%,2,-,100%,0.14,3.443,3.36,24.2%,20.0%,2,22.7%,3.47,165.35,3
5,田中　　進,"投票締切
20:43",20:45,30,-,54,"2連率
50.0
3連率
60.0",04/06飯 1着9R 3.422 3.38 ST 0.21,04/05飯 5着12R 3.434 3.37 ST 0.14,04/04飯 2着5R 3.427 3.39 ST 0.16,03/31飯 4着3R 3.646 3.59 ST 0.25,03/30飯 2着4R 3.762 3.69 ST 0.16,03/29飯 7着6R 3.424 3.36 ST 0.26,03/28飯 6着8R 3.412 3.37 ST 0.17,03/27飯 2着4R 3.392 3.35 ST 0.11,03/22飯 2着7R 3.707 3.65 ST 0.16,03/21飯 3着8R 3.424 3.37 ST 0.26,4.2,-,40%,3,-,40%,2,-,100%,0.18,3.424,3.37,31.8%,50.0%,9,28.1%,3.465,164.8,4
6,村瀬　月乃丞,"投票締切
20:43",20:45,30,-,94,"2連率
22.2
3連率
33.3",04/06飯 2着9R 3.425 3.33 ST 0.21,04/05飯 3着9R 3.429 3.33 ST 0.25,04/04飯 5着10R 3.444 3.35 ST 0.20,04/04飯 5着4R 3.467 3.36 ST 0.08,03/30飯 欠責5R - 0.00 -,03/29飯 他落3R - 3.32 ST 0.12,03/28飯 5着6R 3.431 3.33 ST 0.16,03/27飯 4着5R 3.434 3.33 ST 0.21,03/22飯 4着2R 3.747 3.63 ST 0.41,03/21飯 1着4R 3.412 3.32 ST 0.22,3.8,-,25%,3,-,40%,-,-,-,0.19,3.434,3.34,25.7%,30.8%,2,30.4%,3.478,154.3,7
7,篠原　　睦,"投票締切
20:43",20:45,40,-,92,"2連率
66.7
3連率
100.0",04/06飯 2着12R 3.412 3.30 ST 0.15,04/05飯 3着11R 3.410 3.31 ST 0.14,04/04飯 3着11R 3.411 3.32 ST 0.24,04/04飯 1着5R 3.404 3.30 ST 0.34,03/31飯 1着8R 3.514 3.43 ST 0.13,03/30飯 3着7R 3.707 3.65 ST 0.09,03/29飯 他落9R - 3.27 ST 0.08,03/28飯 2着8R 3.383 3.29 ST 0.16,03/27飯 1着1R 3.386 3.27 ST 0.07,03/22浜 1着7R 3.415 3.32 ST 0.10,2.5,-,50%,3.5,-,25%,1,-,100%,0.14,3.392,3.30,71.2%,37.5%,52,50.5%,3.443,189.4,2
8,金子　大輔,"投票締切
20:43",20:45,40,-,89,"2連率
60.0
3連率
70.0",04/06飯 2着11R 3.396 3.32 ST 0.10,04/05飯 1着12R 3.404 3.30 ST 0.11,04/04飯 1着10R 3.404 3.33 ST 0.11,03/31浜 ④着12R 3.699 3.64 ST 0.15,03/30浜 1着12R 3.394 3.28 ST 0.17,03/29浜 2着12R 3.404 3.32 ST 0.19,03/22浜 ⑤着12R 3.359 3.28 ST 0.11,03/21浜 2着10R 3.400 3.33 ST 0.11,03/20浜 4着9R 3.432 3.34 ST 0.06,03/19浜 3着8R 3.399 3.31 ST 0.08,1.4,-,100%,2.7,-,33.3%,-,-,-,0.11,3.399,3.31,64.4%,60.0%,58,53.4%,3.447,195.55,1
