車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前一順,前一競走T,前一試走,前一ST,前二順,前二競走T,前二試走,前二ST,前三順,前三競走T,前三試走,前三ST,前日予想タイム,総合スコア,前日予想着順
1,林　　弘明,"投票締切
15:25",15:27,0,-,84,"2連率
50.0
3連率
70.0",04/08山 1着2R 3.424 3.36 ST 0.15,03/31浜 1着6R 3.768 3.84 ST 0.17,03/30浜 2着8R 3.446 3.37 ST 0.19,03/30浜 3着1R 3.581 3.69 ST 0.20,03/29浜 6着1R 3.447 3.36 ST 0.13,03/25伊 2着9R 3.590 3.34 ST 0.10,03/24伊 7着9R 3.460 3.36 ST 0.06,03/23伊 3着5R 3.427 3.35 ST 0.11,03/18山 2着4R 3.721 3.63 ST 0.08,03/17山 4着5R 3.399 3.31 ST 0.07,3.8,-,40%,1.8,-,80%,-,-,-,0.15,3.414,3.33,35.3%,58.3%,5,23.9%,01,3.424,3.36,0.15,01,3.768,3.84,0.17,02,3.446,3.37,0.19,3.42,230.17,2
2,角　翔太郎,"投票締切
15:25",15:27,0,-,83,"2連率
90.0
3連率
100.0",04/08山 2着9R 3.424 3.35 ST 0.10,04/03山 ②着9R 3.368 3.29 ST 0.10,04/02山 1着6R 3.349 3.32 ST 0.26,04/01山 2着2R 3.646 3.55 ST 0.17,03/26山 ②着9R 3.386 3.27 ST 0.10,03/25山 1着7R 3.608 3.51 ST 0.16,03/24山 1着5R 3.404 3.29 ST 0.22,03/23山 3着7R 3.406 3.29 ST 0.15,03/23山 1着1R 3.380 3.33 ST 0.16,03/17伊 2着10R 3.449 3.34 ST 0.12,1.6,-,100%,3.2,-,40%,-,-,-,0.16,3.413,3.33,29.4%,30.0%,5,25.4%,02,3.424,3.35,0.10,-,3.368,3.29,0.10,01,3.349,3.32,0.26,3.42,202.73,7
3,山本　将之,"投票締切
15:25",15:27,10,-,98,"2連率
40.0
3連率
50.0",04/08山 2着5R 3.420 3.32 ST 0.15,04/03山 1着3R 3.401 3.28 ST 0.23,04/02山 5着4R 3.393 3.30 ST 0.13,04/01山 3着3R 3.642 3.56 ST 0.29,03/22浜 4着1R 3.441 3.32 ST 0.08,03/21浜 4着6R 3.463 3.36 ST 0.14,03/20浜 6着11R 3.426 3.33 ST 0.03,03/19浜 1着5R 3.418 3.34 ST 0.08,03/18浜 6着9R 3.418 3.36 ST 0.10,03/15飯 2着10R 3.402 3.30 ST 0.07,3.2,-,40%,4,-,-,-,-,-,0.14,3.418,3.32,33.9%,12.5%,3,26.9%,02,3.420,3.32,0.15,01,3.401,3.28,0.23,05,3.393,3.30,0.13,3.436,206.97,6
4,佐藤　裕二,"投票締切
15:25",15:27,10,-,86,"2連率
30.0
3連率
40.0",04/08山 4着6R 3.433 3.36 ST 0.16,03/28川 2着3R 3.417 3.36 ST 0.17,03/27川 2着1R 3.414 3.31 ST 0.28,03/26川 6着5R 3.838 3.78 ST 0.23,03/22浜 8着10R 3.426 3.34 ST 0.20,03/21浜 5着11R 3.416 3.34 ST 0.06,03/20浜 3着10R 3.426 3.34 ST 0.05,03/19浜 2着9R 3.421 3.36 ST 0.07,03/18浜 4着12R 3.839 3.37 ST 0.06,03/15飯 6着11R 3.405 3.33 ST 0.10,4.2,-,40%,5,-,-,-,-,-,0.16,3.416,3.33,25.8%,22.2%,20,37.1%,04,3.433,3.36,0.16,02,3.417,3.36,0.17,02,3.414,3.31,0.28,3.435,187.57,8
5,森本　優佑,"投票締切
15:25",15:27,10,-,112,"2連率
40.0
3連率
70.0",04/08山 3着4R 3.426 3.31 ST 0.10,03/31飯 1着7R 3.572 3.46 ST 0.11,03/30飯 5着8R 3.740 3.63 ST 0.02,03/29飯 2着8R 3.402 3.28 ST 0.20,03/28飯 1着1R 3.395 3.29 ST 0.16,03/27飯 3着4R 3.395 3.28 ST 0.15,03/22浜 2着8R 3.399 3.30 ST 0.16,03/21浜 4着7R 3.441 3.32 ST 0.21,03/20浜 5着11R 3.410 3.32 ST 0.08,03/19浜 3着11R 3.424 3.30 ST 0.11,2.2,-,60%,3.2,-,40%,1,-,100%,0.14,3.402,3.29,38.9%,40.0%,4,27.2%,03,3.426,3.31,0.10,01,3.572,3.46,0.11,05,3.740,3.63,0.02,3.42,214.78,5
6,丹村　飛竜,"投票締切
15:25",15:27,10,-,87,"2連率
50.0
3連率
60.0",04/08山 2着12R 3.394 3.31 ST 0.21,04/03山 ①着9R 3.354 3.29 ST 0.13,04/02山 1着8R 3.361 3.28 ST 0.11,04/01山 1着8R 3.594 3.56 ST 0.13,03/22浜 反妨9R - 3.29 ST 0.11,03/21浜 8着12R 3.416 3.34 ST 0.14,03/20浜 3着7R 3.423 3.30 ST 0.09,03/19浜 1着2R 3.415 3.33 ST 0.11,03/18浜 6着5R 3.437 3.33 ST 0.11,03/08川 ⑤着12R 3.382 3.27 ST 0.11,3,-,75%,4,-,33.3%,1,-,100%,0.12,3.387,3.30,48.1%,62.5%,33,39.3%,02,3.394,3.31,0.21,-,3.354,3.29,0.13,01,3.361,3.28,0.11,3.402,220.52,4
7,鈴木　宏和,"投票締切
15:25",15:27,10,-,96,"2連率
80.0
3連率
100.0",04/08山 1着7R 3.401 3.30 ST 0.15,04/04伊 ③着12R 3.362 3.32 ST 0.06,04/03伊 1着10R 3.420 3.32 ST 0.07,04/02伊 1着8R 3.423 3.32 ST 0.32,03/31浜 ②着12R 3.692 3.61 ST 0.08,03/30浜 1着11R 3.392 3.29 ST 0.13,03/29浜 1着11R 3.401 3.30 ST 0.14,03/22浜 1着11R 3.368 3.29 ST 0.02,03/21浜 3着9R 3.390 3.31 ST 0.04,03/20浜 1着8R 3.397 3.32 ST 0.06,1,-,100%,2.7,-,33.3%,3,-,-,0.09,3.396,3.30,61.4%,28.6%,14,40.9%,01,3.401,3.30,0.15,-,3.362,3.32,0.06,01,3.420,3.32,0.07,3.408,221.58,3
8,佐藤　　励,"投票締切
15:25",15:27,10,-,96,"2連率
70.0
3連率
100.0",04/08山 1着8R 3.385 3.30 ST 0.08,04/03山 ③着9R 3.370 3.29 ST 0.15,04/02山 1着9R 3.338 3.26 ST 0.10,04/01山 1着9R 3.578 3.51 ST 0.19,03/28川 ③着12R 3.397 3.28 ST 0.06,03/27川 1着12R 3.365 3.27 ST 0.16,03/26川 2着11R 3.608 3.59 ST 0.12,03/22浜 ③着12R 3.349 3.26 ST 0.03,03/21浜 1着9R 3.368 3.28 ST 0.13,03/20浜 1着10R 3.377 3.32 ST 0.12,1.8,-,60%,1.5,-,100%,-,-,-,0.11,3.376,3.28,74.6%,66.7%,26,59.7%,01,3.385,3.30,0.08,-,3.370,3.29,0.15,01,3.338,3.26,0.10,3.39,239.58,1
