車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,古木　　賢,"投票締切
14:44",14:46,0,-,87,"2連率
60.0
3連率
60.0",04/06川 8着11R 3.455 3.37 ST 0.11,04/05川 1着7R 3.452 3.35 ST 0.15,03/18山 2着8R 3.671 3.61 ST 0.07,03/17山 2着6R 3.418 3.34 ST 0.06,03/16山 1着4R 3.415 3.33 ST 0.18,03/08川 7着1R 3.458 3.36 ST 0.01,03/07川 1着3R 3.429 3.35 ST 0.09,03/06川 6着3R 3.439 3.34 ST 0.05,03/05川 8着4R 3.458 3.40 ST 0.11,03/04川 2着12R 3.419 3.34 ST 0.18,2.6,-,80%,1.5,-,100%,-,-,-,0.14,3.437,3.35,31.5%,42.9%,1,25.3%,3.44,179.65,2
2,増田　伸一,"投票締切
14:44",14:46,0,-,95,"2連率
20.0
3連率
30.0",04/06川 8着10R 3.471 3.39 ST 0.04,04/05川 2着8R 3.449 3.36 ST 0.16,03/28川 6着7R 3.468 3.36 ST 0.17,03/27川 5着1R 3.468 3.36 ST 0.27,03/26川 5着12R 3.660 3.60 ST 0.10,03/08川 1着8R 3.442 3.37 ST 0.22,03/07川 4着7R 3.455 3.39 ST 0.14,03/06川 4着3R 3.435 3.36 ST 0.17,03/05川 7着10R 3.461 3.37 ST 0.17,03/04川 3着7R 3.455 3.39 ST 0.21,5,-,20%,5,-,-,-,-,-,0.19,3.455,3.36,23.9%,16.7%,1,25.3%,3.464,151.25,8
3,筒井　健太,"投票締切
14:44",14:46,0,-,72,"2連率
40.0
3連率
60.0",04/06川 7着11R 3.452 3.36 ST 0.17,04/05川 1着5R 3.422 3.39 ST 0.06,03/26山 1着7R 3.403 3.34 ST 0.06,03/25山 6着7R 3.765 3.61 ST 0.09,03/24山 3着4R 3.444 3.35 ST 0.18,03/23山 1着7R 3.389 3.32 ST 0.18,03/14浜 1着8R 3.426 3.38 ST 0.07,03/13浜 6着1R 3.468 3.38 ST 0.25,03/12浜 3着10R 3.426 3.36 ST 0.10,03/03浜 7着8R 3.635 3.61 ST 0.38,2.6,-,60%,6,-,-,7,-,-,0.17,3.432,3.36,38.3%,0.0%,7,27.2%,3.438,182.4,1
4,斎藤　撤二,"投票締切
14:44",14:46,10,-,94,"2連率
40.0
3連率
50.0",04/06川 7着12R 3.437 3.31 ST 0.10,04/05川 4着4R 3.431 3.33 ST 0.12,03/28川 3着10R 3.450 3.33 ST 0.05,03/27川 6着10R 3.449 3.34 ST 0.11,03/26川 1着3R 3.792 3.67 ST 0.19,03/22飯 1着7R 3.688 3.63 ST 0.11,03/21飯 4着8R 3.428 3.32 ST 0.19,03/20飯 2着8R 3.426 3.35 ST 0.17,03/19飯 1着6R 3.420 3.31 ST 0.13,03/15飯 7着10R 3.435 3.35 ST 0.08,4.8,-,-,2.3,-,75%,-,-,-,0.15,3.434,3.34,17.5%,71.4%,9,24.3%,3.451,154.3,7
5,五十嵐　一夫,"投票締切
14:44",14:46,10,-,90,"2連率
20.0
3連率
20.0",04/06川 1着6R 3.465 3.37 ST 0.25,04/05川 5着2R 3.444 3.34 ST 0.12,03/28川 4着2R 3.431 3.35 ST 0.12,03/27川 2着6R 3.450 3.37 ST 0.25,03/26川 6着11R 3.665 3.64 ST 0.16,03/08川 5着5R 3.441 3.35 ST 0.05,03/07川 6着4R 3.469 3.36 ST 0.16,03/06川 4着2R 3.415 3.32 ST 0.12,03/05川 6着4R 3.434 3.35 ST 0.11,03/04川 8着6R 3.466 3.37 ST 0.12,3.6,-,40%,4,-,50%,4,-,-,0.16,3.44,3.35,19.1%,60.0%,10,28.9%,3.458,172.5,4
6,佐藤　大地,"投票締切
14:44",14:46,10,-,84,"2連率
30.0
3連率
50.0",04/06川 8着9R 3.486 3.37 ST 0.03,04/05川 3着1R 3.419 3.40 ST 0.12,03/31浜 2着11R 3.709 3.66 ST 0.11,03/30浜 3着12R 3.415 3.34 ST 0.10,03/29浜 1着6R 3.433 3.37 ST 0.14,03/22浜 5着6R 3.423 3.34 ST 0.18,03/21浜 4着3R 3.428 3.36 ST 0.13,03/20浜 7着8R 3.435 3.36 ST 0.10,03/19浜 4着2R 3.450 3.38 ST 0.08,03/18浜 1着1R 3.399 3.34 ST 0.10,4.2,-,20%,5.2,-,20%,3.5,-,-,0.12,3.424,3.34,20.4%,11.1%,4,27.2%,3.437,172.8,3
7,岩田　裕臣,"投票締切
14:44",14:46,10,-,89,"2連率
30.0
3連率
70.0",04/06川 7着10R 3.453 3.35 ST 0.06,04/05川 3着8R 3.441 3.34 ST 0.10,03/28川 1着10R 3.447 3.34 ST 0.08,03/27川 5着9R 3.447 3.37 ST 0.19,03/26川 2着1R 3.823 3.78 ST 0.20,03/22浜 3着5R 3.441 3.34 ST 0.07,03/21浜 2着5R 3.418 3.35 ST 0.11,03/20浜 7着9R 3.455 3.36 ST 0.07,03/19浜 3着10R 3.418 3.38 ST 0.09,03/18浜 3着2R 3.405 3.34 ST 0.08,3.8,-,20%,2.5,-,50%,-,-,-,0.12,3.429,3.34,37.9%,40.0%,3,29.4%,3.442,167.55,5
8,青木　治親,"投票締切
14:44",14:46,20,-,93,"2連率
30.0
3連率
70.0",04/06川 8着12R 3.429 3.32 ST 0.11,04/05川 3着7R 3.436 3.31 ST 0.16,03/28川 6着9R 3.454 3.37 ST 0.32,03/27川 7着11R 3.431 3.34 ST 0.19,03/26川 1着10R 3.691 3.62 ST 0.10,03/18山 2着7R 3.642 3.66 ST 0.17,03/17山 3着8R 3.371 3.30 ST 0.18,03/16山 2着8R 3.398 3.31 ST 0.21,03/08川 3着2R 3.417 3.32 ST 0.11,03/07川 3着1R 3.410 3.34 ST 0.07,5.4,-,-,2,-,66.7%,3,-,-,0.15,3.423,3.33,19.6%,57.1%,17,29.7%,3.452,158.35,6
