車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,九門　結衣,"投票締切
12:13",12:15,0,-,81,"2連率
0.0
3連率
0.0",04/06川 8着8R 3.623 3.56 ST 0.12,04/05川 7着3R 3.677 3.56 ST 0.19,03/27川 欠責5R - 0.00 -,03/26川 8着1R 4.068 3.91 ST 0.20,03/14浜 7着3R 3.619 3.55 ST 0.24,03/13浜 7着6R 3.626 3.56 ST 0.19,03/12浜 7着7R 3.690 再3.60 ST 0.21,02/26川 7着1R 3.723 3.62 ST 0.13,02/25川 7着4R 4.019 3.87 ST 0.10,02/24川 7着6R 3.584 3.52 ST 0.15,7.3,-,-,7.5,-,-,7,-,-,0.16,3.611,3.53,0.0%,0.0%,0,0.0%,3.615,-15.19,7
2,渡辺　　稔,"投票締切
12:13",12:15,40,-,79,"2連率
0.0
3連率
0.0",04/06川 7着3R 3.513 3.45 ST 0.20,04/05川 8着11R 3.513 3.45 ST 0.15,03/28川 7着1R 3.503 3.45 ST 0.12,03/27川 4着7R 3.503 3.44 ST 0.19,03/26川 7着12R 3.710 3.71 ST 0.20,03/18山 5着5R 3.810 3.75 ST 0.11,03/17山 6着2R 3.542 3.45 ST 0.11,03/16山 6着5R 3.539 3.46 ST 0.12,03/11伊 5着6R 3.532 3.44 ST 0.16,03/10伊 7着5R 3.535 3.45 ST 0.10,6.2,-,-,5.5,-,-,7,-,-,0.14,3.529,3.45,2.0%,0.0%,4,16.9%,3.579,20.91,6
3,鈴木　啓示,"投票締切
12:13",12:15,40,-,83,"2連率
0.0
3連率
30.0",04/06川 6着6R 3.537 3.42 ST 0.15,04/05川 6着4R 3.503 3.44 ST 0.20,03/31浜 3着8R 3.771 3.72 ST 0.20,03/30浜 5着1R 3.647 3.73 ST 0.18,03/29浜 3着4R 3.497 3.43 ST 0.24,03/25伊 8着1R F 3.510 3.39 ST 0.20,03/24伊 3着2R 3.500 3.42 ST 0.11,03/23伊 7着7R 3.510 3.40 ST 0.18,03/14浜 5着6R 3.500 3.43 ST 0.22,03/13浜 4着6R 3.484 3.41 ST 0.24,5.2,-,-,3.3,-,33.3%,-,-,-,0.16,3.503,3.42,2.9%,20.0%,2,19.6%,3.555,44.71,5
4,広瀬　豪彦,"投票締切
12:13",12:15,40,-,96,"2連率
10.0
3連率
50.0",04/06川 4着1R 3.500 3.37 ST 0.16,04/05川 6着10R 3.484 3.36 ST 0.19,03/31浜 3着11R 3.745 3.67 ST 0.18,03/30浜 3着11R 3.465 3.40 ST 0.26,03/29浜 2着9R 3.477 3.42 ST 0.15,03/14浜 3着4R 3.481 3.39 ST 0.33,03/13浜 3着2R 3.458 3.38 ST 0.11,03/12浜 4着3R 3.466 3.38 ST 0.07,03/03浜 6着3R 3.797 3.66 ST 0.19,03/02浜 6着4R 3.529 3.40 ST 0.21,3.6,-,20%,4.5,-,-,-,-,-,0.18,3.486,3.39,10.0%,0.0%,7,21.7%,3.541,66.56,4
5,木村　直幸,"投票締切
12:13",12:15,50,-,70,"2連率
30.0
3連率
50.0",04/06川 2着6R 3.490 3.40 ST 0.16,04/05川 4着3R 3.460 3.42 ST 0.05,03/31浜 8着10R 3.865 3.76 ST 0.19,03/30浜 5着5R 3.468 3.42 ST 0.11,03/29浜 2着4R 3.467 3.39 ST 0.25,03/25伊 8着9R 3.732 3.39 ST 0.14,03/24伊 8着12R 3.476 3.40 ST 0.07,03/23伊 1着10R 3.444 3.38 ST 0.12,03/14浜 3着10R 3.452 3.38 ST 0.21,03/13浜 3着5R 3.432 3.36 ST 0.13,4.2,-,40%,6.2,-,-,-,-,-,0.15,3.46,3.39,27.8%,0.0%,2,22.1%,3.523,104.86,1
6,牛沢　和彦,"投票締切
12:13",12:15,60,-,86,"2連率
40.0
3連率
40.0",04/06川 6着5R F 3.498 3.40 ST 0.16,04/05川 7着11R 3.478 3.39 ST 0.19,03/28川 6着10R 3.477 3.37 ST 0.19,03/27川 5着11R 3.450 3.37 ST 0.10,03/26川 2着2R 3.825 3.79 ST 0.10,03/08川 2着5R 3.445 3.37 ST 0.10,03/07川 2着8R 3.448 3.38 ST 0.11,03/06川 8着9R 3.455 3.36 ST 0.23,03/05川 6着3R 3.455 3.35 ST 0.09,03/04川 2着2R 3.542 3.54 ST 0.09,6.4,-,-,1.7,-,100%,2,-,100%,0.15,3.456,3.37,20.8%,66.7%,36,35.4%,3.531,68.56,3
7,小原　　望,"投票締切
12:13",12:15,70,-,101,"2連率
20.0
3連率
20.0",04/06川 2着2R 3.438 3.35 ST 0.11,04/05川 5着9R 3.447 3.33 ST 0.14,03/28川 6着3R 3.450 3.35 ST 0.15,03/27川 4着2R 3.441 3.31 ST 0.17,03/26川 5着7R 3.827 3.80 ST 0.19,03/14浜 5着3R 3.467 3.36 ST 0.28,03/13浜 5着4R 3.448 3.35 ST 0.31,03/12浜 4着11R 3.457 3.36 ST 0.23,03/08川 6着1R 3.437 3.34 ST 0.11,03/07川 1着6R 3.428 3.34 ST 0.09,4.4,-,20%,6,-,-,-,-,-,0.17,3.441,3.34,24.6%,0.0%,6,25.8%,3.531,91.31,2
