場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42, , ,1,阿久津　正夫,0,046,110.44,3.563,121.32,3.914,,2連率 0.0 3連率 0.0,カムイＭ,川口,13期,72歳,1級,B-107,04/13川 7着3R 3.581 3.54 ST 0.28,04/12川 7着4R 3.639 3.54 ST 0.34,04/11川 自落5R - 3.50 ST 0.30,04/07川 7着6R 3.794 3.85 ST 0.31,04/06川 7着2R 3.571 3.49 ST 0.12,04/05川 7着4R 3.535 3.51 ST 0.22,03/28川 8着3R 3.506 3.48 ST 0.08,03/27川 8着2R 3.542 3.51 ST 0.12,03/26川 8着3R 3.974 3.89 ST 0.12,02/26川 7着4R 3.529 3.53 ST 0.31,04/13川 7着3R 3.581 3.54 ST 0.28,04/12川 7着4R 3.639 3.54 ST 0.34,04/11川 自落5R - 3.50 ST 0.30,04/06川 7着2R 3.571 3.49 ST 0.12,04/05川 7着4R 3.535 3.51 ST 0.22,7,,,04/07川 7着6R 3.794 3.85 ST 0.31,03/26川 8着3R 3.974 3.89 ST 0.12,02/25川 7着3R 4.003 3.92 ST 0.22,02/11川 6着3R 3.813 3.76 ST 0.19,-,7,,,02/26川 7着4R 3.529 3.53 ST 0.31,-,-,-,-,7,,,8,8
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42,△, ,2,石井　大志,20,101,107.98,3.461,120.07,3.848,,2連率 10.0 3連率 60.0,オーディン,川口,24期,51歳,1級,B-5,04/13川 3着7R 3.423 3.34 ST 0.06,04/12川 2着5R 3.434 3.39 ST 0.03,04/11川 3着5R 3.439 3.35 ST 0.11,04/07川 3着7R 3.510 3.57 ST 0.12,04/06川 3着4R 3.487 3.39 ST 0.08,04/05川 3着4R 3.436 3.35 ST 0.07,03/28川 4着3R 3.455 3.35 ST 0.07,03/27川 5着6R 3.474 3.37 ST 0.15,03/26川 5着6R 3.901 3.81 ST 0.13,03/17伊 5着1R 3.478 3.37 ST 0.18,04/13川 3着7R 3.423 3.34 ST 0.06,04/12川 2着5R 3.434 3.39 ST 0.03,04/11川 3着5R 3.439 3.35 ST 0.11,04/06川 3着4R 3.487 3.39 ST 0.08,04/05川 3着4R 3.436 3.35 ST 0.07,2.8,,20%,03/26川 5着6R 3.901 3.81 ST 0.13,02/25川 4着9R 3.888 3.79 ST 0.13,02/11川 6着1R 3.756 3.65 ST 0.10,-,-,5,,,04/07川 3着7R 3.510 3.57 ST 0.12,-,-,-,-,3,,,4,7
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42, ,注,3,清水　　卓,20,093,108.46,3.476,115.25,3.694,,2連率 20.0 3連率 50.0,ＮＥＤグランパ,伊勢崎,19期,59歳,1級,A-146,04/04伊 6着7R 3.506 3.50 ST 0.12,04/03伊 1着1R 3.484 3.38 ST 0.17,04/02伊 4着6R 3.503 3.42 ST 0.12,03/25伊 1着5R 3.443 3.36 ST 0.15,03/24伊 3着6R 3.492 3.41 ST 0.21,03/23伊 7着5R 3.483 3.37 ST 0.22,03/17伊 3着7R 3.470 3.37 ST 0.21,03/16伊 4着1R 3.451 3.37 ST 0.24,03/15伊 3着7R 3.460 3.39 ST 0.22,03/11伊 4着1R 3.471 3.37 ST 0.13,04/03伊 1着1R 3.484 3.38 ST 0.17,03/25伊 1着5R 3.443 3.36 ST 0.15,03/24伊 3着6R 3.492 3.41 ST 0.21,03/23伊 7着5R 3.483 3.37 ST 0.22,03/17伊 3着7R 3.470 3.37 ST 0.21,3,,40%,02/25伊 6着8R 3.728 3.65 ST 0.23,02/11川 4着7R 3.660 3.61 ST 0.18,-,-,-,5,,,04/04伊 6着7R 3.506 3.50 ST 0.12,-,-,-,-,6,,,7,5
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42,注,〇,4,君和田　裕二,30,085,108.14,3.455,114.72,3.665,,2連率 30.0 3連率 40.0,プンバァ２,川口,30期,42歳,1級,A-74,04/12山 4着3R 3.444 3.38 ST 0.16,04/11山 2着2R 3.437 3.37 ST 0.07,04/10山 5着3R 3.672 3.54 ST 0.20,04/09山 4着2R 3.704 3.64 ST 0.12,04/08山 7着11R 3.453 3.36 ST 0.14,03/26山 2着5R 3.420 3.36 ST 0.16,03/26山 3着1R 3.431 3.36 ST 0.25,03/25山 2着6R 3.620 3.54 ST 0.22,03/24山 5着7R 3.429 3.34 ST 0.22,03/23山 5着9R 3.431 3.34 ST 0.28,04/12山 4着3R 3.444 3.38 ST 0.16,04/11山 2着2R 3.437 3.37 ST 0.07,04/08山 7着11R 3.453 3.36 ST 0.14,03/26山 2着5R 3.420 3.36 ST 0.16,03/26山 3着1R 3.431 3.36 ST 0.25,3.6,,40%,04/10山 5着3R 3.672 3.54 ST 0.20,04/09山 4着2R 3.704 3.64 ST 0.12,03/25山 2着6R 3.620 3.54 ST 0.22,02/25川 3着3R 3.860 3.77 ST 0.35,02/11川 5着6R 3.684 3.60 ST 0.17,3.8,,20%,-,-,-,-,-,,,,5,2
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42, ,△,5,米里　崇徳,30,093,108.29,3.460,115.05,3.676,,2連率 30.0 3連率 50.0,ワカシ,浜松,34期,30歳,1級,A-151,04/04伊 2着7R 3.460 3.40 ST 0.03,04/03伊 3着2R 3.457 3.36 ST 0.12,04/02伊 7着5R 3.479 3.39 ST 0.10,03/31浜 6着3R 3.815 3.75 ST 0.21,03/30浜 2着9R 3.457 3.35 ST 0.20,03/30浜 5着2R 3.484 3.52 ST 0.11,03/29浜 5着5R 3.473 3.39 ST 0.12,03/25伊 3着8R 3.410 3.29 ST 0.06,03/24伊 2着2R 3.448 3.35 ST 0.03,03/23伊 4着11R 3.438 3.34 ST 0.12,04/03伊 3着2R 3.457 3.36 ST 0.12,03/30浜 2着9R 3.457 3.35 ST 0.20,03/29浜 5着5R 3.473 3.39 ST 0.12,03/25伊 3着8R 3.410 3.29 ST 0.06,03/24伊 2着2R 3.448 3.35 ST 0.03,3,,40%,03/31浜 6着3R 3.815 3.75 ST 0.21,03/30浜 5着2R 3.484 3.52 ST 0.11,03/03浜 3着3R 3.728 3.66 ST 0.17,02/11山 5着4R 3.656 3.64 ST 0.08,02/10山 8着3R 3.653 3.38 ST 0.11,5.4,,,04/04伊 2着7R 3.460 3.40 ST 0.03,-,-,-,-,2,,100%,6,4
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42,◎, ,6,村瀬　月乃丞,30,106,106.61,3.406,115.92,3.704,,2連率 11.1 3連率 66.7,サン・ムーン,飯塚,36期,23歳,1級,A-49,04/10飯 3着7R 3.450 3.40 ST 0.19,04/09飯 3着8R 3.731 3.63 ST 0.30,04/08飯 3着7R 3.415 3.29 ST 0.15,04/08飯 3着2R 3.405 3.32 ST 0.30,04/07飯 ④着12R 3.409 3.29 ST 0.20,04/06飯 2着9R 3.425 3.33 ST 0.21,04/05飯 3着9R 3.429 3.33 ST 0.25,04/04飯 5着10R 3.444 3.35 ST 0.20,04/04飯 5着4R 3.467 3.36 ST 0.08,03/30飯 欠責5R - 0.00 -,04/08飯 3着7R 3.415 3.29 ST 0.15,04/08飯 3着2R 3.405 3.32 ST 0.30,04/07飯 ④着12R 3.409 3.29 ST 0.20,04/06飯 2着9R 3.425 3.33 ST 0.21,04/05飯 3着9R 3.429 3.33 ST 0.25,3,,20%,04/09飯 3着8R 3.731 3.63 ST 0.30,03/22飯 4着2R 3.747 3.63 ST 0.41,03/03飯 3着5R 3.633 3.56 ST 0.20,03/03飯 2着1R 3.629 3.58 ST 0.23,03/02飯 2着3R 3.687 3.62 ST 0.30,2.8,,40%,04/10飯 3着7R 3.450 3.40 ST 0.19,-,-,-,-,3,,,1,6
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42,〇,▲,7,早津　康介,40,091,107.42,3.421,114.77,3.655,,2連率 30.0 3連率 40.0,バレンティア,川口,34期,26歳,1級,A-124,04/12山 ⑦着12R 3.401 3.31 ST 0.09,04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,04/08山 3着3R 3.418 3.35 ST 0.10,04/03山 ⑥着9R 3.406 3.31 ST 0.15,04/02山 1着4R 3.378 3.31 ST 0.19,04/01山 4着6R 3.683 3.58 ST 0.15,03/28川 7着10R 3.466 3.33 ST 0.07,03/27川 6着12R 3.430 3.34 ST 0.13,04/12山 ⑦着12R 3.401 3.31 ST 0.09,04/11山 1着12R 3.389 3.33 ST 0.01,04/08山 3着3R 3.418 3.35 ST 0.10,04/03山 ⑥着9R 3.406 3.31 ST 0.15,04/02山 1着4R 3.378 3.31 ST 0.19,3.6,,40%,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,04/01山 4着6R 3.683 3.58 ST 0.15,03/26川 2着10R 3.703 3.67 ST 0.05,03/18山 ⑥着9R 3.738 3.64 ST 0.29,3.8,,40%,-,-,-,-,-,,,,2,3
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選4R,3100m,16:42,▲,◎,8,加賀谷　建明,40,096,107.79,3.433,112.8,3.593,,2連率 20.0 3連率 40.0,アップテイル,川口,27期,47歳,1級,S-35,04/12山 4着2R 3.446 3.34 ST 0.16,04/11山 3着8R 3.449 3.35 ST 0.18,04/10山 7着11R 3.408 3.31 ST 0.04,04/09山 3着6R 3.423 3.30 ST 0.16,04/08山 6着5R 3.439 3.32 ST 0.17,03/28川 反妨10R - 3.32 ST 0.10,03/27川 6着9R 3.436 3.33 ST 0.20,03/26川 1着11R 3.596 3.53 ST 0.21,03/22浜 5着9R 3.416 3.33 ST 0.15,03/21浜 1着4R 3.415 3.33 ST 0.13,04/12山 4着2R 3.446 3.34 ST 0.16,04/11山 3着8R 3.449 3.35 ST 0.18,04/08山 6着5R 3.439 3.32 ST 0.17,03/28川 反妨10R - 3.32 ST 0.10,03/27川 6着9R 3.436 3.33 ST 0.20,4.8,,,03/26川 1着11R 3.596 3.53 ST 0.21,02/11川 1着3R 3.589 3.53 ST 0.31,-,-,-,1,,100%,04/10山 7着11R 3.408 3.31 ST 0.04,04/09山 3着6R 3.423 3.30 ST 0.16,-,-,-,5,,,3,1
