場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿),前競走T_1,前試走T_1,前ST_1,前順位_1,前競走T_2,前試走T_2,前ST_2,前順位_2,前競走T_3,前試走T_3,前ST_3,前順位_3,平均競走タイム,平均試走,平均順位,平均st,直前予想競走T,上昇度,上昇評価,100m単価,追い上げスコア,逃げ評価,偏差評価,ST評価,タイム順位,タイム評価,実績評価,予想スコア,予想着順
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46, , ,1,柴本　真樹,0,56,111.17,3.586,122.3,3.945,3.47,2連率 0.0 3連率 0.0,ゲオルギア,浜松,39期,20歳,2級,B-135,04/17浜 4着4R 3.548 3.52 ST 0.03,04/16浜 4着3R 3.565 3.49 ST 0.14,03/31浜 8着8R 3.955 3.82 ST 0.23,03/30浜 8着7R 3.674 3.61 ST 0.11,03/29浜 8着2R 3.623 3.55 ST 0.08,03/14浜 7着4R 3.635 3.54 ST 0.16,03/13浜 7着3R 3.623 3.54 ST 0.15,03/12浜 7着6R 3.648 3.58 ST 0.11,02/14浜 8着6R 3.658 3.58 ST 0.09,02/13浜 8着4R 3.645 3.62 ST 0.10,04/17浜 4着4R 3.548 3.52 ST 0.03,04/16浜 4着3R 3.565 3.49 ST 0.14,03/30浜 8着7R 3.674 3.61 ST 0.11,03/29浜 8着2R 3.623 3.55 ST 0.08,03/14浜 7着4R 3.635 3.54 ST 0.16,6.2,,,03/31浜 8着8R 3.955 3.82 ST 0.23,-,-,-,-,8.0,,,-,-,-,-,-,,,,8,8,3.548,3.52,0.03,4,3.565,3.49,0.14,4,3.674,3.61,0.11,8,3.60,3.54,5.3,0.09,3.53,0.126,10,0.11373118279569894,0,0,10,10,6.0,0.0,0,30.0,4.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46,注, ,2,広瀬　豪彦,40,90,109.9,3.5,119.48,3.805,3.44,2連率 10.0 3連率 50.0,ワオンチュー,浜松,19期,63歳,1級,B-79,04/17浜 8着10R 3.510 3.42 ST 0.16,04/16浜 5着4R 3.526 3.44 ST 0.26,04/07川 4着4R 3.873 3.75 ST 0.29,04/06川 4着1R 3.500 3.37 ST 0.16,04/05川 6着10R 3.484 3.36 ST 0.19,03/31浜 3着11R 3.745 3.67 ST 0.18,03/30浜 3着11R 3.465 3.40 ST 0.26,03/29浜 2着9R 3.477 3.42 ST 0.15,03/14浜 3着4R 3.481 3.39 ST 0.33,03/13浜 3着2R 3.458 3.38 ST 0.11,04/17浜 8着10R 3.510 3.42 ST 0.16,04/16浜 5着4R 3.526 3.44 ST 0.26,04/06川 4着1R 3.500 3.37 ST 0.16,04/05川 6着10R 3.484 3.36 ST 0.19,03/30浜 3着11R 3.465 3.40 ST 0.26,5.2,,,04/07川 4着4R 3.873 3.75 ST 0.29,03/31浜 3着11R 3.745 3.67 ST 0.18,03/03浜 6着3R 3.797 3.66 ST 0.19,-,-,4.3,,,-,-,-,-,-,,,,5,6,3.51,3.42,0.16,8,3.526,3.44,0.26,5,3.5,3.37,0.16,4,3.51,3.41,5.7,0.19,3.54,-0.010,0,0.11425806451612902,0,0,0,10,8.0,0.0,0,10.0,7.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46, , ,3,田島　敏徳,50,87,110.47,3.507,119.66,3.799,3.43,2連率 20.0 3連率 20.0,ＶＥＲタートル,飯塚,20期,60歳,1級,B-18,04/17浜 7着3R 3.516 3.42 ST 0.14,04/16浜 8着8R 3.527 3.42 ST 0.21,04/07飯 1着2R 3.494 3.42 ST 0.20,04/06飯 5着8R 3.494 3.39 ST 0.19,04/05飯 5着6R 3.510 3.41 ST 0.21,04/04飯 7着1R 3.513 3.40 ST 0.21,03/31浜 1着1R 3.796 3.68 ST 0.21,03/30浜 6着8R 3.522 3.41 ST 0.26,03/29浜 7着2R 3.530 3.45 ST 0.26,03/15飯 5着4R 3.481 3.45 ST 0.15,04/17浜 7着3R 3.516 3.42 ST 0.14,04/16浜 8着8R 3.527 3.42 ST 0.21,04/07飯 1着2R 3.494 3.42 ST 0.20,04/06飯 5着8R 3.494 3.39 ST 0.19,04/05飯 5着6R 3.510 3.41 ST 0.21,5.2,,20%,03/31浜 1着1R 3.796 3.68 ST 0.21,02/25川 7着11R 3.897 3.78 ST 0.15,02/14飯 3着6R 3.703 3.64 ST 0.17,01/21飯 8着3R 3.719 3.68 ST 0.18,-,4.8,,25%,-,-,-,-,-,,,,7,7,3.516,3.42,0.14,7,3.527,3.42,0.21,8,3.494,3.42,0.2,1,3.51,3.42,5.3,0.18,3.52,-0.022,0,0.11362365591397852,0,0,0,10,5.0,10.0,0,20.0,5.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46,▲,注,4,新村　嘉之,60,64,109.57,3.467,119.0,3.766,3.39,2連率 30.0 3連率 30.0,バンチョウ,飯塚,27期,48歳,1級,A-96,04/17浜 5着7R 3.457 3.39 ST 0.20,04/16浜 5着10R 3.481 再3.46 ST 0.26,04/07飯 6着9R 3.463 3.36 ST 0.15,04/06飯 7着9R 3.481 3.39 ST 0.27,04/05飯 1着11R 3.423 3.38 ST 0.15,04/05飯 2着4R 3.473 3.40 ST 0.16,04/04飯 2着7R 3.458 3.58 ST 0.14,03/31飯 6着3R 3.681 3.61 ST 0.25,03/30飯 5着5R 3.816 3.71 ST 0.33,03/29飯 6着6R 3.435 3.35 ST 0.20,04/17浜 5着7R 3.457 3.39 ST 0.20,04/16浜 5着10R 3.481 再3.46 ST 0.26,04/07飯 6着9R 3.463 3.36 ST 0.15,04/06飯 7着9R 3.481 3.39 ST 0.27,04/05飯 1着11R 3.423 3.38 ST 0.15,4.8,,20%,03/31飯 6着3R 3.681 3.61 ST 0.25,03/30飯 5着5R 3.816 3.71 ST 0.33,03/22飯 ⑦着8R 3.800 3.68 ST 0.31,03/03飯 6着5R 3.696 3.60 ST 0.32,03/02飯 5着5R 3.766 3.72 ST 0.19,5.8,,,04/04飯 2着7R 3.458 3.58 ST 0.14,-,-,-,-,2.0,,100%,3,5,3.457,3.39,0.2,5,3.481,3.46,0.26,5,3.463,3.36,0.15,6,3.47,3.40,5.3,0.20,3.45,0.006,10,0.11140860215053766,0,0,10,0,1.0,50.0,0,70.0,1.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46, ,△,5,道智　亮介,60,108,110.01,3.481,118.21,3.741,3.43,2連率 0.0 3連率 10.0,クワナ３,飯塚,34期,36歳,1級,A-136,04/17浜 4着1R 3.478 3.37 ST 0.14,04/16浜 6着2R 3.500 3.41 ST 0.13,04/10飯 4着5R 3.466 3.41 ST 0.11,04/10飯 3着1R 3.553 3.46 ST 0.12,04/09飯 4着4R 3.706 3.60 ST 0.14,04/08飯 6着3R 3.446 3.34 ST 0.18,04/07飯 5着8R 3.478 3.34 ST 0.21,04/06飯 6着4R 3.473 3.37 ST 0.18,04/05飯 7着7R 3.470 3.37 ST 0.13,04/05飯 4着1R 3.484 3.39 ST 0.22,04/17浜 4着1R 3.478 3.37 ST 0.14,04/16浜 6着2R 3.500 3.41 ST 0.13,04/08飯 6着3R 3.446 3.34 ST 0.18,04/07飯 5着8R 3.478 3.34 ST 0.21,04/06飯 6着4R 3.473 3.37 ST 0.18,5.4,,,04/09飯 4着4R 3.706 3.60 ST 0.14,03/30飯 6着3R 3.775 3.71 ST 0.11,03/22飯 3着2R 3.741 3.65 ST 0.11,03/03飯 ①着8R 3.600 3.53 ST 0.10,03/02飯 2着6R 3.703 3.60 ST 0.16,3.2,,40%,04/10飯 4着5R 3.466 3.41 ST 0.11,04/10飯 3着1R 3.553 3.46 ST 0.12,-,-,-,3.5,,,6,4,3.478,3.37,0.14,4,3.5,3.41,0.13,6,3.446,3.34,0.18,6,3.47,3.37,5.3,0.15,3.53,-0.032,0,0.11391397849462365,0,0,0,10,7.0,0.0,0,10.0,7.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46,◎,▲,6,和田　健吾,70,73,109.14,3.443,116.66,3.68,3.42,2連率 40.0 3連率 40.0,ジェイ・ロー,浜松,28期,46歳,1級,A-121,04/17浜 7着5R 3.466 3.37 ST 0.18,04/16浜 6着1R 3.492 3.38 ST 0.13,04/04伊 2着8R 3.585 3.42 ST 0.21,04/03伊 5着8R 3.473 3.39 ST 0.11,04/02伊 4着11R 3.444 3.34 ST 0.10,03/31浜 ⑧着12R 3.775 3.66 ST 0.06,03/30浜 2着11R 3.409 3.35 ST 0.10,03/29浜 1着12R 3.415 3.36 ST 0.19,03/14浜 5着9R 3.463 3.41 ST 0.04,03/13浜 2着3R 3.438 3.35 ST 0.23,04/17浜 7着5R 3.466 3.37 ST 0.18,04/03伊 5着8R 3.473 3.39 ST 0.11,03/30浜 2着11R 3.409 3.35 ST 0.10,03/29浜 1着12R 3.415 3.36 ST 0.19,03/14浜 5着9R 3.463 3.41 ST 0.04,4.0,,40%,04/04伊 2着8R 3.585 3.42 ST 0.21,03/31浜 ⑧着12R 3.775 3.66 ST 0.06,-,-,-,5.0,,50%,04/16浜 6着1R 3.492 3.38 ST 0.13,-,-,-,-,6.0,,,1,3,3.466,3.37,0.18,7,3.473,3.39,0.11,5,3.409,3.35,0.1,2,3.45,3.37,4.7,0.13,3.50,-0.057,0,0.11288172043010752,0,0,10,10,3.0,30.0,0,50.0,3.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46,△,〇,7,仲口　武志,70,98,109.62,3.458,116.26,3.667,3.4,2連率 40.0 3連率 40.0,キンパックン,浜松,24期,52歳,1級,A-62,04/17浜 8着9R 3.473 3.36 ST 0.33,04/16浜 5着8R 3.482 3.38 ST 0.33,04/03山 4着4R 3.441 3.34 ST 0.22,04/02山 4着1R 3.427 3.35 ST 0.19,04/01山 5着1R 3.695 3.61 ST 0.25,03/26山 2着7R 3.399 3.34 ST 0.20,03/25山 5着9R 3.640 3.62 ST 0.20,03/24山 2着6R 3.407 3.31 ST 0.11,03/23山 2着4R 3.415 3.31 ST 0.26,03/14浜 2着4R 3.442 3.36 ST 0.18,04/17浜 8着9R 3.473 3.36 ST 0.33,04/16浜 5着8R 3.482 3.38 ST 0.33,04/03山 4着4R 3.441 3.34 ST 0.22,04/02山 4着1R 3.427 3.35 ST 0.19,03/26山 2着7R 3.399 3.34 ST 0.20,4.6,,20%,04/01山 5着1R 3.695 3.61 ST 0.25,03/25山 5着9R 3.640 3.62 ST 0.20,-,-,-,5.0,,,03/24山 2着6R 3.407 3.31 ST 0.11,-,-,-,-,2.0,,100%,4,2,3.473,3.36,0.33,8,3.482,3.38,0.33,5,3.441,3.34,0.22,4,3.47,3.36,5.7,0.29,3.51,-0.032,0,0.11307526881720431,0,0,0,0,4.0,20.0,0,20.0,5.0
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦7R,3100m,13:46,〇,◎,8,石本　圭耶,80,81,109.32,3.438,115.88,3.644,3.36,2連率 30.0 3連率 30.0,テンヤシャ,飯塚,34期,26歳,1級,A-17,04/17浜 5着8R F 3.455 3.33 ST 0.28,04/16浜 6着12R 3.468 3.36 ST 0.11,04/12山 7着8R 3.471 3.38 ST 0.11,04/11山 6着6R 3.471 3.40 ST 0.07,04/10山 1着1R 3.644 3.61 ST 0.07,04/09山 4着4R 3.452 3.43 ST 0.08,04/08山 8着3R 3.449 再3.38 ST 0.16,03/31飯 ⑦着9R 3.577 3.49 ST 0.02,03/30飯 1着8R 3.695 3.64 ST 0.08,03/29飯 1着6R 3.392 3.33 ST 0.05,04/17浜 5着8R F 3.455 3.33 ST 0.28,04/16浜 6着12R 3.468 3.36 ST 0.11,04/12山 7着8R 3.471 3.38 ST 0.11,04/11山 6着6R 3.471 3.40 ST 0.07,04/08山 8着3R 3.449 再3.38 ST 0.16,6.4,,,04/10山 1着1R 3.644 3.61 ST 0.07,03/30飯 1着8R 3.695 3.64 ST 0.08,03/03飯 ④着8R 3.593 3.52 ST 0.05,03/02飯 1着6R 3.660 3.57 ST 0.11,02/11山 6着5R 3.516 3.61 ST 0.14,2.6,,60%,04/09山 4着4R 3.452 3.43 ST 0.08,03/31飯 ⑦着9R 3.577 3.49 ST 0.02,-,-,-,5.5,,,2,1,3.455,3.33,0.28,5,3.468,3.36,0.11,6,3.471,3.38,0.11,7,3.46,3.36,6.0,0.17,3.47,0.016,10,0.11187096774193547,0,0,10,10,2.0,40.0,0,70.0,1.0
