場所,車,日付,グレード,レース名,距離,天候,気温,湿度,走路温度,走路状況,投票締切,発走予定,選手名,ハンデ,試走T,偏差,連率,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5走_前1,良5走_前2,良5走_前3,良5走_前4,良5走_前5,良5走_平近順,良5走_近況,良5走_2連対率,湿5走_前1,湿5走_前2,湿5走_前3,湿5走_前4,湿5走_前5,湿5走_平近順,湿5走_近況,湿5走_2連対率,斑5走_前1,斑5走_前2,斑5走_前3,斑5走_前4,斑5走_前5,斑5走_平近順,斑5走_近況,斑5走_2連対率,90出走,90優出,90優勝,90平均ST,90(近10)_各着順,90(近10)_2連対率,90(近10)_3連対率,90(良10)平均試,90(良10)平均競,90(良10)最高競T(場),180良_2連対率,180良_連対回数,180良_出走数,180湿_2連対率,180湿_連対回数,180湿_出走数,今年_優出,今年_優勝,通算_優勝,通算_1着,通算_2着,通算_3着,通算_単勝率,通算_2連対率,通算_3連対率
isesaki,1,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,滝沢　　健 ロクス 伊勢崎 25期 54歳 1級 B-103,0,3.46,076,2連率 0.0 3連率 0.0,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,-,-,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,-,-,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,0,3.46,076,2連率 0.0 3連率 0.0,04/04伊 8着7R 3.594 3.56 ST 0.07,04/03伊 7着4R 3.629 3.46 ST 0.16,04/02伊 7着6R 3.571 3.47 ST 0.12,02/25伊 5着4R 3.731 3.64 ST 0.10,-
isesaki,2,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,荒川　哲也 シアトリカル１ 伊勢崎 23期 53歳 1級 B-9,0,3.40,106,2連率 20.0 3連率 20.0,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,-,-,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,-,-,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,0,3.40,106,2連率 20.0 3連率 20.0,04/04伊 6着5R 3.786 3.44 ST 0.23,04/03伊 2着4R 3.506 3.39 ST 0.11,04/02伊 4着8R 3.492 3.43 ST 0.08,04/04伊 6着5R 3.786 3.44 ST 0.23,-
isesaki,3,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,岡本　信一 スタイナーＳ 山陽 22期 57歳 1級 B-54,10,3.40,084,2連率 10.0 3連率 30.0,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,-,-,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,-,-,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,10,3.40,084,2連率 10.0 3連率 30.0,04/07飯 5着5R 3.503 3.38 ST 0.16,04/06飯 1着5R 3.481 3.37 ST 0.10,04/05飯 6着7R 3.489 3.40 ST 0.12,03/31浜 7着5R 3.971 3.71 ST 0.16,-
isesaki,4,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,北爪　勝義 カスケード 伊勢崎 23期 53歳 1級 B-12,10,3.40,072,2連率 40.0 3連率 60.0,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,-,-,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,-,-,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,10,3.40,072,2連率 40.0 3連率 60.0,04/04伊 3着8R 3.614 3.49 ST 0.11,04/03伊 6着6R 3.527 3.41 ST 0.13,04/02伊 6着12R 3.479 3.39 ST 0.17,04/04伊 3着8R 3.614 3.49 ST 0.11,-
isesaki,5,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,滝谷　　圭 オムライス 山陽 37期 25歳 1級 B-100,20,3.42,112,2連率 0.0 3連率 30.0,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,-,-,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,-,-,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,20,3.42,112,2連率 0.0 3連率 30.0,04/07飯 7着8R 3.498 3.36 ST 0.25,04/07飯 3着2R 3.498 3.39 ST 0.19,04/06飯 7着8R 3.502 3.38 ST 0.18,03/26川 8着12R 3.715 3.66 ST 0.28,-
isesaki,6,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,吉田　恵輔 マイキー 伊勢崎 29期 45歳 1級 A-68,30,3.38,090,2連率 10.0 3連率 30.0,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,-,-,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,-,-,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,30,3.38,090,2連率 10.0 3連率 30.0,03/31飯 3着3R 3.601 3.53 ST 0.13,03/30飯 2着3R 3.727 3.65 ST 0.03,03/29飯 5着1R 3.428 3.34 ST 0.09,03/31飯 3着3R 3.601 3.53 ST 0.13,-
isesaki,7,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,塚越　浩之 バクダンクン 伊勢崎 23期 54歳 1級 A-19,30,3.34,097,2連率 50.0 3連率 60.0,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,-,-,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,-,-,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,30,3.34,097,2連率 50.0 3連率 60.0,04/04伊 2着6R 3.438 3.52 ST 0.11,04/03伊 2着6R 3.467 3.36 ST 0.05,04/02伊 5着8R 3.462 3.37 ST 0.09,03/31浜 3着7R 3.760 3.73 ST 0.25,-
isesaki,8,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選8R,3100m,晴,25.0℃,29.0%,44.0℃,良走路,,,中村　雅人 Ｋモンソン 川口 28期 45歳 1級 S-11,40,3.33,089,2連率 30.0 3連率 60.0,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,-,-,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,-,-,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,40,3.33,089,2連率 30.0 3連率 60.0,04/07川 ⑥着12R 3.407 3.31 ST 0.15,04/06川 1着12R 3.394 3.29 ST 0.14,04/05川 1着12R 3.404 3.32 ST 0.23,02/10山 4着10R 3.621 3.56 ST 0.12,-
