場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49, , ,1,運天　諒雅,0,110,107.57,3.470,118.43,3.820,,2連率 30.0 3連率 30.0,ペルセウス,川口,38期,21歳,2級,B-76,04/13川 5着3R 3.498 3.38 ST 0.15,04/12川 7着7R 3.506 3.37 ST 0.14,04/11川 2着4R 3.457 3.36 ST 0.10,04/07川 1着5R 3.734 3.71 ST 0.20,04/06川 5着4R 3.511 3.42 ST 0.18,04/05川 8着9R 3.508 3.40 ST 0.15,03/28川 7着9R F 3.494 3.38 ST 0.09,03/27川 8着11R 3.494 3.37 ST 0.11,03/26川 2着3R 3.852 3.75 ST 0.11,03/17伊 6着3R 3.508 3.40 ST 0.04,04/13川 5着3R 3.498 3.38 ST 0.15,04/12川 7着7R 3.506 3.37 ST 0.14,04/11川 2着4R 3.457 3.36 ST 0.10,04/06川 5着4R 3.511 3.42 ST 0.18,04/05川 8着9R 3.508 3.40 ST 0.15,5.4,,20%,04/07川 1着5R 3.734 3.71 ST 0.20,03/26川 2着3R 3.852 3.75 ST 0.11,02/25川 4着6R 3.905 3.94 ST 0.08,02/11川 1着7R 3.635 3.57 ST 0.16,-,2,,75%,-,-,-,-,-,,,,6,7
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49,△, ,2,山口　航太,10,065,107.24,3.448,120.0,3.859,,2連率 10.0 3連率 40.0,スフィーダＫ,川口,37期,26歳,1級,B-72,04/13川 3着5R 3.448 3.41 ST 0.10,04/12川 3着2R 3.441 3.35 ST 0.09,04/11川 6着3R 3.468 3.39 ST 0.19,04/07川 1着8R 3.423 3.45 ST 0.12,04/06川 6着7R F 3.487 3.39 ST 0.19,04/05川 6着11R 3.468 3.38 ST 0.10,03/28川 3着8R 3.471 3.39 ST 0.15,03/27川 4着3R 3.436 3.38 ST 0.05,03/26川 5着1R 3.873 3.89 ST 0.13,03/18山 6着2R 3.891 3.82 ST 0.18,04/13川 3着5R 3.448 3.41 ST 0.10,04/12川 3着2R 3.441 3.35 ST 0.09,04/11川 6着3R 3.468 3.39 ST 0.19,04/06川 6着7R F 3.487 3.39 ST 0.19,04/05川 6着11R 3.468 3.38 ST 0.10,4.8,,,03/26川 5着1R 3.873 3.89 ST 0.13,03/18山 6着2R 3.891 3.82 ST 0.18,02/25川 3着11R 3.812 3.84 ST 0.10,02/11川 3着1R 3.733 3.69 ST 0.18,-,4.3,,,04/07川 1着8R 3.423 3.45 ST 0.12,-,-,-,-,1,,100%,4,8
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49, ,注,3,本田　仁恵,20,097,108.9,3.490,117.02,3.751,,2連率 0.0 3連率 10.0,ミヤビ,川口,34期,27歳,1級,A-230,04/07飯 5着2R 3.494 3.39 ST 0.12,04/06飯 8着6R 3.508 3.39 ST 0.18,04/06飯 6着1R 3.487 3.40 ST 0.17,04/05飯 8着7R 3.473 3.38 ST 0.16,04/04飯 7着12R 3.468 3.35 ST 0.23,03/28川 4着5R 3.466 3.36 ST 0.16,03/27川 8着1R 3.466 3.40 ST 0.08,03/26川 4着9R 3.744 3.71 ST 0.10,03/22飯 6着5R 3.757 3.68 ST 0.26,03/22飯 3着1R 3.751 3.65 ST 0.09,04/07飯 5着2R 3.494 3.39 ST 0.12,04/06飯 8着6R 3.508 3.39 ST 0.18,04/06飯 6着1R 3.487 3.40 ST 0.17,04/05飯 8着7R 3.473 3.38 ST 0.16,04/04飯 7着12R 3.468 3.35 ST 0.23,6.8,,,03/26川 4着9R 3.744 3.71 ST 0.10,03/22飯 6着5R 3.757 3.68 ST 0.26,03/22飯 3着1R 3.751 3.65 ST 0.09,03/03浜 3着5R 3.696 3.67 ST 0.18,02/25川 2着10R 3.796 3.73 ST 0.13,3.6,,20%,-,-,-,-,-,,,,8,5
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49, ,〇,4,祐定　　響,20,092,108.43,3.475,116.05,3.720,,2連率 10.0 3連率 30.0,サダーマン,山陽,36期,24歳,1級,A-92,04/12山 8着5R 3.479 3.39 ST 0.16,04/11山 7着6R 3.495 3.37 ST 0.08,04/10山 2着4R 3.646 3.62 ST 0.19,04/09山 5着1R 3.698 3.63 ST 0.12,04/08山 7着3R 3.457 3.39 ST 0.15,03/31浜 3着6R 3.815 3.86 ST 0.21,03/31浜 3着1R 3.819 3.68 ST 0.21,03/30浜 4着9R 3.470 3.39 ST 0.20,03/29浜 5着2R 3.492 3.35 ST 0.11,03/25伊 4着5R 3.444 3.37 ST 0.16,04/12山 8着5R 3.479 3.39 ST 0.16,04/11山 7着6R 3.495 3.37 ST 0.08,04/08山 7着3R 3.457 3.39 ST 0.15,03/30浜 4着9R 3.470 3.39 ST 0.20,03/29浜 5着2R 3.492 3.35 ST 0.11,6.2,,,04/10山 2着4R 3.646 3.62 ST 0.19,04/09山 5着1R 3.698 3.63 ST 0.12,03/31浜 3着6R 3.815 3.86 ST 0.21,03/31浜 3着1R 3.819 3.68 ST 0.21,03/06山 2着4R 3.594 3.52 ST 0.16,3,,40%,-,-,-,-,-,,,,7,2
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49,注, ,5,斎藤　撤二,20,093,107.32,3.440,118.21,3.789,,2連率 30.0 3連率 50.0,サンデビスタン,川口,25期,48歳,1級,A-45,04/13川 6着6R 3.431 3.33 ST 0.09,04/12川 3着5R 3.426 3.34 ST 0.16,04/11川 4着4R 3.444 3.37 ST 0.30,04/07川 1着9R 3.418 3.33 ST 0.19,04/06川 7着12R 3.437 3.31 ST 0.10,04/05川 4着4R 3.431 3.33 ST 0.12,03/28川 3着10R 3.450 3.33 ST 0.05,03/27川 6着10R 3.449 3.34 ST 0.11,03/26川 1着3R 3.792 3.67 ST 0.19,03/22飯 1着7R 3.688 3.63 ST 0.11,04/13川 6着6R 3.431 3.33 ST 0.09,04/12川 3着5R 3.426 3.34 ST 0.16,04/11川 4着4R 3.444 3.37 ST 0.30,04/06川 7着12R 3.437 3.31 ST 0.10,04/05川 4着4R 3.431 3.33 ST 0.12,4.8,,,03/26川 1着3R 3.792 3.67 ST 0.19,03/22飯 1着7R 3.688 3.63 ST 0.11,02/25川 5着4R 3.886 3.76 ST 0.32,02/14飯 2着6R 3.667 3.57 ST 0.11,-,2.3,,75%,04/07川 1着9R 3.418 3.33 ST 0.19,-,-,-,-,1,,100%,5,6
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49,◎,△,6,中野　憲人,20,104,106.52,3.414,116.83,3.745,,2連率 40.0 3連率 60.0,ユキパナ,川口,24期,50歳,1級,A-66,04/13川 2着7R 3.408 3.29 ST 0.25,04/12川 4着8R 3.407 3.33 ST 0.15,04/11川 3着7R 3.403 3.31 ST 0.16,04/07川 ④着12R 3.408 3.30 ST 0.06,04/06川 1着10R 3.431 3.33 ST 0.15,04/05川 2着11R 3.425 3.32 ST 0.10,03/22飯 4着7R 3.736 3.61 ST 0.21,03/21飯 3着7R 3.404 3.29 ST 0.18,03/20飯 4着5R 3.412 3.30 ST 0.09,03/19飯 2着3R 3.403 3.30 ST 0.13,04/13川 2着7R 3.408 3.29 ST 0.25,04/12川 4着8R 3.407 3.33 ST 0.15,04/11川 3着7R 3.403 3.31 ST 0.16,04/07川 ④着12R 3.408 3.30 ST 0.06,04/06川 1着10R 3.431 3.33 ST 0.15,2.8,,40%,03/22飯 4着7R 3.736 3.61 ST 0.21,02/11川 7着2R 3.753 3.69 ST 0.24,-,-,-,5.5,,,-,-,-,-,-,,,,1,4
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49,〇,▲,7,中村　杏亮,30,087,106.64,3.407,116.79,3.731,,2連率 22.2 3連率 55.6,サボ,飯塚,33期,30歳,1級,A-1,04/07飯 4着11R 3.387 3.30 ST 0.05,04/06飯 3着11R 3.396 3.32 ST 0.06,04/05飯 7着9R 3.431 3.34 ST 0.16,04/04飯 3着2R 3.453 3.32 ST 0.30,03/31飯 4着8R 3.531 3.52 ST 0.05,03/30飯 4着7R 3.733 3.71 ST 0.07,03/29飯 不成立9R - 3.28 ST 0.05,03/28飯 1着9R 3.357 3.30 ST 0.15,03/27飯 3着3R 3.424 3.31 ST 0.13,03/22浜 1着9R 3.377 3.32 ST 0.11,04/07飯 4着11R 3.387 3.30 ST 0.05,04/06飯 3着11R 3.396 3.32 ST 0.06,04/05飯 7着9R 3.431 3.34 ST 0.16,04/04飯 3着2R 3.453 3.32 ST 0.30,03/29飯 不成立9R - 3.28 ST 0.05,4.3,,,03/30飯 4着7R 3.733 3.71 ST 0.07,02/11山 7着4R 3.721 3.61 ST 0.05,02/10山 7着5R 3.740 3.73 ST 0.16,02/07山 6着12R 3.679 3.61 ST 0.07,-,6,,,03/31飯 4着8R 3.531 3.52 ST 0.05,-,-,-,-,4,,,2,3
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選2R,3100m,15:49,▲,◎,8,大木　　光,30,098,107.19,3.425,115.08,3.677,,2連率 50.0 3連率 80.0,ウミヘビ,川口,28期,42歳,1級,S-30,04/12山 2着4R 3.458 3.33 ST 0.13,04/11山 1着1R 3.426 3.33 ST 0.09,04/10山 7着9R 3.428 3.36 ST 0.09,04/09山 2着11R 3.609 3.54 ST 0.12,04/08山 3着9R 3.423 3.32 ST 0.11,03/31飯 6着8R 3.563 3.50 ST 0.14,03/30飯 3着9R 3.704 3.60 ST 0.08,03/30飯 1着3R 3.717 3.65 ST 0.10,03/29飯 3着4R 3.399 3.31 ST 0.05,03/28飯 1着6R 3.395 3.31 ST 0.07,04/12山 2着4R 3.458 3.33 ST 0.13,04/11山 1着1R 3.426 3.33 ST 0.09,04/08山 3着9R 3.423 3.32 ST 0.11,03/29飯 3着4R 3.399 3.31 ST 0.05,03/28飯 1着6R 3.395 3.31 ST 0.07,2,,60%,04/09山 2着11R 3.609 3.54 ST 0.12,03/30飯 3着9R 3.704 3.60 ST 0.08,03/30飯 1着3R 3.717 3.65 ST 0.10,03/04川 3着1R 3.606 3.54 ST 0.12,02/10山 1着6R 3.651 3.57 ST 0.11,2,,60%,04/10山 7着9R 3.428 3.36 ST 0.09,03/31飯 6着8R 3.563 3.50 ST 0.14,-,-,-,6.5,,,3,1
