車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前一順,前一競走T,前一試走,前一ST,前二順,前二競走T,前二試走,前二ST,前三順,前三競走T,前三試走,前三ST,前日予想タイム,総合スコア,前日予想着順,平均競走タイム,平均試走,平均順位,平均st,直前予想競走タイム,上昇度,上昇評価,100m単価,追い上げスコア,逃げ評価,偏差評価,ST評価,タイム順位,タイム評価,実績評価,予想スコア,予想着順
1,落合　春翔,"投票締切
19:13",19:15,0,3.41,89,"2連率
10.0
3連率
20.0",04/11川 6着8R 3.503 3.43 ST 0.18,04/07川 3着5R 3.777 3.79 ST 0.22,04/06川 7着5R 3.574 3.46 ST 0.25,04/05川 8着6R 3.532 3.41 ST 0.12,03/28川 8着9R 3.526 3.44 ST 0.23,03/27川 8着12R 3.513 再3.43 ST 0.18,03/26川 2着4R 3.916 3.82 ST 0.11,03/14浜 6着1R 3.539 3.45 ST 0.18,03/13浜 6着7R 3.523 3.42 ST 0.19,03/12浜 7着9R 3.539 3.44 ST 0.16,7.4,-,-,2.0,-,66.7%,-,-,-,0.18,3.519,3.43,37.5%,66.7%,0,42.1%,6,3.503,3.43,0.18,3.0,3.777,3.79,0.22,7,3.574,3.46,0.25,3.525,84.69,6,3.62,3.56,5.3,0.22,3.47,0.071,10,0.11179213483146067,0,0,0,10,5.0,10.0,0,30.0,5.0
2,岡崎　秀二,"投票締切
19:13",19:15,10,3.44,69,"2連率
0.0
3連率
50.0",04/11川 7着3R 3.526 3.46 ST 0.10,04/07川 3着2R 3.911 3.76 ST 0.23,04/06川 3着1R 3.497 3.42 ST 0.12,04/05川 8着12R 3.494 3.42 ST 0.10,03/28川 3着7R 3.477 3.44 ST 0.11,03/27川 3着5R 3.490 3.41 ST 0.24,03/26川 3着11R 3.677 3.68 ST 0.15,03/17伊 7着6R 3.534 3.43 ST 0.25,03/16伊 5着3R 3.524 3.46 ST 0.18,03/15伊 6着10R 3.529 3.46 ST 0.19,4.8,-,-,3.8,-,-,-,-,-,0.16,3.509,3.44,5.9%,12.5%,2,19.0%,7,3.526,3.46,0.1,3.0,3.911,3.76,0.23,3,3.497,3.42,0.12,3.524,85.69,5,3.64,3.55,4.3,0.15,3.54,-0.029,0,0.11403395585738538,0,0,10,10,7.0,0.0,0,20.0,6.0
3,丸山　浩信,"投票締切
19:13",19:15,10,3.4,89,"2連率
20.0
3連率
40.0",04/11川 5着2R 3.510 3.42 ST 0.26,04/07川 6着5R 3.862 3.83 ST 0.25,04/06川 3着8R 3.500 3.41 ST 0.23,04/05川 4着1R 3.468 3.38 ST 0.20,03/28川 4着8R 3.510 3.42 ST 0.29,03/27川 3着6R 3.487 3.42 ST 0.18,03/26川 4着1R 3.889 3.83 ST 0.26,03/17伊 2着7R 3.489 3.42 ST 0.18,03/16伊 1着5R 3.495 3.40 ST 0.16,03/15伊 5着11R 3.503 3.40 ST 0.17,3.4,-,20%,6.0,-,-,4,-,-,0.22,3.499,3.41,24.6%,0.0%,2,23.3%,5,3.51,3.42,0.26,6.0,3.862,3.83,0.25,3,3.5,3.41,0.23,3.521,78.69,7,3.62,3.55,4.7,0.25,3.47,-0.010,0,0.11185862131574169,0,0,0,0,6.0,0.0,0,0.0,7.0
4,深沢　　隆,"投票締切
19:13",19:15,30,3.33,85,"2連率
20.0
3連率
20.0",04/11川 6着7R 3.458 3.34 ST 0.18,04/07川 4着5R 3.802 3.80 ST 0.19,04/06川 1着3R 3.455 3.38 ST 0.20,04/05川 6着9R 3.465 3.36 ST 0.12,03/28川 2着4R 3.449 3.35 ST 0.16,03/27川 5着2R 3.465 3.37 ST 0.18,03/26川 6着9R 3.772 3.71 ST 0.29,03/08川 8着3R 3.487 3.43 ST 0.17,03/07川 8着1R 3.481 3.42 ST 0.15,03/06川 7着4R 3.452 3.38 ST 0.11,4.0,-,40%,5.0,-,-,8,-,-,0.17,3.455,3.37,20.0%,0.0%,6,26.0%,6,3.458,3.34,0.18,4.0,3.802,3.8,0.19,1,3.455,3.38,0.2,3.496,108.89,4,3.57,3.51,3.7,0.19,3.39,-0.003,0,0.10941049307003559,0,0,0,0,1.0,50.0,0,50.0,2.0
5,山口　航太,"投票締切
19:13",19:15,30,3.35,76,"2連率
20.0
3連率
30.0",04/11川 6着3R 3.468 3.39 ST 0.19,04/07川 1着8R 3.423 3.45 ST 0.12,04/06川 6着7R F 3.487 3.39 ST 0.19,04/05川 6着11R 3.468 3.38 ST 0.10,03/28川 3着8R 3.471 3.39 ST 0.15,03/27川 4着3R 3.436 3.38 ST 0.05,03/26川 5着1R 3.873 3.89 ST 0.13,03/18山 6着2R 3.891 3.82 ST 0.18,03/17山 1着1R 3.431 3.39 ST 0.15,03/16山 5着6R 3.474 3.38 ST 0.06,5.0,-,-,4.3,-,-,1,-,100%,0.14,3.466,3.39,20.0%,16.7%,0,19.4%,6,3.468,3.39,0.19,1.0,3.423,3.45,0.12,6,3.487,3.39,0.19,3.504,116.34,2,3.46,3.41,4.3,0.17,3.40,0.019,10,0.10962791284331347,0,0,10,10,2.0,40.0,0,70.0,1.0
6,高塚　義明,"投票締切
19:13",19:15,40,3.33,83,"2連率
20.0
3連率
50.0",04/11川 6着1R 3.451 3.36 ST 0.17,04/07川 ③着12R 3.416 3.34 ST 0.16,04/06川 2着12R 3.423 3.35 ST 0.15,04/05川 2着5R 3.422 3.36 ST 0.15,03/17伊 5着9R 3.458 3.40 ST 0.11,03/16伊 8着12R 3.470 3.37 ST 0.10,03/15伊 4着12R 3.441 3.36 ST 0.15,03/08川 3着5R 3.437 3.34 ST 0.14,03/07川 3着8R 3.444 3.38 ST 0.15,03/06川 7着2R 3.428 3.32 ST 0.08,3.6,-,40%,5.0,-,-,-,-,-,0.14,3.433,3.35,24.1%,12.5%,5,26.0%,6,3.451,3.36,0.17,,3.416,3.34,0.16,2,3.423,3.35,0.15,3.483,116.99,1,3.43,3.35,4.0,0.16,3.41,-0.028,0,0.10998459316321618,0,0,10,0,3.0,30.0,0,40.0,3.0
7,鈴木　　清,"投票締切
19:13",19:15,40,3.37,78,"2連率
10.0
3連率
20.0",04/11川 5着5R 3.466 3.37 ST 0.20,04/07川 3着10R 3.416 3.35 ST 0.03,04/06川 5着11R 3.431 3.36 ST 0.07,04/05川 2着3R 3.420 3.38 ST 0.09,03/31飯 6着6R 3.688 3.56 ST 0.10,03/30飯 5着2R 3.807 3.70 ST 0.16,03/29飯 6着2R 3.441 3.37 ST 0.12,03/28飯 6着1R 3.437 3.38 ST 0.14,03/27飯 7着7R 3.463 3.35 ST 0.13,03/22浜 5着3R 3.444 3.40 ST 0.07,4.2,-,20%,5.0,-,-,6,-,-,0.12,3.448,3.37,22.2%,23.1%,23,31.2%,5,3.466,3.37,0.2,3.0,3.416,3.35,0.03,5,3.431,3.36,0.07,3.496,114.24,3,3.44,3.36,4.3,0.10,3.45,-0.035,0,0.11122251024065541,0,0,10,10,4.0,20.0,0,40.0,3.0
