車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,矢内　昌木,"投票締切
15:16",15:18,0,-,085,"2連率
40.0
3連率
40.0",04/03伊 6着12R 3.474 3.41 ST 0.10,04/02伊 2着5R 3.473 3.43 ST 0.04,03/25伊 2着8R 3.428 3.35 ST 0.08,03/24伊 6着1R 3.514 3.39 ST 0.07,03/23伊 4着2R 3.457 3.38 ST 0.09,03/17伊 2着1R 3.454 3.36 ST 0.07,03/16伊 2着5R 3.484 3.40 ST 0.14,03/15伊 4着9R 3.479 3.38 ST 0.14,03/11伊 6着11R 3.571 3.38 ST 0.10,03/10伊 4着12R 3.439 3.35 ST 0.10,04/03伊 6着12R 3.474 3.41 ST 0.10,03/25伊 2着8R 3.428 3.35 ST 0.08,03/24伊 6着1R 3.514 3.39 ST 0.07,03/23伊 4着2R 3.457 3.38 ST 0.09,03/17伊 2着1R 3.454 3.36 ST 0.07,4,-,40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,0,0,0.10,0/4 0/6,40.0%,40.0%,3.38,3.465,3.428 (伊),24.4%,10/41,41,0.0%,0/6,6,0,0,3,535,525,477,12.7%,25.1%,36.5%
2,高橋　義徳,"投票締切
15:16",15:18,10,-,089,"2連率
20.0
3連率
60.0",04/03伊 5着9R 3.477 3.39 ST 0.11,04/02伊 2着1R 3.506 3.55 ST 0.21,02/17伊 2着2R 3.449 3.36 ST 0.20,02/16伊 3着2R 3.478 3.36 ST 0.20,02/15伊 3着12R 3.452 3.39 ST 0.18,02/03伊 4着3R 3.497 3.38 ST 0.20,02/02伊 7着5R 3.470 3.37 ST 0.26,02/01伊 6着2R 3.462 3.35 ST 0.22,01/28山 3着5R 3.478 3.40 ST 0.19,01/27山 3着4R 3.465 3.37 ST 0.27,04/03伊 5着9R 3.477 3.39 ST 0.11,02/17伊 2着2R 3.449 3.36 ST 0.20,02/15伊 3着12R 3.452 3.39 ST 0.18,02/03伊 4着3R 3.497 3.38 ST 0.20,02/02伊 7着5R 3.470 3.37 ST 0.26,4.2,-,20%,-,-,-,-,-,-,-,-,04/02伊 2着1R 3.506 3.55 ST 0.21,-,-,-,-,2,-,100%,16,0,0,0.21,0/2 4/4,20.0%,60.0%,3.38,3.469,3.449 (伊),22.2%,8/36,36,28.6%,2/7,7,0,0,5,244,312,322,10.2%,23.3%,36.8%
3,北渡瀬　充,"投票締切
15:16",15:18,10,-,098,"2連率
30.0
3連率
60.0",04/03伊 5着10R 3.465 3.36 ST 0.14,04/02伊 3着4R 3.487 3.37 ST 0.21,03/25伊 3着9R 3.605 3.37 ST 0.18,03/24伊 8着9R 3.487 3.35 ST 0.23,03/23伊 1着6R 3.433 3.36 ST 0.04,03/17伊 ⑧着12R 3.471 3.39 ST 0.20,03/16伊 1着11R 3.428 3.36 ST 0.08,03/15伊 1着2R 3.449 3.37 ST 0.10,03/11伊 7着6R 3.519 3.40 ST 0.20,03/10伊 3着4R 3.463 3.36 ST 0.20,04/03伊 5着10R 3.465 3.36 ST 0.14,03/24伊 8着9R 3.487 3.35 ST 0.23,03/23伊 1着6R 3.433 3.36 ST 0.04,03/17伊 ⑧着12R 3.471 3.39 ST 0.20,03/16伊 1着11R 3.428 3.36 ST 0.08,4.6,-,40%,03/25伊 3着9R 3.605 3.37 ST 0.18,02/25伊 3着4R 3.682 3.58 ST 0.21,02/10飯 4着4R 3.724 3.66 ST 0.24,-,-,3.3,-,-,-,-,-,-,-,-,-,-,37,1,0,0.19,3/0 3/4,30.0%,60.0%,3.37,3.468,3.428 (伊),23.2%,13/56,56,36.4%,4/11,11,1,0,10,484,404,358,14.1%,25.9%,36.3%
4,田中　　賢,"投票締切
15:16",15:18,20,-,096,"2連率
30.0
3連率
40.0",04/03伊 6着10R 3.457 3.35 ST 0.10,04/02伊 1着6R 3.460 3.38 ST 0.13,03/25伊 7着11R 3.702 3.62 ST 0.09,03/24伊 4着12R 3.422 3.33 ST 0.11,03/23伊 4着3R 3.441 3.33 ST 0.11,03/17伊 ③着12R 3.399 3.34 ST 0.11,03/16伊 2着9R 3.412 3.33 ST 0.06,03/15伊 2着3R 3.419 3.31 ST 0.15,03/11伊 6着10R 3.435 3.38 ST 0.10,03/10伊 5着12R 3.420 3.34 ST 0.02,04/03伊 6着10R 3.457 3.35 ST 0.10,03/24伊 4着12R 3.422 3.33 ST 0.11,03/23伊 4着3R 3.441 3.33 ST 0.11,03/17伊 ③着12R 3.399 3.34 ST 0.11,03/16伊 2着9R 3.412 3.33 ST 0.06,3.8,-,20%,03/25伊 7着11R 3.702 3.62 ST 0.09,02/25伊 4着8R 3.690 3.58 ST 0.15,02/10飯 3着4R 3.706 3.62 ST 0.13,-,-,4.7,-,-,-,-,-,-,-,-,-,-,36,2,0,0.12,1/2 1/6,30.0%,40.0%,3.33,3.426,3.399 (伊),24.5%,12/49,49,12.5%,1/8,8,2,0,9,343,322,385,13.0%,25.3%,39.9%
5,栗原　俊介,"投票締切
15:16",15:18,20,-,097,"2連率
60.0
3連率
70.0",04/03伊 5着12R 3.452 3.35 ST 0.10,04/02伊 1着11R 3.419 3.32 ST 0.12,03/25伊 ②着12R 3.674 3.56 ST 0.16,03/24伊 2着9R 3.435 3.34 ST 0.14,03/23伊 3着10R 3.438 3.34 ST 0.04,03/17伊 4着7R 3.462 3.34 ST 0.16,03/16伊 2着7R 3.451 3.35 ST 0.17,03/15伊 5着9R 3.460 3.35 ST 0.16,03/11伊 2着5R 3.435 3.34 ST 0.12,03/10伊 2着5R 3.444 3.37 ST 0.14,04/03伊 5着12R 3.452 3.35 ST 0.10,03/24伊 2着9R 3.435 3.34 ST 0.14,03/23伊 3着10R 3.438 3.34 ST 0.04,03/17伊 4着7R 3.462 3.34 ST 0.16,03/16伊 2着7R 3.451 3.35 ST 0.17,3.2,-,40%,03/25伊 ②着12R 3.674 3.56 ST 0.16,02/25伊 6着7R 3.681 3.58 ST 0.09,-,-,-,4,-,50%,-,-,-,-,-,-,-,-,32,2,0,0.13,1/5 1/3,60.0%,70.0%,3.35,3.447,3.435 (伊),23.9%,11/46,46,30.0%,3/10,10,2,0,7,151,203,207,10.2%,24.0%,38.0%
6,桜井　晴光,"投票締切
15:16",15:18,20,-,089,"2連率
40.0
3連率
40.0",04/03伊 6着9R 3.466 3.36 ST 0.06,04/02伊 2着10R 3.438 3.34 ST 0.10,03/25伊 7着10R 3.901 3.71 ST 0.29,03/24伊 6着11R 3.423 3.32 ST 0.16,03/23伊 2着8R 3.416 3.32 ST 0.15,03/17伊 ⑥着12R 3.419 3.32 ST 0.17,03/16伊 1着10R 3.429 3.34 ST 0.18,03/15伊 4着7R 3.453 3.34 ST 0.30,03/08川 8着1R 3.476 3.34 ST 0.08,03/07川 2着2R 3.437 3.33 ST 0.14,04/03伊 6着9R 3.466 3.36 ST 0.06,03/24伊 6着11R 3.423 3.32 ST 0.16,03/23伊 2着8R 3.416 3.32 ST 0.15,03/17伊 ⑥着12R 3.419 3.32 ST 0.17,03/16伊 1着10R 3.429 3.34 ST 0.18,4.2,-,40%,03/25伊 7着10R 3.901 3.71 ST 0.29,02/25伊 3着7R 3.652 3.59 ST 0.18,01/21飯 5着3R 3.657 3.65 ST 0.19,-,-,5,-,-,03/07川 2着2R 3.437 3.33 ST 0.14,-,-,-,-,2,-,100%,33,2,0,0.18,1/3 0/6,40.0%,40.0%,3.33,3.419,3.391 (伊),34.1%,15/44,44,22.2%,2/9,9,2,0,12,376,415,390,12.2%,25.8%,38.5%
7,西原　智昭,"投票締切
15:16",15:18,30,-,101,"2連率
20.0
3連率
20.0",04/03伊 6着11R 3.428 3.33 ST 0.08,04/02伊 1着3R 3.420 3.32 ST 0.15,03/22浜 7着8R 3.431 3.32 ST 0.11,03/21浜 5着4R 3.437 3.33 ST 0.07,03/20浜 4着3R 3.447 3.32 ST 0.11,03/19浜 5着10R F 3.428 3.33 ST 0.13,03/18浜 5着9R 3.415 3.34 ST 0.14,03/11伊 5着10R 3.411 3.33 ST 0.14,03/10伊 5着11R 3.408 3.30 ST 0.14,03/09伊 1着1R 3.417 3.31 ST 0.24,04/03伊 6着11R 3.428 3.33 ST 0.08,03/22浜 7着8R 3.431 3.32 ST 0.11,03/21浜 5着4R 3.437 3.33 ST 0.07,03/20浜 4着3R 3.447 3.32 ST 0.11,03/18浜 5着9R 3.415 3.34 ST 0.14,5.4,-,-,03/03飯 5着6R 3.614 3.55 ST 0.11,03/02飯 5着6R 3.718 3.59 ST 0.10,02/10山 3着3R 3.615 3.41 ST 0.16,02/09山 2着2R 3.590 3.55 ST 0.18,02/07山 5着1R 3.670 3.58 ST 0.13,4,-,20%,04/02伊 1着3R 3.420 3.32 ST 0.15,-,-,-,-,1,-,100%,37,0,0,0.13,2/0 0/8,20.0%,20.0%,3.32,3.421,3.392 (飯),23.1%,12/52,52,45.5%,5/11,11,0,0,11,498,502,415,16.6%,33.4%,47.3%
8,森下　　輝,"投票締切
15:16",15:18,30,-,080,"2連率
70.0
3連率
90.0",04/03伊 5着11R 3.425 3.32 ST 0.05,04/02伊 3着6R 3.468 3.35 ST 0.18,03/14浜 ①着12R 3.363 3.28 ST 0.10,03/13浜 1着10R 3.357 3.30 ST 0.12,03/12浜 1着3R 3.394 3.32 ST 0.12,03/03浜 ②着9R 3.403 3.34 ST 0.06,03/02浜 2着7R 3.409 3.33 ST 0.09,03/01浜 1着5R 3.428 3.30 ST 0.12,02/28浜 2着6R 3.433 3.34 ST 0.13,02/11山 ③着12R 3.353 3.29 ST 0.11,04/03伊 5着11R 3.425 3.32 ST 0.05,03/14浜 ①着12R 3.363 3.28 ST 0.10,03/13浜 1着10R 3.357 3.30 ST 0.12,03/12浜 1着3R 3.394 3.32 ST 0.12,03/02浜 2着7R 3.409 3.33 ST 0.09,2,-,80%,02/10山 2着12R 3.601 3.56 ST 0.05,02/07山 2着4R 3.630 3.57 ST 0.13,02/02飯 2着4R 3.665 3.61 ST 0.04,-,-,2,-,100%,03/03浜 ②着9R 3.403 3.34 ST 0.06,-,-,-,-,2,-,100%,25,3,1,0.10,4/3 2/1,70.0%,90.0%,3.31,3.390,3.353 (山),54.8%,23/42,42,100.0%,5/5,5,3,1,4,82,42,28,30.9%,46.8%,57.4%
