車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前9走,前10走,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,押田　幸夫,11:31,11:33,0,3.39,89,"2連率
20.0
3連率
30.0",04/11山 2着1R 3.455 3.39 ST 0.18,04/10山 2着1R 3.674 3.62 ST 0.08,04/09山 7着8R 3.784 3.43 ST 0.20,04/08山 3着7R 3.452 3.37 ST 0.22,03/28川 7着8R 3.503 3.38 ST 0.08,03/27川 7着1R 3.478 3.39 ST 0.13,03/26川 5着10R 3.740 3.67 ST 0.08,03/17山 6着5R 3.442 3.36 ST 0.17,03/16山 4着7R 3.449 3.34 ST 0.21,0.14,3.459,3.423 (川),-,-,-,-,3.463,174.68,2
2,君和田　裕二,11:31,11:33,10,3.38,88,"2連率
30.0
3連率
40.0",04/11山 2着2R 3.437 3.37 ST 0.07,04/10山 5着3R 3.672 3.54 ST 0.20,04/09山 4着2R 3.704 3.64 ST 0.12,04/08山 7着11R 3.453 3.36 ST 0.14,03/26山 2着5R 3.420 3.36 ST 0.16,03/26山 3着1R 3.431 3.36 ST 0.25,03/25山 2着6R 3.620 3.54 ST 0.22,03/23山 5着9R 3.431 3.34 ST 0.28,03/23山 6着1R 3.431 3.36 ST 0.15,0.19,3.438,3.420 (山),-,-,-,-,3.459,163.72,5
3,穴見　和正,11:31,11:33,10,3.41,65,"2連率
10.0
3連率
10.0",04/11山 4着1R 3.453 3.37 ST 0.11,04/10山 6着2R 3.736 3.59 ST 0.11,04/09山 2着4R 3.460 3.47 ST 0.12,04/08山 5着2R 3.453 3.39 ST 0.10,04/03山 4着2R 3.443 3.37 ST 0.17,04/02山 6着8R 3.439 3.36 ST 0.09,04/01山 4着2R 3.658 3.63 ST 0.22,03/27川 7着12R 3.443 3.38 ST 0.20,03/26川 4着5R 3.837 3.73 ST 0.10,0.14,3.445,3.425 (山),-,-,-,-,3.46,147.88,8
4,田中　　哲,11:31,11:33,10,3.40,67,"2連率
50.0
3連率
60.0",04/11山 2着5R 3.444 3.40 ST 0.04,04/10山 1着2R 3.650 3.62 ST 0.12,04/09山 8着3R 3.701 3.66 ST 0.14,04/08山 7着1R 3.450 3.36 ST 0.13,04/04伊 1着8R 3.575 3.52 ST 0.18,04/03伊 1着4R 3.460 3.40 ST 0.14,04/02伊 5着4R 3.492 3.41 ST 0.26,03/24伊 5着10R 3.449 3.37 ST 0.13,03/23伊 1着1R 3.431 3.36 ST 0.07,0.13,3.437,3.403 (伊),-,-,-,-,3.451,191.78,1
5,平塚　雅樹,11:31,11:33,10,3.36,113,"2連率
40.0
3連率
40.0",04/11山 2着3R 3.463 3.34 ST 0.05,04/10山 8着8R 3.502 3.49 ST 0.09,04/09山 1着4R 3.457 3.43 ST 0.20,04/08山 7着5R 3.457 3.33 ST 0.19,04/04伊 4着4R 3.448 3.32 ST 0.14,04/03伊 4着1R 3.486 3.33 ST 0.08,04/02伊 7着12R 3.463 3.39 ST 0.21,03/30浜 4着11R 3.431 3.33 ST 0.13,03/29浜 1着2R 3.445 3.33 ST 0.21,0.14,3.443,3.418 (浜),-,-,-,-,3.46,162.47,6
6,田中　　茂,11:31,11:33,20,3.35,97,"2連率
10.0
3連率
40.0",04/11山 4着8R 3.465 3.37 ST 0.11,04/10山 3着6R 3.603 3.55 ST 0.15,04/09山 6着8R 3.747 3.39 ST 0.08,04/08山 5着8R 3.429 3.36 ST 0.11,03/31飯 2着5R 3.569 3.58 ST 0.04,03/30飯 6着2R 3.807 3.71 ST 0.10,03/29飯 5着6R 3.421 3.32 ST 0.10,03/27飯 3着6R 3.408 3.31 ST 0.12,03/22飯 ⑤着8R 3.769 3.66 ST 0.14,0.12,3.417,3.383 (飯),-,-,-,-,3.443,174.28,3
7,佐藤　裕二,11:31,11:33,20,3.37,85,"2連率
20.0
3連率
30.0",04/11山 8着6R 3.497 3.38 ST 0.16,04/10山 4着8R 3.442 3.43 ST 0.17,04/09山 7着10R 3.695 3.67 ST 0.02,04/08山 4着6R 3.433 3.36 ST 0.16,03/28川 2着3R 3.417 3.36 ST 0.17,03/27川 2着1R 3.414 3.31 ST 0.28,03/26川 6着5R 3.838 3.78 ST 0.23,03/21浜 5着11R 3.416 3.34 ST 0.06,03/20浜 3着10R 3.426 3.34 ST 0.05,0.15,3.425,3.402 (飯),-,-,-,-,3.454,151.38,7
8,長田　恭徳,11:31,11:33,20,3.35,82,"2連率
20.0
3連率
40.0",04/11山 6着2R 3.452 3.36 ST 0.15,04/10山 3着4R 3.638 3.66 ST 0.19,04/09山 8着8R 3.788 3.36 ST 0.18,04/08山 5着1R 3.429 3.36 ST 0.18,03/31飯 4着7R 3.585 3.50 ST 0.09,03/30飯 3着6R 3.740 3.66 ST 0.17,03/29飯 5着5R 3.408 3.31 ST 0.19,03/27飯 2着7R 3.402 3.31 ST 0.18,03/22浜 2着9R 3.390 3.32 ST 0.16,0.16,3.412,3.383 (川),-,-,-,-,3.441,168.53,4
