レースID,日付,場所,グレード大会名,レース名,距離,天候,気温,湿度,走路温度,走路状況,車,選手名,発走予定,ハンデ,試走T,偏差,出走表_連率
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,1,押田　幸夫,-,0,3.39,089,"2連率
20.0
3連率
30.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,2,君和田　裕二,-,10,3.38,088,"2連率
30.0
3連率
40.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,3,穴見　和正,-,10,3.41,065,"2連率
10.0
3連率
10.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,4,田中　　哲,-,10,3.40,067,"2連率
50.0
3連率
60.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,5,平塚　雅樹,-,10,3.36,113,"2連率
40.0
3連率
40.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,6,田中　　茂,-,20,3.35,097,"2連率
10.0
3連率
40.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,7,佐藤　裕二,-,20,3.37,085,"2連率
20.0
3連率
30.0"
20260412_sanyou_03,2026-04-12,sanyou,Unknown,Unknown,3100m,晴,21.0℃,62.0%,38.0℃,良走路,8,長田　恭徳,-,20,3.35,082,"2連率
20.0
3連率
40.0"
