場所,車,日付,グレード,レース名,距離,天候,気温,湿度,走路温度,走路状況,投票締切,発走予定,選手名,ハンデ,試走T,偏差,連率,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順,斑5_近況,斑5_2連対率,90出走,90優出,90優勝,90平均ST,90(近10)_各着順,90(近10)_2連対率,90(近10)_3連対率,90(良10)平均試,90(良10)平均競,90(良10)最高競T(場),180良_2連対率,180良_連対回数,180良_出走数,180湿_2連対率,180湿_連対回数,180湿_出走数,今年_優出,今年_優勝,通算_優勝,通算_1着,通算_2着,通算_3着,通算_単勝率,通算_2連対率,通算_3連対率
isesaki,1,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,原　菊太郎 Ｓソウ 山陽 15期 70歳 1級 B-113,0,-,075,2連率 0.0 3連率 10.0,04/07飯 7着4R 3.521 3.44 ST 0.26,04/06飯 7着4R 3.532 3.46 ST 0.26,04/05飯 3着4R 3.511 3.43 ST 0.15,04/04飯 8着10R 3.555 3.49 ST 0.17,03/31浜 5着1R 3.917 3.83 ST 0.32,03/30浜 7着6R 3.514 3.43 ST 0.23,03/29浜 8着9R 3.565 3.51 ST 0.35,03/26山 6着2R 3.555 3.47 ST 0.16,03/25山 4着5R 3.687 3.69 ST 0.14,03/24山 6着3R 3.500 3.39 ST 0.31,04/07飯 7着4R 3.521 3.44 ST 0.26,04/06飯 7着4R 3.532 3.46 ST 0.26,04/05飯 3着4R 3.511 3.43 ST 0.15,04/04飯 8着10R 3.555 3.49 ST 0.17,03/30浜 7着6R 3.514 3.43 ST 0.23,6.4,-,-,03/31浜 5着1R 3.917 3.83 ST 0.32,03/25山 4着5R 3.687 3.69 ST 0.14,03/18山 5着2R 3.916 3.91 ST 0.33,03/06山 6着3R 3.832 3.70 ST 0.27,03/03山 2着5R 3.800 3.51 ST 0.33,4.4,-,20%,-,-,-,-,-,-,-,-,36,0,0,0.23,0/0 1/9,0.0%,10.0%,3.45,3.525,3.494 (山),0.0%,0/49,49,8.3%,1/12,12,0,0,466,593,552,9.0%,20.4%,31.1%,-
isesaki,2,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,松村　　真 ネタコトネーシ 伊勢崎 28期 44歳 1級 B-124,0,-,137,2連率 0.0 3連率 0.0,01/19伊 7着4R 3.548 3.41 ST 0.24,01/18伊 8着5R 3.545 3.41 ST 0.24,-,-,-,-,-,-,-,-,01/19伊 7着4R 3.548 3.41 ST 0.24,01/18伊 8着5R 3.545 3.41 ST 0.24,-,-,-,7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0.24,0/0 0/2,0.0%,0.0%,3.41,3.547,3.545 (伊),0.0%,0/2,2,0.0%,0/0,0,0,0,206,256,241,9.6%,21.4%,32.6%,-
isesaki,3,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,猪熊　龍太 ニジハナ 伊勢崎 29期 43歳 1級 B-53,10,-,081,2連率 40.0 3連率 60.0,04/04伊 1着2R 3.431 3.39 ST 0.11,04/03伊 4着2R 3.492 3.39 ST 0.14,04/02伊 3着11R 3.453 3.41 ST 0.17,03/25伊 ⑧着12R 3.803 3.72 ST 0.17,03/24伊 1着9R 3.455 3.39 ST 0.17,03/23伊 2着6R 3.461 3.44 ST 0.20,03/17伊 1着3R 3.468 3.40 ST 0.08,03/16伊 5着8R 3.503 3.36 ST 0.10,03/15伊 3着3R 3.455 3.38 ST 0.17,03/11伊 4着6R 3.497 3.38 ST 0.18,04/04伊 1着2R 3.431 3.39 ST 0.11,04/03伊 4着2R 3.492 3.39 ST 0.14,03/24伊 1着9R 3.455 3.39 ST 0.17,03/23伊 2着6R 3.461 3.44 ST 0.20,03/17伊 1着3R 3.468 3.40 ST 0.08,1.8,-,80%,03/25伊 ⑧着12R 3.803 3.72 ST 0.17,02/25伊 5着2R 3.742 3.66 ST 0.17,02/11川 7着6R 3.826 3.72 ST 0.17,-,-,6.7,-,-,-,-,-,-,-,-,-,-,34,1,0,0.15,3/1 2/4,40.0%,60.0%,3.39,3.471,3.431 (伊),32.6%,15/46,46,0.0%,0/10,10,1,0,211,239,249,9.6%,20.4%,31.7%,-
isesaki,4,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,日名子　幹正 ヒナタイム９４ 山陽 38期 24歳 2級 B-82,10,-,075,2連率 0.0 3連率 0.0,04/07飯 6着7R 3.489 再3.43 ST 0.13,04/06飯 8着1R 3.525 再3.44 ST 0.13,04/05飯 8着8R 3.534 3.40 ST 0.05,04/04飯 5着7R 3.498 3.50 ST 0.08,03/31浜 7着3R 3.913 3.79 ST 0.11,03/30浜 5着8R 3.506 再3.43 ST 0.14,03/29浜 7着11R 3.531 3.39 ST 0.06,03/26山 6着4R 3.484 3.42 ST 0.03,03/25山 5着3R 3.679 3.59 ST 0.19,03/24山 5着6R 3.448 3.37 ST 0.11,04/07飯 6着7R 3.489 再3.43 ST 0.13,04/06飯 8着1R 3.525 再3.44 ST 0.13,04/05飯 8着8R 3.534 3.40 ST 0.05,03/30浜 5着8R 3.506 再3.43 ST 0.14,03/29浜 7着11R 3.531 3.39 ST 0.06,6.8,-,-,03/31浜 7着3R 3.913 3.79 ST 0.11,03/25山 5着3R 3.679 3.59 ST 0.19,03/18山 ③着9R 3.684 3.57 ST 0.08,03/06山 3着8R 3.626 3.60 ST 0.04,03/03山 7着7R 3.758 3.66 ST 0.14,5,-,-,04/04飯 5着7R 3.498 3.50 ST 0.08,03/24山 5着6R 3.448 3.37 ST 0.11,-,-,-,5,-,-,35,2,0,0.12,0/0 0/10,0.0%,0.0%,3.41,3.485,3.426 (山),27.8%,15/54,54,30.0%,3/10,10,2,0,17,9,11,11.3%,17.3%,24.7%,-
isesaki,5,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,高橋　義徳 トリックスター 伊勢崎 28期 45歳 1級 B-10,20,-,091,2連率 20.0 3連率 50.0,04/04伊 6着10R 3.518 3.50 ST 0.17,04/03伊 5着9R 3.477 3.39 ST 0.11,04/02伊 2着1R 3.506 3.55 ST 0.21,02/17伊 2着2R 3.449 3.36 ST 0.20,02/16伊 3着2R 3.478 3.36 ST 0.20,02/15伊 3着12R 3.452 3.39 ST 0.18,02/03伊 4着3R 3.497 3.38 ST 0.20,02/02伊 7着5R 3.470 3.37 ST 0.26,02/01伊 6着2R 3.462 3.35 ST 0.22,01/28山 3着5R 3.478 3.40 ST 0.19,04/03伊 5着9R 3.477 3.39 ST 0.11,02/17伊 2着2R 3.449 3.36 ST 0.20,02/15伊 3着12R 3.452 3.39 ST 0.18,02/03伊 4着3R 3.497 3.38 ST 0.20,02/02伊 7着5R 3.470 3.37 ST 0.26,4.2,-,20%,-,-,-,-,-,-,-,-,04/04伊 6着10R 3.518 3.50 ST 0.17,04/02伊 2着1R 3.506 3.55 ST 0.21,-,-,-,4,-,50%,15,0,0,0.21,0/2 3/5,20.0%,50.0%,3.38,3.471,3.449 (伊),22.2%,8/36,36,28.6%,2/7,7,0,0,244,312,322,10.2%,23.3%,36.8%,-
isesaki,6,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,浅香　　潤 Ｄ・ジゲン 伊勢崎 23期 52歳 1級 A-157,30,-,094,2連率 40.0 3連率 40.0,04/04伊 6着1R 3.463 3.32 ST 0.12,04/03伊 1着8R 3.454 3.36 ST 0.15,04/02伊 5着1R 3.530 3.52 ST 0.18,03/25伊 ⑥着12R 3.725 3.64 ST 0.12,03/24伊 2着12R 3.409 3.34 ST 0.07,03/23伊 1着11R 3.416 3.33 ST 0.17,03/17伊 1着2R 3.446 3.35 ST 0.23,03/16伊 4着2R 3.448 3.34 ST 0.32,03/15伊 5着7R 3.456 3.36 ST 0.23,03/11伊 8着9R F 3.466 3.34 ST 0.20,04/04伊 6着1R 3.463 3.32 ST 0.12,04/03伊 1着8R 3.454 3.36 ST 0.15,03/24伊 2着12R 3.409 3.34 ST 0.07,03/23伊 1着11R 3.416 3.33 ST 0.17,03/17伊 1着2R 3.446 3.35 ST 0.23,2.2,-,80%,03/25伊 ⑥着12R 3.725 3.64 ST 0.12,02/11川 5着3R 3.754 3.70 ST 0.27,-,-,-,5.5,-,-,04/02伊 5着1R 3.530 3.52 ST 0.18,-,-,-,-,5,-,-,20,1,0,0.17,3/1 0/6,40.0%,40.0%,3.35,3.444,3.409 (伊),20.0%,5/25,25,0.0%,0/5,5,1,0,759,548,523,19.2%,33.1%,46.3%,-
isesaki,7,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,亀井　政和 キャメロン 伊勢崎 28期 43歳 1級 A-37,30,-,074,2連率 55.6 3連率 77.8,03/17伊 他落11R - 3.35 ST 0.14,03/16伊 3着10R 3.446 3.36 ST 0.17,03/15伊 1着12R 3.431 3.36 ST 0.12,03/11伊 ⑤着12R 3.415 3.31 ST 0.10,03/10伊 2着12R 3.401 3.36 ST 0.07,03/09伊 2着6R 3.451 3.31 ST 0.27,02/27伊 ④着8R 3.407 3.33 ST 0.07,02/26伊 2着8R 3.404 3.29 ST 0.11,02/25伊 3着8R 3.677 3.65 ST 0.18,02/24伊 1着8R 3.406 3.35 ST 0.12,03/17伊 他落11R - 3.35 ST 0.14,03/16伊 3着10R 3.446 3.36 ST 0.17,03/15伊 1着12R 3.431 3.36 ST 0.12,03/11伊 ⑤着12R 3.415 3.31 ST 0.10,03/09伊 2着6R 3.451 3.31 ST 0.27,2.8,-,50%,02/25伊 3着8R 3.677 3.65 ST 0.18,02/07山 8着9R 3.734 3.63 ST 0.45,-,-,-,5.5,-,-,-,-,-,-,-,-,-,-,18,2,0,0.18,2/3 2/2,55.6%,77.8%,3.35,3.424,3.404 (伊),43.9%,18/41,41,12.5%,1/8,8,2,0,390,316,317,15.0%,27.1%,39.3%,-
isesaki,8,4月13日(月),令和８年度伊勢崎市営　普通開催　４／１３～,予選5R,3100m,,℃,%,℃,,,,西原　智昭 ニシエスタ 伊勢崎 28期 47歳 1級 A-3,40,-,101,2連率 10.0 3連率 20.0,04/04伊 3着10R 3.463 3.47 ST 0.10,04/03伊 6着11R 3.428 3.33 ST 0.08,04/02伊 1着3R 3.420 3.32 ST 0.15,03/22浜 7着8R 3.431 3.32 ST 0.11,03/21浜 5着4R 3.437 3.33 ST 0.07,03/20浜 4着3R 3.447 3.32 ST 0.11,03/19浜 5着10R F 3.428 3.33 ST 0.13,03/18浜 5着9R 3.415 3.34 ST 0.14,03/11伊 5着10R 3.411 3.33 ST 0.14,03/10伊 5着11R 3.408 3.30 ST 0.14,04/03伊 6着11R 3.428 3.33 ST 0.08,03/22浜 7着8R 3.431 3.32 ST 0.11,03/21浜 5着4R 3.437 3.33 ST 0.07,03/20浜 4着3R 3.447 3.32 ST 0.11,03/18浜 5着9R 3.415 3.34 ST 0.14,5.4,-,-,03/03飯 5着6R 3.614 3.55 ST 0.11,03/02飯 5着6R 3.718 3.59 ST 0.10,02/10山 3着3R 3.615 3.41 ST 0.16,02/09山 2着2R 3.590 3.55 ST 0.18,02/07山 5着1R 3.670 3.58 ST 0.13,4,-,20%,04/04伊 3着10R 3.463 3.47 ST 0.10,04/02伊 1着3R 3.420 3.32 ST 0.15,-,-,-,2,-,50%,32,0,0,0.13,1/0 1/8,10.0%,20.0%,3.32,3.421,3.392 (飯),24.0%,12/50,50,40.0%,4/10,10,0,0,498,502,416,16.6%,33.4%,47.3%,-
