車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,水口　寿治,"投票締切
23:11",23:13,0,-,73,"2連率
30.0
3連率
60.0",04/07飯 2着6R 3.475 3.41 ST 0.14,04/07飯 2着1R 3.484 3.40 ST 0.13,04/06飯 3着4R 3.484 3.40 ST 0.15,04/05飯 3着2R 3.506 3.40 ST 0.16,04/04飯 8着7R 3.603 3.50 ST 0.13,03/28川 4着4R 3.494 3.41 ST 0.01,03/27川 7着5R 3.516 3.40 ST 0.11,03/26川 7着9R 3.806 3.76 ST 0.09,03/22飯 1着2R 3.735 3.65 ST 0.14,03/21飯 3着1R 3.470 3.38 ST 0.15,2.8,-,40%,2.8,-,60%,8,-,-,0.12,3.483,3.41,19.1%,33.3%,1,21.6%,3.484,153.56,2
2,水崎　正二,"投票締切
23:11",23:13,10,-,82,"2連率
30.0
3連率
50.0",04/07飯 1着4R 3.455 3.37 ST 0.22,04/06飯 3着7R 3.473 3.38 ST 0.09,04/06飯 1着2R 3.478 3.40 ST 0.18,04/05飯 4着6R 3.478 3.41 ST 0.24,04/04飯 3着10R 3.460 3.41 ST 0.08,03/28川 5着3R 3.469 3.38 ST 0.18,03/27川 1着1R 3.444 3.38 ST 0.10,03/26川 7着2R 3.898 3.83 ST 0.20,03/22飯 5着2R 3.812 3.72 ST 0.11,03/21飯 7着6R 3.577 3.39 ST 0.25,2.4,-,40%,4.8,-,20%,-,-,-,0.17,3.472,3.39,19.7%,33.3%,10,27.4%,3.49,149.61,3
3,小林　頼介,"投票締切
23:11",23:13,20,-,88,"2連率
10.0
3連率
20.0",04/07飯 7着9R 3.466 3.36 ST 0.16,04/06飯 8着11R 3.486 3.38 ST 0.22,04/05飯 3着7R 3.465 3.39 ST 0.19,04/04飯 4着2R 3.481 3.36 ST 0.12,03/31浜 5着10R 3.768 3.69 ST 0.10,03/30浜 5着11R 3.446 3.39 ST 0.18,03/29浜 2着5R 3.465 3.40 ST 0.18,03/26山 4着3R 3.486 3.39 ST 0.18,03/25山 5着5R 3.676 3.62 ST 0.16,03/25山 5着1R 3.704 3.67 ST 0.14,5.4,-,-,5.2,-,-,-,-,-,0.16,3.468,3.38,34.6%,18.2%,1,21.7%,3.498,102.31,7
4,佐藤　裕児,"投票締切
23:11",23:13,30,-,102,"2連率
10.0
3連率
30.0",04/07飯 8着11R 3.433 3.34 ST 0.23,04/06飯 4着12R 3.429 3.31 ST 0.15,04/05飯 3着6R 3.449 3.34 ST 0.11,04/04飯 6着10R 3.450 3.35 ST 0.21,03/31飯 1着5R 3.569 3.52 ST 0.12,03/30飯 4着2R 3.794 3.69 ST 0.16,03/29飯 7着7R 3.434 3.36 ST 0.17,03/28飯 4着2R 3.421 3.32 ST 0.20,03/27飯 4着7R 3.415 3.32 ST 0.10,03/22飯 3着4R 3.744 3.64 ST 0.26,5.6,-,-,3.3,-,-,1,-,100%,0.17,3.432,3.33,14.5%,25.0%,2,24.0%,3.475,129.61,5
5,内山　雄介,"投票締切
23:11",23:13,30,-,79,"2連率
20.0
3連率
30.0",04/07飯 3着7R 3.423 3.37 ST 0.14,04/06飯 4着1R 3.459 3.38 ST 0.04,04/05飯 7着10R 3.446 3.35 ST 0.14,04/05飯 4着2R 3.479 3.38 ST 0.25,04/04飯 4着3R 3.462 3.37 ST 0.15,03/31飯 1着6R 3.547 3.48 ST 0.06,03/30飯 4着3R 3.759 3.70 ST 0.11,03/29飯 5着8R 3.431 3.34 ST 0.10,03/28飯 7着7R 3.424 3.33 ST 0.05,03/27飯 2着8R 3.399 3.33 ST 0.08,4.4,-,-,4.2,-,-,1,-,100%,0.1,3.429,3.35,25.0%,8.3%,6,25.6%,3.464,155.76,1
6,村瀬　月乃丞,"投票締切
23:11",23:13,30,-,103,"2連率
11.1
3連率
22.2",04/07飯 ④着12R 3.409 3.29 ST 0.20,04/06飯 2着9R 3.425 3.33 ST 0.21,04/05飯 3着9R 3.429 3.33 ST 0.25,04/04飯 5着10R 3.444 3.35 ST 0.20,04/04飯 5着4R 3.467 3.36 ST 0.08,03/30飯 欠責5R - 0.00 -,03/29飯 他落3R - 3.32 ST 0.12,03/28飯 5着6R 3.431 3.33 ST 0.16,03/27飯 4着5R 3.434 3.33 ST 0.21,03/22飯 4着2R 3.747 3.63 ST 0.41,3.8,-,20%,3,-,40%,-,-,-,0.19,3.433,3.33,25.7%,30.8%,2,30.4%,3.478,136.56,4
7,高宗　良次,"投票締切
23:11",23:13,40,-,82,"2連率
40.0
3連率
50.0",04/07飯 5着10R 3.408 3.34 ST 0.04,04/06飯 5着10R 3.436 3.32 ST 0.11,04/05飯 2着8R 3.430 3.33 ST 0.12,04/04飯 6着7R 3.500 3.52 ST 0.22,04/04飯 2着1R 3.454 3.37 ST 0.23,03/31飯 7着7R 3.621 3.50 ST 0.07,03/31飯 3着2R 3.662 3.57 ST 0.07,03/30飯 6着9R 3.772 3.64 ST 0.08,03/29飯 2着4R 3.395 3.32 ST 0.06,03/28飯 2着4R 3.389 3.31 ST 0.11,3.2,-,60%,3.4,-,40%,6.5,-,-,0.12,3.422,3.34,28.9%,26.3%,5,27.7%,3.471,128.61,6
