場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47, ,△,1,片岡　信之,0,112,110.94,3.579,116.92,3.772,3.49,2連率 0.0 3連率 0.0,ランシド,浜松,25期,50歳,1級,B-105,04/17浜 8着3R 3.592 3.47 ST 0.15,04/16浜 7着1R 3.581 3.49 ST 0.13,04/07川 7着7R 3.610 3.67 ST 0.15,04/06川 7着6R 3.572 3.48 ST 0.13,04/05川 8着8R 3.555 3.48 ST 0.04,03/31浜 7着9R 3.823 3.73 ST 0.24,03/30浜 7着8R 3.576 3.45 ST 0.24,03/29浜 8着10R 3.568 3.48 ST 0.16,03/26山 6着6R 3.600 3.48 ST 0.22,03/25山 5着6R 3.732 3.68 ST 0.23,04/17浜 8着3R 3.592 3.47 ST 0.15,04/06川 7着6R 3.572 3.48 ST 0.13,04/05川 8着8R 3.555 3.48 ST 0.04,03/30浜 7着8R 3.576 3.45 ST 0.24,03/29浜 8着10R 3.568 3.48 ST 0.16,7.6,,,03/31浜 7着9R 3.823 3.73 ST 0.24,03/25山 5着6R 3.732 3.68 ST 0.23,03/03浜 6着2R 3.790 3.70 ST 0.15,02/25川 5着8R 3.890 3.85 ST 0.29,-,5.8,,,04/16浜 7着1R 3.581 3.49 ST 0.13,04/07川 7着7R 3.610 3.67 ST 0.15,-,-,-,7,,,8,4
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47,△, ,2,瀬戸尾　侑宏,0,098,108.95,3.515,117.78,3.799,3.41,2連率 10.0 3連率 20.0,ジャイキリ８Ｙ,浜松,38期,22歳,2級,B-101,04/17浜 6着1R 3.513 3.42 ST 0.08,04/16浜 5着6R 3.529 3.43 ST 0.15,04/07川 7着8R 3.539 3.45 ST 0.13,04/06川 7着1R 3.548 3.40 ST 0.07,04/05川 5着11R 3.477 3.36 ST 0.11,03/31浜 7着8R 3.834 3.78 ST 0.23,03/30浜 1着9R 3.475 3.39 ST 0.11,03/29浜 7着10R 3.500 3.39 ST 0.11,03/26山 3着2R 3.487 3.42 ST 0.08,03/25山 6着6R 3.735 3.67 ST 0.10,04/17浜 6着1R 3.513 3.42 ST 0.08,04/16浜 5着6R 3.529 3.43 ST 0.15,04/06川 7着1R 3.548 3.40 ST 0.07,04/05川 5着11R 3.477 3.36 ST 0.11,03/30浜 1着9R 3.475 3.39 ST 0.11,4.8,,20%,03/31浜 7着8R 3.834 3.78 ST 0.23,03/25山 6着6R 3.735 3.67 ST 0.10,02/25川 2着11R 3.829 3.77 ST 0.09,-,-,5,,33.3%,04/07川 7着8R 3.539 3.45 ST 0.13,-,-,-,-,7,,,4,7
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47, , ,3,東小野　正道,10,090,109.32,3.515,117.22,3.769,3.41,2連率 33.3 3連率 33.3,スージーＱ,飯塚,25期,52歳,1級,A-232,04/17浜 6着4R 3.505 3.41 ST 0.18,04/16浜 7着9R 3.531 3.44 ST 0.18,04/08飯 欠車2R - 0.00 -,04/07飯 1着5R 3.484 3.38 ST 0.10,04/06飯 4着3R 3.497 3.38 ST 0.22,04/05飯 7着6R 3.535 3.44 ST 0.23,04/04飯 5着3R 3.516 再3.39 ST 0.23,03/22飯 2着1R 3.747 3.67 ST 0.19,03/21飯 7着5R 3.462 3.45 ST 0.18,03/20飯 2着3R 3.446 3.34 ST 0.21,04/17浜 6着4R 3.505 3.41 ST 0.18,04/16浜 7着9R 3.531 3.44 ST 0.18,04/08飯 欠車2R - 0.00 -,04/07飯 1着5R 3.484 3.38 ST 0.10,04/06飯 4着3R 3.497 3.38 ST 0.22,4.5,,25%,03/22飯 2着1R 3.747 3.67 ST 0.19,03/09飯 4着5R 3.830 3.45 ST 0.10,03/02飯 4着4R 3.730 3.63 ST 0.14,-,-,3.3,,33.3%,-,-,-,-,-,,,,7,6
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47,注, ,4,桝崎　星名,20,087,109.11,3.497,120.07,3.848,3.40,2連率 10.0 3連率 10.0,Ａ・セナ２,浜松,34期,28歳,1級,B-25,04/17浜 5着3R 3.486 3.42 ST 0.22,04/16浜 6着9R 3.506 3.41 ST 0.21,04/07飯 6着2R 3.508 3.40 ST 0.13,04/06飯 1着4R 3.449 3.38 ST 0.13,04/05飯 8着5R 3.500 3.36 ST 0.23,04/04飯 5着12R 3.463 3.42 ST 0.23,03/31浜 7着7R 3.845 3.89 ST 0.28,03/31浜 6着1R 4.016 3.85 ST 0.23,03/30浜 7着9R 3.509 3.43 ST 0.14,03/29浜 4着1R 3.455 3.38 ST 0.09,04/17浜 5着3R 3.486 3.42 ST 0.22,04/16浜 6着9R 3.506 3.41 ST 0.21,04/07飯 6着2R 3.508 3.40 ST 0.13,04/06飯 1着4R 3.449 3.38 ST 0.13,04/05飯 8着5R 3.500 3.36 ST 0.23,5.2,,20%,03/31浜 7着7R 3.845 3.89 ST 0.28,03/31浜 6着1R 4.016 3.85 ST 0.23,03/25山 6着4R 3.684 3.69 ST 0.17,03/03浜 7着3R 3.779 3.83 ST 0.33,-,6.5,,,-,-,-,-,-,,,,5,8
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47,〇,◎,5,岡谷　美由紀,20,100,107.95,3.460,114.6,3.673,3.37,2連率 40.0 3連率 40.0,ディアマンテ,浜松,32期,41歳,1級,A-80,04/17浜 7着7R 3.476 3.37 ST 0.21,04/16浜 4着8R 3.487 3.36 ST 0.19,04/03山 5着3R 3.449 3.35 ST 0.15,04/02山 5着6R 3.420 3.36 ST 0.21,04/01山 4着7R 3.673 3.60 ST 0.30,03/14浜 1着10R 3.434 3.34 ST 0.17,03/13浜 6着11R 3.429 3.34 ST 0.18,03/12浜 1着6R 3.446 3.36 ST 0.35,03/08川 1着1R 3.419 3.34 ST 0.08,03/07川 2着7R 3.435 3.35 ST 0.15,04/17浜 7着7R 3.476 3.37 ST 0.21,04/16浜 4着8R 3.487 3.36 ST 0.19,04/03山 5着3R 3.449 3.35 ST 0.15,04/02山 5着6R 3.420 3.36 ST 0.21,03/14浜 1着10R 3.434 3.34 ST 0.17,4.4,,20%,04/01山 4着7R 3.673 3.60 ST 0.30,-,-,-,-,4,,,-,-,-,-,-,,,,2,1
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47, ,注,6,柴田　健治,30,079,109.31,3.492,116.99,3.738,3.36,2連率 20.0 3連率 40.0,ボーノ１０,浜松,27期,48歳,1級,A-79,04/17浜 2着2R 3.476 3.40 ST 0.20,04/16浜 8着2R 3.495 3.43 ST 0.03,04/07川 3着1R 3.780 3.38 ST 0.14,04/06川 1着8R 3.454 3.41 ST 0.13,04/05川 5着4R 3.431 3.33 ST 0.11,03/31飯 6着4R 3.633 3.58 ST 0.16,03/30飯 7着1R 3.830 3.71 ST 0.15,03/29飯 7着5R F 3.450 3.34 ST 0.21,03/28飯 3着3R 3.431 3.34 ST 0.11,03/27飯 7着3R 3.441 3.35 ST 0.08,04/17浜 2着2R 3.476 3.40 ST 0.20,04/16浜 8着2R 3.495 3.43 ST 0.03,04/06川 1着8R 3.454 3.41 ST 0.13,04/05川 5着4R 3.431 3.33 ST 0.11,03/29飯 7着5R F 3.450 3.34 ST 0.21,4.6,,40%,04/07川 3着1R 3.780 3.38 ST 0.14,03/30飯 7着1R 3.830 3.71 ST 0.15,03/03浜 1着7R 3.603 3.56 ST 0.13,02/10山 7着6R 3.727 3.62 ST 0.12,02/09山 6着3R 3.505 3.51 ST 0.09,4.8,,20%,03/31飯 6着4R 3.633 3.58 ST 0.16,-,-,-,-,6,,,6,5
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47,◎,〇,7,遠藤　　誠,30,084,107.69,3.441,115.31,3.684,3.38,2連率 10.0 3連率 10.0,ソニックＳ,浜松,25期,51歳,1級,A-39,04/17浜 8着12R 3.444 3.36 ST 0.08,04/16浜 2着1R 3.457 3.38 ST 0.15,04/03山 5着2R 3.446 3.36 ST 0.29,04/02山 5着7R 3.429 3.35 ST 0.15,04/01山 4着5R 3.684 3.60 ST 0.31,03/22浜 7着3R 3.463 3.39 ST 0.07,03/21浜 5着6R 3.466 3.37 ST 0.05,03/20浜 6着1R 3.447 3.39 ST 0.10,03/19浜 8着6R 3.492 3.40 ST 0.08,03/14浜 4着3R 3.464 3.37 ST 0.28,04/17浜 8着12R 3.444 3.36 ST 0.08,04/03山 5着2R 3.446 3.36 ST 0.29,04/02山 5着7R 3.429 3.35 ST 0.15,03/22浜 7着3R 3.463 3.39 ST 0.07,03/21浜 5着6R 3.466 3.37 ST 0.05,6,,,04/01山 4着5R 3.684 3.60 ST 0.31,-,-,-,-,4,,,04/16浜 2着1R 3.457 3.38 ST 0.15,-,-,-,-,2,,100%,1,2
hamamatsu,令和８年度浜松市営　普通開催　４／１６～,4月18日(土),一般戦9R,3100m,14:47,▲,▲,8,浅田　真吾,40,084,108.04,3.441,115.66,3.683,3.36,2連率 30.0 3連率 30.0,ランドシャーク,浜松,27期,47歳,1級,A-55,04/17浜 7着11R 3.443 3.34 ST 0.13,04/16浜 7着10R 3.468 3.38 ST 0.16,04/07川 7着10R 3.421 3.35 ST 0.09,04/06川 6着11R 3.423 3.33 ST 0.10,04/05川 2着4R 3.411 3.33 ST 0.19,03/31飯 1着3R 3.582 3.55 ST 0.06,03/30飯 7着3R 3.785 3.72 ST 0.12,03/29飯 7着8R 3.437 3.32 ST 0.15,03/28飯 5着8R 3.405 3.33 ST 0.13,03/27飯 2着9R 3.379 3.31 ST 0.10,04/17浜 7着11R 3.443 3.34 ST 0.13,04/16浜 7着10R 3.468 3.38 ST 0.16,04/07川 7着10R 3.421 3.35 ST 0.09,04/06川 6着11R 3.423 3.33 ST 0.10,04/05川 2着4R 3.411 3.33 ST 0.19,5.8,,20%,03/31飯 1着3R 3.582 3.55 ST 0.06,03/30飯 7着3R 3.785 3.72 ST 0.12,-,-,-,4,,50%,-,-,-,-,-,,,,3,3
