車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,信沢　綾乃,"投票締切
20:28",20:30,0,-,84,"2連率
0.0
3連率
20.0",04/11川 3着1R 3.460 3.37 ST 0.20,04/07飯 7着1R 3.498 3.41 ST 0.15,04/06飯 6着5R 3.503 3.40 ST 0.11,04/05飯 7着2R 3.540 3.43 ST 0.31,04/04飯 8着3R 3.596 再3.48 ST 0.22,03/28川 5着4R 3.495 3.41 ST 0.13,03/27川 3着8R 3.486 3.41 ST 0.19,03/26川 7着6R 3.923 3.83 ST 0.13,03/18山 6着6R 3.852 3.83 ST 0.17,03/17山 5着2R 3.514 3.41 ST 0.26,0.16,3.504,3.435 (川),-,-,-,-,3.507,108.09,7
2,山田　　徹,"投票締切
20:28",20:30,10,-,89,"2連率
50.0
3連率
70.0",04/11川 3着2R 3.455 3.36 ST 0.26,04/07川 3着8R 3.444 3.37 ST 0.23,04/06川 1着2R 3.447 3.37 ST 0.23,04/05川 5着12R 3.453 3.36 ST 0.12,03/28川 1着2R 3.437 3.36 ST 0.24,03/27川 1着4R 3.446 3.36 ST 0.16,03/26川 7着8R 3.884 3.82 ST 0.16,02/26川 1着10R 3.397 3.33 ST 0.16,02/25川 6着10R 3.978 3.86 ST 0.20,02/24川 1着7R 3.407 3.35 ST 0.17,0.28,3.439,3.397 (川),-,-,-,-,3.466,158.84,3
3,石井　大志,"投票締切
20:28",20:30,10,-,109,"2連率
0.0
3連率
50.0",04/11川 3着5R 3.439 3.35 ST 0.11,04/07川 3着7R 3.510 3.57 ST 0.12,04/06川 3着4R 3.487 3.39 ST 0.08,04/05川 3着4R 3.436 3.35 ST 0.07,03/28川 4着3R 3.455 3.35 ST 0.07,03/27川 5着6R 3.474 3.37 ST 0.15,03/26川 5着6R 3.901 3.81 ST 0.13,03/17伊 5着1R 3.478 3.37 ST 0.18,03/16伊 6着7R 3.513 3.40 ST 0.10,03/15伊 3着6R 3.470 3.34 ST 0.08,0.13,3.469,3.436 (川),-,-,-,-,3.482,142.84,5
4,牧野　貴博,"投票締切
20:28",20:30,20,-,99,"2連率
20.0
3連率
20.0",04/11川 4着6R 3.449 3.36 ST 0.22,04/07川 5着8R 3.466 3.42 ST 0.20,04/06川 2着4R 3.444 3.37 ST 0.22,04/05川 4着11R 3.431 3.33 ST 0.15,03/28川 5着10R 3.457 3.34 ST 0.12,03/27川 6着11R 3.442 3.34 ST 0.19,03/26川 4着8R 3.764 3.77 ST 0.22,03/08川 4着3R 3.447 3.34 ST 0.15,03/07川 2着4R 3.444 3.34 ST 0.15,03/06川 8着3R 3.437 3.33 ST 0.09,0.18,3.439,3.401 (川),-,-,-,-,3.469,138.84,6
5,斎藤　撤二,"投票締切
20:28",20:30,20,-,95,"2連率
40.0
3連率
50.0",04/11川 4着4R 3.444 3.37 ST 0.30,04/07川 1着9R 3.418 3.33 ST 0.19,04/06川 7着12R 3.437 3.31 ST 0.10,04/05川 4着4R 3.431 3.33 ST 0.12,03/28川 3着10R 3.450 3.33 ST 0.05,03/27川 6着10R 3.449 3.34 ST 0.11,03/26川 1着3R 3.792 3.67 ST 0.19,03/22飯 1着7R 3.688 3.63 ST 0.11,03/21飯 4着8R 3.428 3.32 ST 0.19,03/20飯 2着8R 3.426 3.35 ST 0.17,0.16,3.435,3.420 (飯),-,-,-,-,3.462,165.04,2
6,早船　　歩,"投票締切
20:28",20:30,20,-,85,"2連率
30.0
3連率
40.0",04/11川 4着2R 3.454 3.36 ST 0.12,04/07川 1着7R 3.444 3.48 ST 0.12,04/06川 5着3R 3.460 3.36 ST 0.17,04/05川 5着7R 3.457 3.35 ST 0.09,03/28川 ⑦着12R 3.460 3.35 ST 0.14,03/27川 2着11R 3.423 3.34 ST 0.09,03/26川 1着12R 3.594 3.56 ST 0.16,03/08川 8着10R 3.421 3.32 ST 0.15,03/07川 5着9R 3.418 3.36 ST 0.07,03/06川 3着9R 3.412 3.32 ST 0.16,0.14,3.425,3.383 (川),-,-,-,-,3.45,177.54,1
7,青木　治親,"投票締切
20:28",20:30,30,-,91,"2連率
30.0
3連率
50.0",04/11川 4着7R 3.427 3.34 ST 0.24,04/07川 7着9R 3.433 3.34 ST 0.07,04/06川 8着12R 3.429 3.32 ST 0.11,04/05川 3着7R 3.436 3.31 ST 0.16,03/28川 6着9R 3.454 3.37 ST 0.32,03/27川 7着11R 3.431 3.34 ST 0.19,03/26川 1着10R 3.691 3.62 ST 0.10,03/18山 2着7R 3.642 3.66 ST 0.17,03/17山 3着8R 3.371 3.30 ST 0.18,03/16山 2着8R 3.398 3.31 ST 0.21,0.16,3.421,3.371 (山),-,-,-,-,3.46,147.24,4
