車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,良5前1,良5前2,良5前3,良5前4,良5前5,湿5前1,湿5前2,湿5前3,湿5前4,湿5前5,斑5前1,斑5前2,斑5前3,斑5前4,斑5前5,90平均ST,90良10平競,前日予想タイム,総合スコア,前日予想着順
1,青木　隆浩,"投票締切
11:06[変更]",11:08,0,3.40,99,"2連率
20.0
3連率
20.0",04/10山 8着6R 3.677 3.59 ST 0.16,04/09山 7着11R 3.726 3.68 ST 0.08,04/08山 1着10R 3.439 3.38 ST 0.16,03/31浜 1着4R 3.781 3.73 ST 0.24,03/30浜 6着6R 3.492 3.39 ST 0.20,03/29浜 6着2R 3.513 3.40 ST 0.19,03/25伊 7着6R 3.454 3.35 ST 0.11,03/24伊 6着5R 3.481 3.38 ST 0.13,03/23伊 4着5R 3.451 3.36 ST 0.12,03/15飯 5着5R 3.468 3.38 ST 0.18,04/08山 1着10R 3.439 3.38 ST 0.16,03/30浜 6着6R 3.492 3.39 ST 0.20,03/29浜 6着2R 3.513 3.40 ST 0.19,03/25伊 7着6R 3.454 3.35 ST 0.11,03/24伊 6着5R 3.481 3.38 ST 0.13,04/10山 8着6R 3.677 3.59 ST 0.16,04/09山 7着11R 3.726 3.68 ST 0.08,03/31浜 1着4R 3.781 3.73 ST 0.24,03/06山 3着2R 3.645 3.55 ST 0.11,03/03山 3着1R 3.510 3.51 ST 0.21,-,-,-,-,-,0.16,3.469,3.473,126.55,8
2,君和田　裕二,"投票締切
11:06[変更]",11:08,10,3.37,87,"2連率
30.0
3連率
40.0",04/10山 5着3R 3.672 3.54 ST 0.20,04/09山 4着2R 3.704 3.64 ST 0.12,04/08山 7着11R 3.453 3.36 ST 0.14,03/26山 2着5R 3.420 3.36 ST 0.16,03/26山 3着1R 3.431 3.36 ST 0.25,03/25山 2着6R 3.620 3.54 ST 0.22,03/24山 5着7R 3.429 3.34 ST 0.22,03/23山 5着9R 3.431 3.34 ST 0.28,03/23山 6着1R 3.431 3.36 ST 0.15,03/08川 1着7R 3.421 3.35 ST 0.10,04/08山 7着11R 3.453 3.36 ST 0.14,03/26山 2着5R 3.420 3.36 ST 0.16,03/26山 3着1R 3.431 3.36 ST 0.25,03/24山 5着7R 3.429 3.34 ST 0.22,03/23山 5着9R 3.431 3.34 ST 0.28,04/10山 5着3R 3.672 3.54 ST 0.20,04/09山 4着2R 3.704 3.64 ST 0.12,03/25山 2着6R 3.620 3.54 ST 0.22,02/25川 3着3R 3.860 3.77 ST 0.35,02/11川 5着6R 3.684 3.60 ST 0.17,-,-,-,-,-,0.2,3.437,3.457,148.15,6
3,中野　政則,"投票締切
11:06[変更]",11:08,10,3.37,79,"2連率
20.0
3連率
20.0",04/10山 6着1R 3.701 3.66 ST 0.25,04/09山 5着2R 3.714 3.62 ST 0.19,04/08山 6着6R 3.457 3.36 ST 0.11,04/03山 1着4R 3.413 3.32 ST 0.26,04/02山 5着9R 3.419 3.33 ST 0.25,04/01山 4着4R 3.674 3.59 ST 0.34,02/15伊 自落12R - 3.34 ST 0.19,02/11山 7着5R 3.534 3.67 ST 0.18,02/10山 6着6R 3.723 3.67 ST 0.19,02/09山 2着1R 3.653 3.63 ST 0.07,04/08山 6着6R 3.457 3.36 ST 0.11,04/03山 1着4R 3.413 3.32 ST 0.26,04/02山 5着9R 3.419 3.33 ST 0.25,02/15伊 自落12R - 3.34 ST 0.19,-,04/10山 6着1R 3.701 3.66 ST 0.25,04/09山 5着2R 3.714 3.62 ST 0.19,04/01山 4着4R 3.674 3.59 ST 0.34,02/11山 7着5R 3.534 3.67 ST 0.18,02/10山 6着6R 3.723 3.67 ST 0.19,-,-,-,-,-,0.21,3.409,3.429,170.55,4
4,丹下　昂紀,"投票締切
11:06[変更]",11:08,10,3.37,82,"2連率
20.0
3連率
40.0",04/03山 6着3R 3.438 3.35 ST 0.28,04/02山 5着8R 3.433 3.33 ST 0.19,04/01山 4着1R 3.683 3.59 ST 0.13,03/25伊 2着10R F 3.728 3.58 ST 0.19,03/24伊 5着9R 3.450 3.34 ST 0.07,03/23伊 3着2R 3.425 3.34 ST 0.09,03/18山 2着6R 3.693 3.63 ST 0.15,03/17山 5着5R 3.403 3.29 ST 0.13,03/16山 3着4R 3.408 3.33 ST 0.17,03/12山 ④着9R 3.394 3.34 ST 0.08,04/03山 6着3R 3.438 3.35 ST 0.28,04/02山 5着8R 3.433 3.33 ST 0.19,03/24伊 5着9R 3.450 3.34 ST 0.07,03/23伊 3着2R 3.425 3.34 ST 0.09,03/17山 5着5R 3.403 3.29 ST 0.13,04/01山 4着1R 3.683 3.59 ST 0.13,03/25伊 2着10R F 3.728 3.58 ST 0.19,03/18山 2着6R 3.693 3.63 ST 0.15,03/06山 ④着9R 3.591 3.56 ST 0.20,03/03山 1着9R 3.630 3.58 ST 0.12,-,-,-,-,-,0.15,3.412,3.427,173.4,3
5,松尾　隆広,"投票締切
11:06[変更]",11:08,20,3.40,84,"2連率
10.0
3連率
10.0",04/10山 4着5R 3.615 3.57 ST 0.20,04/09山 2着1R 3.673 3.62 ST 0.18,04/08山 7着12R 3.449 3.36 ST 0.21,03/31飯 7着3R 3.691 3.59 ST 0.22,03/30飯 5着4R 3.794 3.69 ST 0.19,03/29飯 4着1R 3.428 3.33 ST 0.24,03/28飯 6着5R 3.428 3.33 ST 0.18,03/27飯 6着9R 3.424 3.32 ST 0.16,03/22浜 6着8R 3.424 3.34 ST 0.22,03/21浜 8着7R 3.457 3.34 ST 0.24,04/08山 7着12R 3.449 3.36 ST 0.21,03/29飯 4着1R 3.428 3.33 ST 0.24,03/28飯 6着5R 3.428 3.33 ST 0.18,03/27飯 6着9R 3.424 3.32 ST 0.16,03/22浜 6着8R 3.424 3.34 ST 0.22,04/10山 4着5R 3.615 3.57 ST 0.20,04/09山 2着1R 3.673 3.62 ST 0.18,03/31飯 7着3R 3.691 3.59 ST 0.22,03/30飯 5着4R 3.794 3.69 ST 0.19,03/03飯 2着3R 3.640 3.59 ST 0.26,-,-,-,-,-,0.23,3.434,3.469,153.8,5
6,阿部　剛士,"投票締切
11:06[変更]",11:08,20,3.35,101,"2連率
30.0
3連率
30.0",04/10山 6着7R 3.538 3.52 ST 0.11,04/09山 7着7R 3.426 3.30 ST 0.09,04/08山 5着10R 3.433 3.33 ST 0.16,04/03山 4着8R 3.410 3.35 ST 0.18,04/02山 2着5R 3.415 3.32 ST 0.03,04/01山 2着8R 3.610 3.56 ST 0.10,03/28川 4着10R 3.442 3.34 ST 0.09,03/27川 5着10R 3.428 3.32 ST 0.18,03/26川 2着9R 3.710 3.68 ST 0.12,03/22浜 4着3R 3.428 3.35 ST 0.12,04/08山 5着10R 3.433 3.33 ST 0.16,04/02山 2着5R 3.415 3.32 ST 0.03,03/28川 4着10R 3.442 3.34 ST 0.09,03/27川 5着10R 3.428 3.32 ST 0.18,03/22浜 4着3R 3.428 3.35 ST 0.12,04/10山 6着7R 3.538 3.52 ST 0.11,04/01山 2着8R 3.610 3.56 ST 0.10,03/26川 2着9R 3.710 3.68 ST 0.12,02/10山 6着11R 3.662 3.58 ST 0.18,02/07山 4着10R 3.670 3.64 ST 0.16,04/09山 7着7R 3.426 3.30 ST 0.09,04/03山 4着8R 3.410 3.35 ST 0.18,-,-,-,0.11,3.431,3.455,145.45,7
7,森下　　輝,"投票締切
11:06[変更]",11:08,20,3.33,85,"2連率
50.0
3連率
70.0",04/10山 8着12R 3.408 3.29 ST 0.13,04/09山 3着7R 3.401 3.28 ST 0.08,04/08山 4着12R 3.413 3.31 ST 0.11,04/04伊 2着10R 3.415 3.44 ST 0.03,04/03伊 5着11R 3.425 3.32 ST 0.05,04/02伊 3着6R 3.468 3.35 ST 0.18,03/14浜 ①着12R 3.363 3.28 ST 0.10,03/13浜 1着10R 3.357 3.30 ST 0.12,03/12浜 1着3R 3.394 3.32 ST 0.12,03/03浜 ②着9R 3.403 3.34 ST 0.06,04/10山 8着12R 3.408 3.29 ST 0.13,04/08山 4着12R 3.413 3.31 ST 0.11,04/03伊 5着11R 3.425 3.32 ST 0.05,03/14浜 ①着12R 3.363 3.28 ST 0.10,03/13浜 1着10R 3.357 3.30 ST 0.12,02/10山 2着12R 3.601 3.56 ST 0.05,02/07山 2着4R 3.630 3.57 ST 0.13,02/02飯 2着4R 3.665 3.61 ST 0.04,-,-,04/09山 3着7R 3.401 3.28 ST 0.08,04/04伊 2着10R 3.415 3.44 ST 0.03,03/03浜 ②着9R 3.403 3.34 ST 0.06,-,-,0.1,3.395,3.417,193.25,1
8,長田　恭徳,"投票締切
11:06[変更]",11:08,20,3.36,89,"2連率
20.0
3連率
40.0",04/10山 3着4R 3.638 3.66 ST 0.19,04/09山 8着8R 3.788 3.36 ST 0.18,04/08山 5着1R 3.429 3.36 ST 0.18,03/31飯 4着7R 3.585 3.50 ST 0.09,03/30飯 3着6R 3.740 3.66 ST 0.17,03/29飯 5着5R 3.408 3.31 ST 0.19,03/28飯 6着7R 3.408 3.29 ST 0.23,03/27飯 2着7R 3.402 3.31 ST 0.18,03/22浜 2着9R 3.390 3.32 ST 0.16,03/21浜 7着11R 3.423 3.34 ST 0.16,04/08山 5着1R 3.429 3.36 ST 0.18,03/29飯 5着5R 3.408 3.31 ST 0.19,03/28飯 6着7R 3.408 3.29 ST 0.23,03/27飯 2着7R 3.402 3.31 ST 0.18,03/22浜 2着9R 3.390 3.32 ST 0.16,04/10山 3着4R 3.638 3.66 ST 0.19,04/09山 8着8R 3.788 3.36 ST 0.18,03/30飯 3着6R 3.740 3.66 ST 0.17,03/04川 7着1R 3.622 3.64 ST 0.18,02/10山 6着12R 3.643 3.56 ST 0.18,03/31飯 4着7R 3.585 3.50 ST 0.09,-,-,-,-,0.16,3.409,3.437,178.05,2
