場所,レース番号,車,ハンデ,試走T,偏差,連率,選手名,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順,斑5_近況,斑5_2連対率,90出走,90優出,90優勝,90平均ST,90(近10)_各着順,90(近10)_2連対率,90(近10)_3連対率,90(良10)平均試,90(良10)平均競,90(良10)最高競T(場),180良_2連対率,180良_連対回数,180良_出走数,180湿_2連対率,180湿_連対回数,180湿_出走数,今年_優出,今年_優勝,通算_優勝,通算_1着,通算_2着,通算_3着,通算_単勝率,通算_2連対率,通算_3連対率
iizuka,4,1,0,3.76,082,2連率 20.0 3連率 20.0,-,-,-,-,-,-,-,04/10飯 5着3R 3.576 3.52 ST 0.16,04/09飯 2着2R 3.700 3.63 ST 0.20,04/08飯 6着4R 3.471 3.41 ST 0.04,04/07飯 4着5R 3.505 3.41 ST 0.16,04/06飯 4着6R 3.481 3.38 ST 0.26,04/05飯 5着7R 3.494 3.41 ST 0.13,04/04飯 5着1R 3.518 3.43 ST 0.22,03/28川 6着2R 3.500 3.42 ST 0.14,03/27川 6着2R 3.494 3.41 ST 0.08,03/26川 2着8R 3.790 3.75 ST 0.15,04/08飯 6着4R 3.471 3.41 ST 0.04,04/07飯 4着5R 3.505 3.41 ST 0.16,04/06飯 4着6R 3.481 3.38 ST 0.26,04/05飯 5着7R 3.494 3.41 ST 0.13,04/04飯 5着1R 3.518 3.43 ST 0.22,4.8,,,04/09飯 2着2R 3.700 3.63 ST 0.20,03/26川 2着8R 3.790 3.75 ST 0.15,03/22飯 6着1R 3.797 3.72 ST 0.09,03/03飯 4着2R F 3.700 3.64 ST 0.12,03/02飯 4着2R 3.794 3.70 ST 0.15,3.6,,40%,04/10飯 5着3R 3.576 3.52 ST 0.16,03/28川 6着2R 3.500 3.42 ST 0.14,-,-,-,5.5,,,36,0,0,0.15,0/2 0/8,20.0%,20.0%,3.41,3.492,3.471 (飯),4.0%,2/50,50,40.0%,6/15,15,0,0,462,637,688,9.6%,22.9%,37.3%,-
iizuka,4,2,10,3.71,087,2連率 0.0 3連率 0.0,-,-,-,-,-,-,-,03/31浜 5着6R 3.853 3.77 ST 0.23,03/30浜 5着6R 3.503 3.43 ST 0.16,03/29浜 6着7R 3.529 3.42 ST 0.19,03/25伊 7着7R 3.498 3.39 ST 0.17,03/24伊 8着3R 3.513 3.42 ST 0.21,03/23伊 7着12R 3.508 3.41 ST 0.06,03/15飯 6着6R 3.479 3.39 ST 0.21,03/14飯 6着5R 3.502 3.40 ST 0.10,03/13飯 5着4R 3.487 3.41 ST 0.18,03/06山 4着3R 3.685 3.61 ST 0.29,03/30浜 5着6R 3.503 3.43 ST 0.16,03/29浜 6着7R 3.529 3.42 ST 0.19,03/25伊 7着7R 3.498 3.39 ST 0.17,03/24伊 8着3R 3.513 3.42 ST 0.21,03/23伊 7着12R 3.508 3.41 ST 0.06,6.6,,,03/31浜 5着6R 3.853 3.77 ST 0.23,03/06山 4着3R 3.685 3.61 ST 0.29,03/03山 1着1R 3.511 3.55 ST 0.16,03/02山 4着8R 3.740 3.63 ST 0.26,02/10山 8着5R 3.787 3.74 ST 0.24,4.4,,20%,03/13飯 5着4R 3.487 3.41 ST 0.18,-,-,-,-,5,,,29,0,0,0.18,0/0 0/10,0.0%,0.0%,3.41,3.497,3.465 (山),12.2%,5/41,41,20.0%,2/10,10,0,0,312,259,263,13.0%,23.7%,34.7%,-
iizuka,4,3,10,3.72,061,2連率 40.0 3連率 70.0,-,-,-,-,-,-,-,04/10飯 7着6R 3.565 3.51 ST 0.15,04/09飯 6着6R 3.779 3.69 ST 0.06,04/09飯 2着1R 3.687 3.63 ST 0.05,04/08飯 1着2R 3.420 3.35 ST 0.12,04/07飯 1着11R 3.413 3.39 ST 0.11,04/06飯 3着12R 3.452 3.39 ST 0.12,04/05飯 2着9R 3.448 3.39 ST 0.12,04/04飯 3着1R 3.490 3.40 ST 0.20,03/22飯 7着1R 3.833 3.72 ST 0.13,03/21飯 3着3R 3.476 3.43 ST 0.18,04/08飯 1着2R 3.420 3.35 ST 0.12,04/07飯 1着11R 3.413 3.39 ST 0.11,04/06飯 3着12R 3.452 3.39 ST 0.12,04/05飯 2着9R 3.448 3.39 ST 0.12,04/04飯 3着1R 3.490 3.40 ST 0.20,2,,60%,04/09飯 6着6R 3.779 3.69 ST 0.06,04/09飯 2着1R 3.687 3.63 ST 0.05,03/22飯 7着1R 3.833 3.72 ST 0.13,03/02飯 5着3R 3.765 3.68 ST 0.13,02/02飯 6着2R 3.723 3.62 ST 0.20,5.2,,20%,04/10飯 7着6R 3.565 3.51 ST 0.15,-,-,-,-,7,,,40,0,0,0.16,2/2 3/3,40.0%,70.0%,3.40,3.461,3.413 (飯),24.6%,14/57,57,14.3%,2/14,14,0,0,628,574,625,13.5%,25.9%,39.4%,-
iizuka,4,4,20,3.71,083,2連率 40.0 3連率 40.0,-,-,-,-,-,-,-,04/10飯 ⑤着8R 3.468 3.42 ST 0.02,04/09飯 1着5R 3.719 3.63 ST 0.15,04/08飯 4着5R 3.444 3.36 ST 0.11,04/07飯 2着10R 3.418 3.36 ST 0.09,04/06飯 5着11R 3.445 3.38 ST 0.08,04/05飯 2着10R 3.445 3.36 ST 0.11,04/04飯 2着4R 3.476 3.37 ST 0.25,03/31浜 7着2R 3.865 3.87 ST 0.18,03/30浜 7着4R 3.518 3.46 ST 0.11,03/29浜 8着6R 3.546 再3.48 ST 0.14,04/08飯 4着5R 3.444 3.36 ST 0.11,04/07飯 2着10R 3.418 3.36 ST 0.09,04/06飯 5着11R 3.445 3.38 ST 0.08,04/05飯 2着10R 3.445 3.36 ST 0.11,04/04飯 2着4R 3.476 3.37 ST 0.25,3,,60%,04/09飯 1着5R 3.719 3.63 ST 0.15,03/31浜 7着2R 3.865 3.87 ST 0.18,03/22飯 2着3R 3.737 3.65 ST 0.16,03/03山 3着6R 3.719 3.83 ST 0.06,02/14飯 4着1R 3.717 3.64 ST 0.14,3.4,,40%,04/10飯 ⑤着8R 3.468 3.42 ST 0.02,03/30浜 7着4R 3.518 3.46 ST 0.11,-,-,-,6,,,44,2,1,0.13,1/3 0/6,40.0%,40.0%,3.38,3.463,3.418 (飯),23.8%,15/63,63,66.7%,10/15,15,2,1,17,25,16,9.7%,23.9%,33.0%,-
iizuka,4,5,30,3.68,071,2連率 50.0 3連率 60.0,-,-,-,-,-,-,-,04/12山 1着7R 3.437 3.36 ST 0.10,04/11山 1着6R 3.463 3.38 ST 0.18,04/10山 8着7R 3.614 3.56 ST 0.11,04/09山 5着5R 3.457 3.39 ST 0.13,04/08山 2着10R 3.437 3.37 ST 0.13,03/31飯 7着8R 3.650 3.57 ST 0.15,03/31飯 4着2R 3.666 3.60 ST 0.13,03/30飯 3着8R 3.733 3.67 ST 0.10,03/29飯 2着7R 3.415 3.36 ST 0.05,03/28飯 2着3R 3.428 3.32 ST 0.10,04/12山 1着7R 3.437 3.36 ST 0.10,04/11山 1着6R 3.463 3.38 ST 0.18,04/08山 2着10R 3.437 3.37 ST 0.13,03/29飯 2着7R 3.415 3.36 ST 0.05,03/28飯 2着3R 3.428 3.32 ST 0.10,1.6,,100%,04/10山 8着7R 3.614 3.56 ST 0.11,03/31飯 4着2R 3.666 3.60 ST 0.13,03/30飯 3着8R 3.733 3.67 ST 0.10,03/03飯 4着3R 3.700 3.64 ST 0.21,03/02飯 4着5R 3.716 3.68 ST 0.16,4.6,,,04/09山 5着5R 3.457 3.39 ST 0.13,03/31飯 7着8R 3.650 3.57 ST 0.15,-,-,-,6,,,52,0,0,0.11,2/3 1/4,50.0%,60.0%,3.37,3.441,3.415 (飯),25.6%,20/78,78,33.3%,6/18,18,0,0,772,653,570,19.7%,36.4%,51.0%,-
iizuka,4,6,40,3.64,104,2連率 20.0 3連率 40.0,-,-,-,-,-,-,-,03/31飯 5着8R 3.540 3.48 ST 0.13,03/30飯 2着6R 3.736 3.64 ST 0.05,03/29飯 4着7R 3.418 3.30 ST 0.06,03/28飯 7着8R 3.418 3.31 ST 0.13,03/27飯 2着6R 3.405 3.29 ST 0.08,03/22浜 3着4R 3.416 3.33 ST 0.07,03/21浜 3着3R 3.421 3.33 ST 0.05,03/20浜 7着5R 3.452 3.37 ST 0.21,03/19浜 5着1R 3.444 3.34 ST 0.07,03/18浜 5着2R 3.431 3.35 ST 0.09,03/29飯 4着7R 3.418 3.30 ST 0.06,03/28飯 7着8R 3.418 3.31 ST 0.13,03/27飯 2着6R 3.405 3.29 ST 0.08,03/22浜 3着4R 3.416 3.33 ST 0.07,03/21浜 3着3R 3.421 3.33 ST 0.05,3.8,,20%,03/30飯 2着6R 3.736 3.64 ST 0.05,03/09飯 3着6R 3.728 3.66 ST 0.08,03/02飯 5着4R 3.728 3.63 ST 0.10,02/11山 2着2R 3.638 3.57 ST 0.11,02/10山 6着3R 3.635 3.35 ST 0.18,3.6,,40%,03/31飯 5着8R 3.540 3.48 ST 0.13,03/19浜 5着1R 3.444 3.34 ST 0.07,-,-,-,5,,,31,0,0,0.11,0/2 2/6,20.0%,40.0%,3.31,3.414,3.379 (飯),24.4%,10/41,41,40.0%,4/10,10,0,0,310,265,250,17.8%,33.1%,47.5%,-
iizuka,4,7,40,3.71,097,2連率 20.0 3連率 40.0,-,-,-,-,-,-,-,04/12山 7着1R 3.452 3.37 ST 0.01,04/11山 7着4R 3.478 3.39 ST 0.10,04/10山 7着7R 3.561 3.56 ST 0.07,04/09山 2着2R 3.683 3.62 ST 0.09,04/08山 8着1R 3.532 3.37 ST 0.11,03/31飯 2着4R 3.592 3.52 ST 0.06,03/30飯 3着4R 3.775 3.67 ST 0.02,03/29飯 3着1R 3.418 3.33 ST 0.07,03/28飯 5着3R F 3.437 3.33 ST 0.15,03/27飯 7着5R 3.441 3.33 ST 0.06,04/12山 7着1R 3.452 3.37 ST 0.01,04/11山 7着4R 3.478 3.39 ST 0.10,04/08山 8着1R 3.532 3.37 ST 0.11,03/29飯 3着1R 3.418 3.33 ST 0.07,03/28飯 5着3R F 3.437 3.33 ST 0.15,6,,,04/10山 7着7R 3.561 3.56 ST 0.07,04/09山 2着2R 3.683 3.62 ST 0.09,03/30飯 3着4R 3.775 3.67 ST 0.02,03/09飯 7着5R 3.978 3.44 ST 0.15,03/02飯 6着3R 3.818 3.68 ST 0.16,5,,20%,03/31飯 2着4R 3.592 3.52 ST 0.06,-,-,-,-,2,,100%,44,0,0,0.11,0/2 2/6,20.0%,40.0%,3.36,3.457,3.418 (飯),28.8%,17/59,59,16.7%,2/12,12,0,0,110,179,127,11.9%,31.4%,45.2%,-
iizuka,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
