レースID,日付,場所,レース名,距離,天候,気温,湿度,走路温度,走路状況,車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,良5_前1,良5_前2,良5_前4,良5_前5,良5_平順,良5_近況,良5_2連,湿5_前1,湿5_前2,湿5_前4,湿5_前5,湿5_平順,湿5_近況,湿5_2連,斑5_前1,斑5_前2,斑5_前4,斑5_前5,斑5_平順,斑5_近況,斑5_2連,90出走,90優出,90優勝,90平均ST,90_123着外,90_2連率,90_3連率,90良10平競,90良10平試,180良2連,180良連対回,180良出走,180湿2連,180湿連対回,180湿出走,今年優出,今年優勝,通算1着,通算2着,通算3着,今年単率,今年2連率,今年3連率,前日予想タイム,総合スコア,前日予想着順
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,1,早津　康介,16:43,16:45,10,-,84,"2連率
40.0
3連率
50.0",04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,04/08山 3着3R 3.418 3.35 ST 0.10,04/03山 ⑥着9R 3.406 3.31 ST 0.15,04/02山 1着4R 3.378 3.31 ST 0.19,04/01山 4着6R 3.683 3.58 ST 0.15,03/28川 7着10R 3.466 3.33 ST 0.07,03/27川 6着12R 3.430 3.34 ST 0.13,03/26川 2着10R 3.703 3.67 ST 0.05,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,10,084,2連率 40.0 3連率 50.0,04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,10,084,2連率 40.0 3連率 50.0,04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,10,084,2連率 40.0 3連率 50.0,04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,36,2,0.15,3/1 1/5,36,2,3.414,3.378 (山),早津　康介 バレンティア 川口 34期 26歳 1級 A-124,30.0%,15/50,50,13.3%,2/15,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,10,084,早津　康介 バレンティア 川口 34期 26歳 1級 A-124,10,04/11山 1着12R 3.389 3.33 ST 0.01,04/10山 1着6R 3.592 3.52 ST 0.13,04/09山 6着12R 3.690 3.65 ST 0.13,3.432,218.05,4
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,2,松尾　　彩,16:43,16:45,10,-,71,"2連率
60.0
3連率
60.0",04/11山 1着10R 3.402 3.36 ST 0.12,04/10山 1着12R 3.384 3.36 ST 0.07,04/09山 1着5R 3.418 3.34 ST 0.14,04/08山 6着4R 3.453 3.33 ST 0.08,04/03山 1着6R 3.415 3.35 ST 0.14,04/02山 1着1R 3.415 3.33 ST 0.34,04/01山 5着5R 3.693 3.63 ST 0.21,03/22浜 8着8R 3.434 3.32 ST 0.03,03/21浜 1着3R 3.408 3.36 ST 0.10,03/20浜 6着10R 3.435 3.36 ST 0.02,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,10,071,2連率 60.0 3連率 60.0,04/11山 1着10R 3.402 3.36 ST 0.12,04/10山 1着12R 3.384 3.36 ST 0.07,04/09山 1着5R 3.418 3.34 ST 0.14,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,10,071,2連率 60.0 3連率 60.0,04/11山 1着10R 3.402 3.36 ST 0.12,04/10山 1着12R 3.384 3.36 ST 0.07,04/09山 1着5R 3.418 3.34 ST 0.14,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,10,071,2連率 60.0 3連率 60.0,04/11山 1着10R 3.402 3.36 ST 0.12,04/10山 1着12R 3.384 3.36 ST 0.07,04/09山 1着5R 3.418 3.34 ST 0.14,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,35,0,0.15,6/0 0/4,35,0,3.421,3.384 (山),松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,22.2%,10/45,45,11.1%,1/9,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,10,071,松尾　　彩 ポラリス６ 山陽 34期 37歳 1級 A-91,10,04/11山 1着10R 3.402 3.36 ST 0.12,04/10山 1着12R 3.384 3.36 ST 0.07,04/09山 1着5R 3.418 3.34 ST 0.14,3.438,211.7,6
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,3,古城　龍之介,16:43,16:45,10,-,103,"2連率
50.0
3連率
60.0",04/11山 2着11R 3.405 3.32 ST 0.03,04/10山 4着9R 3.395 3.29 ST 0.09,04/09山 1着7R 3.375 3.27 ST 0.09,04/08山 4着4R 3.429 3.29 ST 0.15,03/31浜 ①着12R 3.686 3.65 ST 0.11,03/30浜 1着5R 3.399 3.31 ST 0.14,03/29浜 3着8R 3.448 3.34 ST 0.15,03/25伊 4着10R 3.732 3.50 ST 0.15,03/24伊 5着11R 3.409 3.30 ST 0.14,03/23伊 2着11R 3.418 3.31 ST 0.26,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,10,103,2連率 50.0 3連率 60.0,04/11山 2着11R 3.405 3.32 ST 0.03,04/10山 4着9R 3.395 3.29 ST 0.09,04/09山 1着7R 3.375 3.27 ST 0.09,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,10,103,2連率 50.0 3連率 60.0,04/11山 2着11R 3.405 3.32 ST 0.03,04/10山 4着9R 3.395 3.29 ST 0.09,04/09山 1着7R 3.375 3.27 ST 0.09,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,10,103,2連率 50.0 3連率 60.0,04/11山 2着11R 3.405 3.32 ST 0.03,04/10山 4着9R 3.395 3.29 ST 0.09,04/09山 1着7R 3.375 3.27 ST 0.09,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,38,5,0.16,3/2 1/4,38,5,3.403,3.361 (山),古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,64.7%,33/51,51,31.3%,5/16,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,10,103,古城　龍之介 オルトロス 山陽 34期 31歳 1級 A-51,10,04/11山 2着11R 3.405 3.32 ST 0.03,04/10山 4着9R 3.395 3.29 ST 0.09,04/09山 1着7R 3.375 3.27 ST 0.09,3.423,204.6,8
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,4,平田　雅崇,16:43,16:45,10,-,96,"2連率
80.0
3連率
80.0",04/11山 2着9R 3.434 3.34 ST 0.07,04/10山 2着11R 3.379 3.29 ST 0.12,04/09山 4着9R 3.673 3.60 ST 0.08,04/08山 2着4R 3.417 3.30 ST 0.08,04/03山 1着8R 3.378 3.32 ST 0.18,04/02山 2着6R 3.345 3.25 ST 0.19,04/01山 2着7R 3.602 3.52 ST 0.16,03/28川 ⑤着12R 3.410 3.30 ST 0.07,03/27川 2着10R 3.403 3.32 ST 0.17,03/26川 1着8R 3.736 3.69 ST 0.12,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,10,096,2連率 80.0 3連率 80.0,04/11山 2着9R 3.434 3.34 ST 0.07,04/10山 2着11R 3.379 3.29 ST 0.12,04/09山 4着9R 3.673 3.60 ST 0.08,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,10,096,2連率 80.0 3連率 80.0,04/11山 2着9R 3.434 3.34 ST 0.07,04/10山 2着11R 3.379 3.29 ST 0.12,04/09山 4着9R 3.673 3.60 ST 0.08,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,10,096,2連率 80.0 3連率 80.0,04/11山 2着9R 3.434 3.34 ST 0.07,04/10山 2着11R 3.379 3.29 ST 0.12,04/09山 4着9R 3.673 3.60 ST 0.08,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,43,5,0.12,2/6 0/2,43,5,3.406,3.345 (山),平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,58.2%,39/67,67,75.0%,6/8,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,10,096,平田　雅崇 Ｖトラノスケ 川口 29期 45歳 1級 S-14,10,04/11山 2着9R 3.434 3.34 ST 0.07,04/10山 2着11R 3.379 3.29 ST 0.12,04/09山 4着9R 3.673 3.60 ST 0.08,3.422,215.95,5
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,5,伊藤　信夫,16:43,16:45,10,-,89,"2連率
50.0
3連率
60.0",04/11山 2着10R 3.418 3.35 ST 0.16,04/10山 2着6R 3.580 3.52 ST 0.18,04/09山 8着9R 3.760 3.66 ST 0.21,04/08山 1着3R 3.397 3.34 ST 0.12,04/04伊 5着9R 3.522 3.43 ST 0.17,04/03伊 8着9R 3.465 3.36 ST 0.15,04/02伊 2着4R 3.424 3.33 ST 0.33,03/22浜 ⑧着12R F 3.405 3.28 ST 0.17,03/21浜 1着11R 3.377 3.30 ST 0.05,03/20浜 3着6R 3.419 3.34 ST 0.03,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,10,089,2連率 50.0 3連率 60.0,04/11山 2着10R 3.418 3.35 ST 0.16,04/10山 2着6R 3.580 3.52 ST 0.18,04/09山 8着9R 3.760 3.66 ST 0.21,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,10,089,2連率 50.0 3連率 60.0,04/11山 2着10R 3.418 3.35 ST 0.16,04/10山 2着6R 3.580 3.52 ST 0.18,04/09山 8着9R 3.760 3.66 ST 0.21,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,10,089,2連率 50.0 3連率 60.0,04/11山 2着10R 3.418 3.35 ST 0.16,04/10山 2着6R 3.580 3.52 ST 0.18,04/09山 8着9R 3.760 3.66 ST 0.21,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,35,5,0.14,2/3 1/4,35,5,3.399,3.377 (浜),伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,42.9%,18/42,42,40.0%,2/5,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,10,089,伊藤　信夫 ケスラー 浜松 24期 53歳 1級 S-21,10,04/11山 2着10R 3.418 3.35 ST 0.16,04/10山 2着6R 3.580 3.52 ST 0.18,04/09山 8着9R 3.760 3.66 ST 0.21,3.416,221.3,3
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,6,鈴木　宏和,16:43,16:45,10,-,90,"2連率
70.0
3連率
80.0",04/11山 2着12R 3.418 3.33 ST 0.10,04/10山 5着9R 3.408 3.36 ST 0.04,04/09山 5着10R 3.678 3.60 ST 0.12,04/08山 1着7R 3.401 3.30 ST 0.15,04/04伊 ③着12R 3.362 3.32 ST 0.06,04/03伊 1着10R 3.420 3.32 ST 0.07,04/02伊 1着8R 3.423 3.32 ST 0.32,03/31浜 ②着12R 3.692 3.61 ST 0.08,03/30浜 1着11R 3.392 3.29 ST 0.13,03/29浜 1着11R 3.401 3.30 ST 0.14,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,10,090,2連率 70.0 3連率 80.0,04/11山 2着12R 3.418 3.33 ST 0.10,04/10山 5着9R 3.408 3.36 ST 0.04,04/09山 5着10R 3.678 3.60 ST 0.12,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,10,090,2連率 70.0 3連率 80.0,04/11山 2着12R 3.418 3.33 ST 0.10,04/10山 5着9R 3.408 3.36 ST 0.04,04/09山 5着10R 3.678 3.60 ST 0.12,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,10,090,2連率 70.0 3連率 80.0,04/11山 2着12R 3.418 3.33 ST 0.10,04/10山 5着9R 3.408 3.36 ST 0.04,04/09山 5着10R 3.678 3.60 ST 0.12,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,45,8,0.09,5/2 1/2,45,8,3.4,3.368 (浜),鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,61.8%,34/55,55,25.0%,2/8,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,10,090,鈴木　宏和 ナアーモ 浜松 32期 39歳 1級 S-15,10,04/11山 2着12R 3.418 3.33 ST 0.10,04/10山 5着9R 3.408 3.36 ST 0.04,04/09山 5着10R 3.678 3.60 ST 0.12,3.412,210.25,7
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,7,長田　稚也,16:43,16:45,10,-,98,"2連率
66.7
3連率
77.8",04/11山 1着9R 3.412 3.33 ST 0.11,04/10山 3着12R 3.379 3.33 ST 0.10,04/09山 2着7R 3.394 3.30 ST 0.16,04/08山 5着5R 3.439 3.31 ST 0.09,03/31飯 2着6R 3.556 3.47 ST 0.15,03/31飯 2着1R 3.633 3.55 ST 0.16,03/30飯 7着8R 3.772 3.68 ST 0.13,03/29飯 不成立9R - 3.27 ST 0.08,03/28飯 1着8R 3.376 3.25 ST 0.21,03/27飯 1着9R 3.376 3.27 ST 0.13,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,10,098,2連率 66.7 3連率 77.8,04/11山 1着9R 3.412 3.33 ST 0.11,04/10山 3着12R 3.379 3.33 ST 0.10,04/09山 2着7R 3.394 3.30 ST 0.16,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,10,098,2連率 66.7 3連率 77.8,04/11山 1着9R 3.412 3.33 ST 0.11,04/10山 3着12R 3.379 3.33 ST 0.10,04/09山 2着7R 3.394 3.30 ST 0.16,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,10,098,2連率 66.7 3連率 77.8,04/11山 1着9R 3.412 3.33 ST 0.11,04/10山 3着12R 3.379 3.33 ST 0.10,04/09山 2着7R 3.394 3.30 ST 0.16,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,37,7,0.14,3/3 1/2,37,7,3.398,3.371 (浜),長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,69.4%,43/62,62,30.0%,3/10,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,10,098,長田　稚也 ロシナンテ 飯塚 34期 25歳 1級 S-8,10,04/11山 1着9R 3.412 3.33 ST 0.11,04/10山 3着12R 3.379 3.33 ST 0.10,04/09山 2着7R 3.394 3.30 ST 0.16,3.416,224.35,2
20260412_sanyou_12,2026-04-12,sanyou,-,-,-,-,-,-,-,8,鈴木　圭一郎,16:43,16:45,10,-,101,"2連率
80.0
3連率
90.0",04/11山 1着11R 3.383 3.29 ST 0.11,04/10山 4着11R 3.383 3.28 ST 0.16,04/09山 3着12R 3.643 3.56 ST 0.10,04/08山 1着11R 3.397 3.31 ST 0.15,04/04伊 ②着12R 3.356 3.32 ST 0.08,04/03伊 1着11R 3.403 3.28 ST 0.09,04/02伊 1着9R 3.399 3.32 ST 0.12,03/22浜 1着8R 3.373 3.28 ST 0.11,03/21浜 1着8R 3.418 3.31 ST 0.09,03/20浜 1着4R 3.428 3.32 ST 0.10,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,10,101,2連率 80.0 3連率 90.0,04/11山 1着11R 3.383 3.29 ST 0.11,04/10山 4着11R 3.383 3.28 ST 0.16,04/09山 3着12R 3.643 3.56 ST 0.10,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,10,101,2連率 80.0 3連率 90.0,04/11山 1着11R 3.383 3.29 ST 0.11,04/10山 4着11R 3.383 3.28 ST 0.16,04/09山 3着12R 3.643 3.56 ST 0.10,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,10,101,2連率 80.0 3連率 90.0,04/11山 1着11R 3.383 3.29 ST 0.11,04/10山 4着11R 3.383 3.28 ST 0.16,04/09山 3着12R 3.643 3.56 ST 0.10,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,30,5,0.11,7/1 1/1,30,5,3.391,3.353 (川),鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,66.7%,30/45,45,25.0%,1/4,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,10,101,鈴木　圭一郎 カルマＳ５Ｋ 浜松 32期 31歳 1級 S-3,10,04/11山 1着11R 3.383 3.29 ST 0.11,04/10山 4着11R 3.383 3.28 ST 0.16,04/09山 3着12R 3.643 3.56 ST 0.10,3.406,229.2,1
