車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,中村　翔汰,"投票締切
16:40",16:42,0,-,061,"2連率
10.0
3連率
10.0",04/04飯 5着6R 3.600 3.50 ST 0.16,03/15飯 7着4R 3.565 3.53 ST 0.09,03/14飯 7着2R 3.584 3.52 ST 0.10,03/13飯 7着3R 3.587 再3.55 ST 0.16,02/26川 7着3R 3.642 3.60 ST 0.13,02/25川 7着7R 4.090 再4.04 ST 0.06,02/24川 7着3R 3.610 3.49 ST 0.12,01/31飯 7着8R 3.519 3.44 ST 0.09,01/30飯 2着6R 3.487 3.45 ST 0.14,01/29飯 8着5R 3.523 3.44 ST 0.15,03/15飯 7着4R 3.565 3.53 ST 0.09,03/14飯 7着2R 3.584 3.52 ST 0.10,03/13飯 7着3R 3.587 再3.55 ST 0.16,02/24川 7着3R 3.610 3.49 ST 0.12,01/31飯 7着8R 3.519 3.44 ST 0.09,7,-,-,02/25川 7着7R 4.090 再4.04 ST 0.06,-,-,-,-,7,-,-,04/04飯 5着6R 3.600 3.50 ST 0.16,02/26川 7着3R 3.642 3.60 ST 0.13,-,-,-,6,-,-,14,0,0,0.13,0/1 0/9,10.0%,10.0%,3.49,3.551,3.487 (飯),18.2%,2/11,11,0.0%,0/1,1,0,0,0,1,1,0,7.1%,14.3%,14.3%
2,原　菊太郎,"投票締切
16:40",16:42,30,-,064,"2連率
0.0
3連率
0.0",04/04飯 8着10R 3.555 3.49 ST 0.17,03/31浜 5着1R 3.917 3.83 ST 0.32,03/30浜 7着6R 3.514 3.43 ST 0.23,03/29浜 8着9R 3.565 3.51 ST 0.35,03/26山 6着2R 3.555 3.47 ST 0.16,03/25山 4着5R 3.687 3.69 ST 0.14,03/24山 6着3R 3.500 3.39 ST 0.31,03/23山 6着3R 3.510 3.43 ST 0.24,03/18山 5着2R 3.916 3.91 ST 0.33,03/17山 4着2R 3.494 3.43 ST 0.13,04/04飯 8着10R 3.555 3.49 ST 0.17,03/30浜 7着6R 3.514 3.43 ST 0.23,03/29浜 8着9R 3.565 3.51 ST 0.35,03/26山 6着2R 3.555 3.47 ST 0.16,03/24山 6着3R 3.500 3.39 ST 0.31,7,-,-,03/31浜 5着1R 3.917 3.83 ST 0.32,03/25山 4着5R 3.687 3.69 ST 0.14,03/18山 5着2R 3.916 3.91 ST 0.33,03/06山 6着3R 3.832 3.70 ST 0.27,03/03山 2着5R 3.800 3.51 ST 0.33,4.4,-,20%,-,-,-,-,-,-,-,-,33,0,0,0.23,0/0 0/10,0.0%,0.0%,3.46,3.524,3.494 (山),0.0%,0/46,46,8.3%,1/12,12,0,0,8,466,593,551,9.0%,20.4%,31.1%
3,城戸　　徹,"投票締切
16:40",16:42,30,-,111,"2連率
0.0
3連率
0.0",04/04飯 7着7R 3.581 3.59 ST 0.20,03/28川 8着5R 3.535 3.43 ST 0.09,03/27川 8着6R 3.613 3.47 ST 0.19,03/26川 7着7R 3.900 3.86 ST 0.08,03/22飯 7着4R 3.848 3.73 ST 0.18,03/21飯 7着3R 3.594 3.41 ST 0.25,03/20飯 7着3R 3.558 3.44 ST 0.17,03/19飯 7着4R 3.558 3.44 ST 0.28,03/15飯 5着8R 3.481 3.40 ST 0.15,03/14飯 5着5R 3.510 3.42 ST 0.15,03/28川 8着5R 3.535 3.43 ST 0.09,03/27川 8着6R 3.613 3.47 ST 0.19,03/21飯 7着3R 3.594 3.41 ST 0.25,03/20飯 7着3R 3.558 3.44 ST 0.17,03/19飯 7着4R 3.558 3.44 ST 0.28,7.4,-,-,03/26川 7着7R 3.900 3.86 ST 0.08,03/22飯 7着4R 3.848 3.73 ST 0.18,-,-,-,7,-,-,04/04飯 7着7R 3.581 3.59 ST 0.20,-,-,-,-,7,-,-,24,0,0,0.17,0/0 0/10,0.0%,0.0%,3.43,3.541,3.481 (飯),0.0%,0/35,35,0.0%,0/7,7,0,0,1,213,194,202,8.8%,16.7%,25.0%
4,石橋　　大,"投票締切
16:40",16:42,30,-,094,"2連率
10.0
3連率
20.0",04/04飯 6着5R 3.508 3.43 ST 0.18,03/26山 5着5R 3.508 3.39 ST 0.11,03/25山 5着2R 3.733 3.65 ST 0.06,03/24山 5着3R 3.494 3.41 ST 0.06,03/23山 6着8R 3.481 3.37 ST 0.13,03/23山 2着1R 3.458 3.38 ST 0.14,03/18山 4着4R 3.878 3.79 ST 0.15,03/17山 3着1R 3.479 3.37 ST 0.08,03/16山 5着2R 3.481 3.39 ST 0.09,03/12山 4着5R 3.478 3.38 ST 0.09,03/26山 5着5R 3.508 3.39 ST 0.11,03/24山 5着3R 3.494 3.41 ST 0.06,03/23山 6着8R 3.481 3.37 ST 0.13,03/23山 2着1R 3.458 3.38 ST 0.14,03/17山 3着1R 3.479 3.37 ST 0.08,4.2,-,20%,03/25山 5着2R 3.733 3.65 ST 0.06,03/18山 4着4R 3.878 3.79 ST 0.15,03/06山 5着7R 3.703 3.60 ST 0.10,03/03山 5着8R 3.732 3.66 ST 0.05,03/02山 7着8R 3.797 3.73 ST 0.08,5.2,-,-,04/04飯 6着5R 3.508 3.43 ST 0.18,-,-,-,-,6,-,-,35,0,0,0.12,0/1 1/8,10.0%,20.0%,3.38,3.474,3.439 (山),12.8%,6/47,47,11.1%,1/9,9,0,0,1,211,281,354,8.7%,20.2%,34.8%
5,滝谷　　圭,"投票締切
16:40",16:42,50,-,102,"2連率
20.0
3連率
40.0",04/04飯 7着10R 3.471 3.40 ST 0.27,03/28川 8着1R 3.503 3.38 ST 0.12,03/27川 3着4R 3.470 3.34 ST 0.19,03/26川 8着12R 3.715 3.66 ST 0.28,03/18山 3着4R 3.780 3.77 ST 0.30,03/17山 4着8R 3.415 3.33 ST 0.11,03/16山 4着3R 3.452 3.34 ST 0.15,03/12山 1着4R 3.404 3.32 ST 0.14,03/11山 1着3R 3.410 3.32 ST 0.11,03/10山 6着7R 3.462 3.33 ST 0.10,04/04飯 7着10R 3.471 3.40 ST 0.27,03/27川 3着4R 3.470 3.34 ST 0.19,03/17山 4着8R 3.415 3.33 ST 0.11,03/16山 4着3R 3.452 3.34 ST 0.15,03/12山 1着4R 3.404 3.32 ST 0.14,3.8,-,20%,03/26川 8着12R 3.715 3.66 ST 0.28,03/18山 3着4R 3.780 3.77 ST 0.30,03/06山 ⑤着9R 3.650 3.58 ST 0.10,03/03山 3着5R 3.794 3.39 ST 0.27,03/02山 7着2R 3.968 3.77 ST 0.19,5.2,-,-,03/28川 8着1R 3.503 3.38 ST 0.12,-,-,-,-,8,-,-,34,2,0,0.17,2/0 2/6,20.0%,40.0%,3.34,3.442,3.397 (山),41.2%,21/51,51,0.0%,0/8,8,2,0,0,33,12,26,15.3%,20.8%,32.9%
6,新村　嘉之,"投票締切
16:40",16:42,50,-,064,"2連率
40.0
3連率
40.0",04/04飯 2着7R 3.458 3.58 ST 0.14,03/31飯 6着3R 3.681 3.61 ST 0.25,03/30飯 5着5R 3.816 3.71 ST 0.33,03/29飯 6着6R 3.435 3.35 ST 0.20,03/28飯 2着2R 3.403 3.35 ST 0.17,03/27飯 5着2R 3.432 3.36 ST 0.20,03/22飯 ⑦着8R 3.800 3.68 ST 0.31,03/21飯 1着6R 3.389 3.35 ST 0.20,03/20飯 1着3R 3.401 3.35 ST 0.15,03/19飯 6着7R 3.439 3.38 ST 0.34,03/29飯 6着6R 3.435 3.35 ST 0.20,03/28飯 2着2R 3.403 3.35 ST 0.17,03/27飯 5着2R 3.432 3.36 ST 0.20,03/21飯 1着6R 3.389 3.35 ST 0.20,03/20飯 1着3R 3.401 3.35 ST 0.15,3,-,60%,03/31飯 6着3R 3.681 3.61 ST 0.25,03/30飯 5着5R 3.816 3.71 ST 0.33,03/22飯 ⑦着8R 3.800 3.68 ST 0.31,03/03飯 6着5R 3.696 3.60 ST 0.32,03/02飯 5着5R 3.766 3.72 ST 0.19,5.8,-,-,04/04飯 2着7R 3.458 3.58 ST 0.14,-,-,-,-,2,-,100%,50,1,0,0.23,2/2 0/6,40.0%,40.0%,3.37,3.434,3.389 (飯),12.3%,8/65,65,5.3%,1/19,19,1,0,10,337,267,268,13.7%,24.6%,35.5%
7,高橋　絵莉子,"投票締切
16:40",16:42,60,-,097,"2連率
0.0
3連率
30.0",04/04飯 8着12R 3.471 3.36 ST 0.20,03/25伊 反妨10R - 3.53 ST 0.18,03/24伊 6着9R 3.454 3.37 ST 0.12,03/23伊 3着6R 3.447 3.38 ST 0.11,03/17伊 3着3R 3.463 3.36 ST 0.16,03/16伊 4着3R 3.475 3.35 ST 0.23,03/15伊 5着3R 3.454 3.35 ST 0.16,03/08川 7着8R 3.457 3.34 ST 0.14,03/07川 6着6R 3.444 3.38 ST 0.12,03/06川 3着11R 3.403 3.34 ST 0.16,04/04飯 8着12R 3.471 3.36 ST 0.20,03/24伊 6着9R 3.454 3.37 ST 0.12,03/23伊 3着6R 3.447 3.38 ST 0.11,03/17伊 3着3R 3.463 3.36 ST 0.16,03/16伊 4着3R 3.475 3.35 ST 0.23,4.8,-,-,02/25伊 3着1R 3.706 3.60 ST 0.19,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,31,1,1,0.15,0/0 3/6,0.0%,30.0%,3.35,3.447,3.403 (川),35.6%,16/45,45,20.0%,1/5,5,1,1,2,139,111,100,15.4%,27.7%,38.7%
8,阿部　仁志,"投票締切
16:40",16:42,60,-,099,"2連率
40.0
3連率
50.0",04/04飯 2着2R 3.461 3.35 ST 0.15,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,03/27飯 5着4R 3.408 3.30 ST 0.12,03/22飯 ②着8R 3.733 3.64 ST 0.09,03/21飯 1着5R 3.415 3.31 ST 0.12,03/20飯 5着8R 3.436 3.32 ST 0.13,03/19飯 3着2R 3.422 3.30 ST 0.21,04/04飯 2着2R 3.461 3.35 ST 0.15,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,03/27飯 5着4R 3.408 3.30 ST 0.12,03/21飯 1着5R 3.415 3.31 ST 0.12,3,-,60%,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/22飯 ②着8R 3.733 3.64 ST 0.09,02/02飯 3着5R 3.651 3.61 ST 0.01,-,4,-,25%,-,-,-,-,-,-,-,-,44,2,0,0.12,1/3 1/5,40.0%,50.0%,3.32,3.419,3.393 (飯),38.2%,29/76,76,23.1%,3/13,13,2,0,0,396,417,484,14.0%,28.7%,45.8%
