車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,井上　智詞,"投票締切
20:17",20:19,0,-,84,"2連率
40.0
3連率
40.0",04/07飯 ⑥着12R 3.458 3.36 ST 0.21,04/06飯 2着10R 3.474 3.39 ST 0.24,04/05飯 1着7R 3.477 3.40 ST 0.14,04/04飯 5着8R 3.484 再3.48 ST 0.15,03/31浜 2着3R 3.785 3.77 ST 0.30,03/30浜 6着7R 3.519 3.42 ST 0.22,03/29浜 5着8R 3.514 3.44 ST 0.17,03/22飯 1着1R 3.765 3.71 ST 0.11,03/21飯 5着2R 3.494 3.40 ST 0.17,03/20飯 5着4R 3.468 3.40 ST 0.22,4,-,40%,2.8,-,60%,5,-,-,0.19,3.484,3.40,16.7%,35.7%,2,20.4%,3.489,126.09,7
2,佳元　光義,"投票締切
20:17",20:19,0,-,89,"2連率
30.0
3連率
30.0",04/07飯 1着3R 3.459 3.37 ST 0.09,04/06飯 2着4R 3.460 3.39 ST 0.23,04/05飯 5着8R 3.476 3.35 ST 0.08,04/04飯 7着6R 3.564 3.39 ST 0.21,03/28川 8着8R 3.518 3.41 ST 0.19,03/27川 4着4R 3.487 3.38 ST 0.21,03/26川 5着3R 3.913 3.82 ST 0.08,03/22飯 4着6R 3.768 3.70 ST 0.19,03/21飯 6着7R 3.465 3.36 ST 0.19,03/20飯 2着6R 3.423 3.35 ST 0.14,4,-,40%,5.6,-,-,7,-,-,0.15,3.469,3.38,43.1%,0.0%,2,24.3%,3.47,174.84,3
3,水本　竜二,"投票締切
20:17",20:19,10,-,66,"2連率
30.0
3連率
50.0",04/07飯 1着6R 3.449 3.38 ST 0.34,04/06飯 3着5R 3.476 3.37 ST 0.21,04/05飯 7着8R 3.474 3.40 ST 0.23,04/04飯 3着8R 3.449 3.45 ST 0.21,03/28川 5着2R 3.458 3.43 ST 0.16,03/27川 4着8R 3.481 3.39 ST 0.09,03/26川 5着5R 3.853 3.79 ST 0.15,03/22飯 2着4R 3.750 3.72 ST 0.08,03/21飯 7着8R 3.465 3.40 ST 0.19,03/20飯 1着7R 3.423 3.38 ST 0.08,4.4,-,20%,3,-,40%,4,-,-,0.17,3.456,3.39,27.1%,38.5%,1,24.0%,3.47,169.99,5
4,赤堀　　翼,"投票締切
20:17",20:19,10,-,81,"2連率
40.0
3連率
80.0",04/07飯 3着10R 3.420 3.34 ST 0.22,04/06飯 6着10R 3.462 3.36 ST 0.11,04/05飯 1着10R 3.418 3.34 ST 0.12,04/04飯 3着3R 3.466 3.40 ST 0.15,03/31浜 5着9R 3.748 3.72 ST 0.13,03/31浜 3着3R 3.770 3.74 ST 0.19,03/30浜 1着8R 3.435 3.36 ST 0.10,03/29浜 3着11R 3.455 3.35 ST 0.16,03/26山 ①着9R 3.394 3.34 ST 0.09,03/25山 2着9R 3.600 3.55 ST 0.16,2.8,-,40%,3,-,40%,-,-,-,0.15,3.431,3.35,27.5%,33.3%,2,24.5%,3.444,171.24,4
5,中尾　貴志,"投票締切
20:17",20:19,20,-,92,"2連率
40.0
3連率
50.0",04/07飯 1着1R 3.444 3.36 ST 0.16,04/06飯 2着8R 3.443 3.37 ST 0.18,04/05飯 6着12R 3.441 3.35 ST 0.12,04/04飯 4着8R 3.444 3.40 ST 0.17,04/04飯 6着2R 3.486 3.37 ST 0.19,03/31飯 3着1R 3.640 3.58 ST 0.13,03/30飯 2着2R 3.778 3.70 ST 0.13,03/29飯 6着8R 3.437 3.36 ST 0.16,03/28飯 2着5R 3.402 3.35 ST 0.11,03/27飯 7着2R 3.450 3.34 ST 0.10,4.2,-,40%,2.8,-,50%,4,-,-,0.14,3.442,3.35,12.9%,54.5%,8,27.2%,3.466,178.69,1
6,丹村　　司,"投票締切
20:17",20:19,20,-,102,"2連率
10.0
3連率
30.0",04/07飯 3着4R 3.446 3.33 ST 0.27,04/06飯 6着2R 3.475 3.36 ST 0.24,04/05飯 6着9R 3.439 3.35 ST 0.09,04/04飯 5着5R 3.446 3.39 ST 0.29,03/31飯 7着5R 3.749 3.65 ST 0.25,03/22飯 6着4R 3.790 3.69 ST 0.26,03/21飯 1着3R 3.408 3.31 ST 0.17,03/20飯 4着4R 3.424 3.33 ST 0.24,03/19飯 6着5R 3.448 3.36 ST 0.35,03/15飯 3着3R 3.450 3.35 ST 0.24,4,-,20%,6,-,-,6,-,-,0.24,3.432,3.33,22.0%,0.0%,9,24.3%,3.467,148.19,6
7,井村　淳一,"投票締切
20:17",20:19,30,-,116,"2連率
50.0
3連率
50.0",04/07飯 1着8R 3.432 3.31 ST 0.27,04/06飯 1着7R 3.430 3.31 ST 0.22,04/05飯 8着12R 3.449 3.30 ST 0.25,04/04飯 2着9R 3.417 3.31 ST 0.23,04/04飯 2着3R 3.441 3.34 ST 0.39,03/31飯 1着2R 3.637 3.61 ST 0.13,03/30飯 5着6R 3.762 3.72 ST 0.19,03/29飯 4着8R 3.412 3.31 ST 0.21,03/28飯 4着3R 3.434 3.35 ST 0.25,03/27飯 5着7R 3.421 3.31 ST 0.12,2.8,-,80%,4.4,-,40%,-,-,-,0.24,3.426,3.31,25.8%,33.3%,10,30.1%,3.474,176.49,2
