車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5平順,good5近況,good52連率,wet5平順,wet5近況,wet52連率,han5平順,han5近況,han52連率,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前一順,前一競走T,前一試走,前一ST,前二順,前二競走T,前二試走,前二ST,前三順,前三競走T,前三試走,前三ST,前日予想タイム,総合スコア,前日予想着順
1,九門　結衣,"投票締切
19:38",19:40,0,-,81,"2連率
0.0
3連率
0.0",04/11川 7着1R 3.581 3.48 ST 0.20,04/07川 7着4R 3.974 3.83 ST 0.11,04/06川 8着8R 3.623 3.56 ST 0.12,04/05川 7着3R 3.677 3.56 ST 0.19,03/27川 欠責5R - 0.00 -,03/26川 8着1R 4.068 3.91 ST 0.20,03/14浜 7着3R 3.619 3.55 ST 0.24,03/13浜 7着6R 3.626 3.56 ST 0.19,03/12浜 7着7R 3.690 再3.60 ST 0.21,02/26川 7着1R 3.723 3.62 ST 0.13,7.3,-,-,7.3,-,-,7,-,-,0.16,3.611,3.53,0.0%,0.0%,0,0.0%,07,3.581,3.48,0.20,07,3.974,3.83,0.11,08,3.623,3.56,0.12,3.616,-15.62,7
2,塚本　浩司,"投票締切
19:38",19:40,40,-,96,"2連率
10.0
3連率
10.0",04/11川 5着6R 3.518 3.42 ST 0.17,04/07川 5着5R 3.833 3.83 ST 0.18,04/06川 6着1R 3.526 3.42 ST 0.19,04/05川 7着8R 3.545 3.42 ST 0.14,03/28川 4着9R 3.489 3.41 ST 0.08,03/27川 8着9R 3.519 3.44 ST 0.05,03/26川 1着5R 3.868 3.81 ST 0.24,03/11伊 8着4R 3.548 再3.47 ST 0.25,03/10伊 8着4R 3.534 3.43 ST 0.15,03/09伊 8着11R 3.548 3.44 ST 0.21,6,-,-,3,-,25%,-,-,-,0.18,3.516,3.42,2.7%,28.6%,4,20.6%,05,3.518,3.42,0.17,05,3.833,3.83,0.18,06,3.526,3.42,0.19,3.571,28.63,5
3,縫田　雅一,"投票締切
19:38",19:40,40,-,91,"2連率
0.0
3連率
0.0",04/11川 7着2R 3.594 3.43 ST 0.11,04/07川 7着1R 3.884 3.45 ST 0.12,04/06川 5着5R 3.514 3.44 ST 0.06,04/05川 7着9R 3.510 3.43 ST 0.12,03/28川 5着5R 3.503 3.40 ST 0.14,03/27川 4着1R 3.487 3.42 ST 0.15,03/26川 8着7R 3.965 3.90 ST 0.18,03/18山 5着3R 3.994 3.95 ST 0.35,03/17山 4着3R 3.490 3.41 ST 0.26,03/16山 6着3R 3.577 3.45 ST 0.17,5.6,-,-,6.8,-,-,-,-,-,0.17,3.521,3.43,21.4%,0.0%,2,21.8%,07,3.594,3.43,0.11,07,3.884,3.45,0.12,05,3.514,3.44,0.06,3.575,24.88,6
4,高橋　祐一,"投票締切
19:38",19:40,40,-,99,"2連率
10.0
3連率
30.0",04/11川 5着3R 3.477 3.38 ST 0.12,04/07川 2着1R 3.803 3.39 ST 0.10,04/06川 4着7R 3.494 3.39 ST 0.12,04/05川 4着2R 3.468 3.38 ST 0.10,03/28川 3着3R 3.474 3.39 ST 0.07,03/27川 5着5R 3.497 3.41 ST 0.19,03/26川 3着6R 3.887 3.80 ST 0.15,03/17伊 5着4R 3.529 3.38 ST 0.06,03/16伊 5着6R 3.516 3.44 ST 0.11,03/15伊 4着4R 3.513 3.43 ST 0.20,4.2,-,-,3.3,-,33.3%,-,-,-,0.15,3.489,3.39,11.6%,16.7%,8,22.8%,05,3.477,3.38,0.12,02,3.803,3.39,0.10,04,3.494,3.39,0.12,3.542,73.48,4
5,平川　博康,"投票締切
19:38",19:40,60,-,87,"2連率
30.0
3連率
30.0",04/11川 5着4R 3.471 3.35 ST 0.11,04/07川 5着2R 3.902 3.64 ST 0.11,04/06川 1着4R 3.455 3.38 ST 0.05,04/05川 4着12R 3.442 3.36 ST 0.11,03/31飯 7着2R 3.794 3.70 ST 0.16,03/30飯 7着4R 3.835 3.73 ST 0.17,03/29飯 1着1R 3.416 3.35 ST 0.14,03/28飯 6着4R 3.442 3.37 ST 0.15,03/27飯 4着1R 3.416 3.35 ST 0.11,03/14浜 1着4R 3.449 3.34 ST 0.08,3.4,-,40%,6.5,-,-,-,-,-,0.12,3.447,3.36,38.2%,0.0%,2,23.3%,05,3.471,3.35,0.11,05,3.902,3.64,0.11,01,3.455,3.38,0.05,3.52,80.08,2
6,篠崎　　実,"投票締切
19:38",19:40,70,-,88,"2連率
40.0
3連率
60.0",04/11川 4着5R 3.435 3.34 ST 0.21,04/07川 2着5R 3.723 3.75 ST 0.24,04/06川 3着7R 3.457 3.35 ST 0.20,04/05川 5着5R 3.459 3.37 ST 0.27,03/28川 2着11R 3.432 3.38 ST 0.08,03/27川 3着9R 3.438 3.36 ST 0.27,03/26川 2着6R 3.843 3.73 ST 0.16,03/08川 落妨6R - 3.38 ST 0.06,03/07川 4着4R 3.453 3.36 ST 0.14,03/06川 2着11R 3.400 3.32 ST 0.21,3.4,-,20%,3,-,66.7%,-,-,-,0.18,3.438,3.35,22.4%,28.6%,117,38.9%,04,3.435,3.34,0.21,02,3.723,3.75,0.24,03,3.457,3.35,0.20,3.529,93.53,1
7,間中　大輔,"投票締切
19:38",19:40,70,-,89,"2連率
20.0
3連率
20.0",04/11川 5着7R 3.441 3.36 ST 0.16,04/06川 5着7R 3.463 3.37 ST 0.15,04/05川 5着3R 3.438 3.37 ST 0.04,03/22飯 5着3R 3.760 3.66 ST 0.11,03/21飯 2着3R 3.441 3.32 ST 0.06,03/20飯 7着6R 3.478 3.38 ST 0.11,03/19飯 1着8R 3.412 3.30 ST 0.14,03/19飯 6着1R 3.422 3.35 ST 0.12,03/08川 5着7R 3.441 3.35 ST 0.05,03/07川 7着7R 3.453 3.35 ST 0.10,4.8,-,20%,4.4,-,40%,-,-,-,0.12,3.439,3.35,23.8%,28.6%,6,25.3%,05,3.441,3.36,0.16,05,3.463,3.37,0.15,05,3.438,3.37,0.04,3.524,75.98,3
