車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前8走,前9走,前10走,good5前1走,good5前2走,good5前3走,good5前4走,good5前5走,good5平順,good5近況,good52連率,wet5前1走,wet5前2走,wet5前3走,wet5前4走,wet5前5走,wet5平順,wet5近況,wet52連率,han5前1走,han5前2走,han5前3走,han5前4走,han5前5走,han5平順,han5近況,han52連率,90出走,90優出,90優勝,90平均ST,90近10_着外,90近10_2連,90近10_3連,90良10平試,90良10平競,90良10最競,180良2連,180良連対,180良出走,180湿2連,180湿連対,180湿出走,今年優出,今年優勝,通算優勝,通算1着,通算2着,通算3着,通算単率,通算2連,通算3連
1,壷井　亜羅汰,"投票締切
19:35",19:37,0,-,099,"2連率
20.0
3連率
30.0",04/04飯 2着4R 3.476 3.37 ST 0.25,03/31浜 7着2R 3.865 3.87 ST 0.18,03/30浜 7着4R 3.518 3.46 ST 0.11,03/29浜 8着6R 3.546 再3.48 ST 0.14,03/22飯 2着3R 3.737 3.65 ST 0.16,03/21飯 7着2R 3.481 3.36 ST 0.14,03/20飯 3着3R 3.449 3.38 ST 0.15,03/19飯 7着2R 3.458 3.34 ST 0.16,03/15飯 6着5R 3.471 3.37 ST 0.09,03/14飯 5着6R 3.474 3.40 ST 0.17,04/04飯 2着4R 3.476 3.37 ST 0.25,03/29浜 8着6R 3.546 再3.48 ST 0.14,03/21飯 7着2R 3.481 3.36 ST 0.14,03/20飯 3着3R 3.449 3.38 ST 0.15,03/19飯 7着2R 3.458 3.34 ST 0.16,5.4,-,20%,03/31浜 7着2R 3.865 3.87 ST 0.18,03/22飯 2着3R 3.737 3.65 ST 0.16,03/03山 3着6R 3.719 3.83 ST 0.06,02/14飯 4着1R 3.717 3.64 ST 0.14,02/10飯 ①着8R 3.681 3.60 ST 0.11,3.4,-,40%,03/30浜 7着4R 3.518 3.46 ST 0.11,-,-,-,-,7,-,-,44,1,1,0.14,0/2 1/7,20.0%,30.0%,3.38,3.479,3.448 (飯),21.3%,13/61,61,64.3%,9/14,14,1,1,1,16,23,16,9.4%,22.9%,32.4%
2,青山　文敏,"投票締切
19:35",19:37,10,-,073,"2連率
30.0
3連率
80.0",04/04飯 1着2R 3.468 3.37 ST 0.33,03/31飯 3着6R 3.584 3.54 ST 0.16,03/30飯 5着1R 3.800 3.75 ST 0.21,03/29飯 1着3R 3.452 3.36 ST 0.22,03/28飯 4着1R 3.429 3.38 ST 0.14,03/27飯 3着5R 3.442 3.36 ST 0.15,03/22飯 ③着8R 3.781 3.71 ST 0.17,03/21飯 2着8R 3.432 3.34 ST 0.19,03/20飯 3着6R 3.412 3.32 ST 0.21,03/19飯 3着5R 3.406 3.35 ST 0.11,04/04飯 1着2R 3.468 3.37 ST 0.33,03/29飯 1着3R 3.452 3.36 ST 0.22,03/28飯 4着1R 3.429 3.38 ST 0.14,03/27飯 3着5R 3.442 3.36 ST 0.15,03/21飯 2着8R 3.432 3.34 ST 0.19,2.2,-,60%,03/30飯 5着1R 3.800 3.75 ST 0.21,03/22飯 ③着8R 3.781 3.71 ST 0.17,03/03飯 5着7R 3.687 3.62 ST 0.17,03/02飯 4着7R 3.739 3.68 ST 0.21,03/02飯 2着2R 3.760 3.70 ST 0.24,3.8,-,20%,03/31飯 3着6R 3.584 3.54 ST 0.16,-,-,-,-,3,-,-,47,1,0,0.17,2/1 5/2,30.0%,80.0%,3.36,3.433,3.406 (飯),20.3%,13/64,64,18.8%,3/16,16,1,0,12,773,1019,975,13.0%,30.1%,46.5%
3,赤堀　　翼,"投票締切
19:35",19:37,10,-,078,"2連率
50.0
3連率
90.0",04/04飯 3着3R 3.466 3.40 ST 0.15,03/31浜 5着9R 3.748 3.72 ST 0.13,03/31浜 3着3R 3.770 3.74 ST 0.19,03/30浜 1着8R 3.435 3.36 ST 0.10,03/29浜 3着11R 3.455 3.35 ST 0.16,03/26山 ①着9R 3.394 3.34 ST 0.09,03/25山 2着9R 3.600 3.55 ST 0.16,03/24山 2着7R 3.415 3.32 ST 0.13,03/24山 1着1R 3.403 3.36 ST 0.10,03/23山 3着4R 3.439 3.37 ST 0.09,04/04飯 3着3R 3.466 3.40 ST 0.15,03/30浜 1着8R 3.435 3.36 ST 0.10,03/29浜 3着11R 3.455 3.35 ST 0.16,03/26山 ①着9R 3.394 3.34 ST 0.09,03/24山 2着7R 3.415 3.32 ST 0.13,2,-,60%,03/31浜 5着9R 3.748 3.72 ST 0.13,03/31浜 3着3R 3.770 3.74 ST 0.19,03/25山 2着9R 3.600 3.55 ST 0.16,03/03浜 1着3R 3.731 3.65 ST 0.09,02/09山 4着1R 3.677 3.66 ST 0.16,3,-,40%,-,-,-,-,-,-,-,-,39,1,1,0.15,3/2 4/1,50.0%,90.0%,3.36,3.438,3.394 (山),27.1%,13/48,48,33.3%,3/9,9,1,1,2,240,219,212,12.8%,24.5%,35.7%
4,内山　雄介,"投票締切
19:35",19:37,20,-,089,"2連率
30.0
3連率
40.0",04/04飯 4着3R 3.462 3.37 ST 0.15,03/31飯 1着6R 3.547 3.48 ST 0.06,03/30飯 4着3R 3.759 3.70 ST 0.11,03/29飯 5着8R 3.431 3.34 ST 0.10,03/28飯 7着7R 3.424 3.33 ST 0.05,03/27飯 2着8R 3.399 3.33 ST 0.08,03/22飯 3着6R 3.718 3.69 ST 0.10,03/21飯 5着6R 3.413 3.32 ST 0.06,03/20飯 4着6R 3.407 3.35 ST 0.11,03/19飯 2着5R 3.386 3.30 ST 0.13,04/04飯 4着3R 3.462 3.37 ST 0.15,03/29飯 5着8R 3.431 3.34 ST 0.10,03/28飯 7着7R 3.424 3.33 ST 0.05,03/27飯 2着8R 3.399 3.33 ST 0.08,03/21飯 5着6R 3.413 3.32 ST 0.06,4.6,-,20%,03/30飯 4着3R 3.759 3.70 ST 0.11,03/22飯 3着6R 3.718 3.69 ST 0.10,03/04川 4着1R 3.621 3.59 ST 0.08,02/14飯 3着4R 3.652 3.60 ST 0.05,01/21飯 7着2R 3.698 3.62 ST 0.12,4.2,-,-,03/31飯 1着6R 3.547 3.48 ST 0.06,-,-,-,-,1,-,100%,41,1,0,0.10,1/2 1/6,30.0%,40.0%,3.33,3.419,3.386 (飯),26.1%,18/69,69,8.3%,1/12,12,1,0,6,276,305,326,12.2%,25.6%,40.0%
5,阿部　仁志,"投票締切
19:35",19:37,20,-,099,"2連率
40.0
3連率
50.0",04/04飯 2着2R 3.461 3.35 ST 0.15,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,03/27飯 5着4R 3.408 3.30 ST 0.12,03/22飯 ②着8R 3.733 3.64 ST 0.09,03/21飯 1着5R 3.415 3.31 ST 0.12,03/20飯 5着8R 3.436 3.32 ST 0.13,03/19飯 3着2R 3.422 3.30 ST 0.21,04/04飯 2着2R 3.461 3.35 ST 0.15,03/29飯 2着2R 3.421 3.32 ST 0.16,03/28飯 5着2R F 3.424 3.32 ST 0.12,03/27飯 5着4R 3.408 3.30 ST 0.12,03/21飯 1着5R 3.415 3.31 ST 0.12,3,-,60%,03/31飯 7着1R 3.727 3.61 ST 0.18,03/30飯 4着1R 3.781 3.66 ST 0.24,03/22飯 ②着8R 3.733 3.64 ST 0.09,02/02飯 3着5R 3.651 3.61 ST 0.01,-,4,-,25%,-,-,-,-,-,-,-,-,44,2,0,0.12,1/3 1/5,40.0%,50.0%,3.32,3.419,3.393 (飯),38.2%,29/76,76,23.1%,3/13,13,2,0,0,396,417,484,14.0%,28.7%,45.8%
6,越智　尚寿,"投票締切
19:35",19:37,30,-,086,"2連率
50.0
3連率
60.0",04/04飯 3着7R 3.443 3.48 ST 0.24,03/31飯 4着6R 3.579 3.51 ST 0.06,03/30飯 1着5R 3.749 3.71 ST 0.11,03/29飯 7着4R 3.447 3.34 ST 0.06,03/28飯 4着8R 3.402 3.33 ST 0.11,03/27飯 2着3R 3.415 3.32 ST 0.08,03/22飯 ①着8R 3.707 3.63 ST 0.09,03/21飯 2着7R 3.401 3.33 ST 0.10,03/20飯 1着5R 3.399 3.31 ST 0.17,03/19飯 4着4R 3.415 3.32 ST 0.21,03/29飯 7着4R 3.447 3.34 ST 0.06,03/28飯 4着8R 3.402 3.33 ST 0.11,03/27飯 2着3R 3.415 3.32 ST 0.08,03/21飯 2着7R 3.401 3.33 ST 0.10,03/20飯 1着5R 3.399 3.31 ST 0.17,3.2,-,60%,03/30飯 1着5R 3.749 3.71 ST 0.11,03/22飯 ①着8R 3.707 3.63 ST 0.09,03/09飯 2着7R 3.660 3.66 ST 0.15,03/03飯 1着6R 3.606 3.56 ST 0.10,03/02飯 6着6R 3.743 3.59 ST 0.14,2.2,-,80%,04/04飯 3着7R 3.443 3.48 ST 0.24,03/31飯 4着6R 3.579 3.51 ST 0.06,-,-,-,3.5,-,-,42,2,1,0.13,3/2 1/4,50.0%,60.0%,3.34,3.426,3.399 (飯),31.8%,21/66,66,66.7%,12/18,18,2,1,11,546,497,516,14.7%,28.0%,41.9%
7,浦田　信輔,"投票締切
19:35",19:37,30,-,104,"2連率
20.0
3連率
30.0",04/04飯 1着9R 3.392 3.30 ST 0.16,03/31飯 5着4R 3.627 3.52 ST 0.13,03/30飯 2着5R 3.772 3.70 ST 0.15,03/29飯 6着4R 3.415 3.30 ST 0.06,03/28飯 3着2R 3.405 3.31 ST 0.01,03/27飯 6着5R 3.441 3.30 ST 0.11,03/22浜 8着4R 3.448 3.36 ST 0.12,03/21浜 4着5R 3.441 3.34 ST 0.06,03/20浜 7着1R 3.453 3.33 ST 0.16,03/18浜 落因3R - 3.34 ST 0.11,04/04飯 1着9R 3.392 3.30 ST 0.16,03/29飯 6着4R 3.415 3.30 ST 0.06,03/28飯 3着2R 3.405 3.31 ST 0.01,03/27飯 6着5R 3.441 3.30 ST 0.11,03/22浜 8着4R 3.448 3.36 ST 0.12,4.8,-,20%,03/30飯 2着5R 3.772 3.70 ST 0.15,-,-,-,-,2,-,100%,03/31飯 5着4R 3.627 3.52 ST 0.13,-,-,-,-,5,-,-,35,0,0,0.13,1/1 1/6,20.0%,30.0%,3.32,3.424,3.392 (飯),26.3%,15/57,57,14.3%,1/7,7,0,0,116,1489,754,592,33.4%,50.3%,63.6%
8,新井　日和,"投票締切
19:35",19:37,30,-,084,"2連率
20.0
3連率
60.0",04/04飯 1着12R 3.403 3.31 ST 0.22,04/04飯 3着6R 3.486 3.35 ST 0.33,03/31浜 5着5R 3.917 3.78 ST 0.25,03/30浜 8着11R 3.436 3.35 ST 0.18,03/29浜 3着6R 3.432 3.36 ST 0.18,03/29浜 3着2R 3.453 3.36 ST 0.25,03/22浜 3着10R 3.381 3.33 ST 0.10,03/21浜 6着9R 3.406 3.33 ST 0.04,03/20浜 5着6R 3.426 3.34 ST 0.06,03/19浜 1着8R 3.389 3.34 ST 0.07,04/04飯 1着12R 3.403 3.31 ST 0.22,03/30浜 8着11R 3.436 3.35 ST 0.18,03/29浜 3着6R 3.432 3.36 ST 0.18,03/29浜 3着2R 3.453 3.36 ST 0.25,03/22浜 3着10R 3.381 3.33 ST 0.10,3.6,-,20%,03/31浜 5着5R 3.917 3.78 ST 0.25,03/03山 3着10R 3.629 3.55 ST 0.19,03/02山 5着10R 3.711 3.65 ST 0.19,02/10飯 ⑥着8R 3.677 3.60 ST 0.14,-,4.8,-,-,04/04飯 3着6R 3.486 3.35 ST 0.33,-,-,-,-,3,-,-,43,2,0,0.14,2/0 4/4,20.0%,60.0%,3.33,3.414,3.381 (浜),29.5%,18/61,61,16.7%,1/6,6,2,0,2,136,74,85,23.0%,35.5%,49.9%
