場所,グレード,日付,レース,距離,発走予定,印(良),印(湿),車,選手名,ハンデ,偏差,前日ゴール時間(良),前日予想競走T(良),前日ゴール時間(湿),前日予想競走T(湿),試走T,連率,競走車,所属,期,年齢,車級,ランク,近10_1,近10_2,近10_3,近10_4,近10_5,近10_6,近10_7,近10_8,近10_9,近10_10,良5_前1,良5_前2,良5_前3,良5_前4,良5_前5,良5_平近順位,良5_近況,良5_2連対率,湿5_前1,湿5_前2,湿5_前3,湿5_前4,湿5_前5,湿5_平近順位,湿5_近況,湿5_2連対率,斑5_前1,斑5_前2,斑5_前3,斑5_前4,斑5_前5,斑5_平近順位,斑5_近況,斑5_2連対率,予想着順(良),予想着順(湿)
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37, , ,1,落合　春翔,0,093,108.59,3.503,119.15,3.844,,2連率 10.0 3連率 30.0,０４オッチー,川口,39期,22歳,2級,B-135,04/13川 3着4R 3.487 3.42 ST 0.20,04/12川 5着2R 3.497 3.41 ST 0.19,04/11川 6着8R 3.503 3.43 ST 0.18,04/07川 3着5R 3.777 3.79 ST 0.22,04/06川 7着5R 3.574 3.46 ST 0.25,04/05川 8着6R 3.532 3.41 ST 0.12,03/28川 8着9R 3.526 3.44 ST 0.23,03/27川 8着12R 3.513 再3.43 ST 0.18,03/26川 2着4R 3.916 3.82 ST 0.11,03/14浜 6着1R 3.539 3.45 ST 0.18,04/13川 3着4R 3.487 3.42 ST 0.20,04/12川 5着2R 3.497 3.41 ST 0.19,04/11川 6着8R 3.503 3.43 ST 0.18,04/06川 7着5R 3.574 3.46 ST 0.25,04/05川 8着6R 3.532 3.41 ST 0.12,5.8,,,04/07川 3着5R 3.777 3.79 ST 0.22,03/26川 2着4R 3.916 3.82 ST 0.11,02/25川 1着3R 3.868 3.82 ST 0.22,-,-,2,,66.7%,-,-,-,-,-,,,,6,8
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37,▲,◎,2,増田　伸一,30,095,108.45,3.465,114.56,3.660,,2連率 20.0 3連率 20.0,カグラ,川口,23期,55歳,1級,A-194,04/07川 5着9R 3.448 3.36 ST 0.14,04/06川 8着10R 3.471 3.39 ST 0.04,04/05川 2着8R 3.449 3.36 ST 0.16,03/28川 6着7R 3.468 3.36 ST 0.17,03/27川 5着1R 3.468 3.36 ST 0.27,03/26川 5着12R 3.660 3.60 ST 0.10,03/08川 1着8R 3.442 3.37 ST 0.22,03/07川 4着7R 3.455 3.39 ST 0.14,03/06川 4着3R 3.435 3.36 ST 0.17,03/05川 7着10R 3.461 3.37 ST 0.17,04/06川 8着10R 3.471 3.39 ST 0.04,04/05川 2着8R 3.449 3.36 ST 0.16,03/28川 6着7R 3.468 3.36 ST 0.17,03/27川 5着1R 3.468 3.36 ST 0.27,03/06川 4着3R 3.435 3.36 ST 0.17,5,,20%,03/26川 5着12R 3.660 3.60 ST 0.10,-,-,-,-,5,,,04/07川 5着9R 3.448 3.36 ST 0.14,-,-,-,-,5,,,3,1
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37, , ,3,福田　裕二,30,096,109.01,3.483,117.98,3.769,,2連率 30.0 3連率 40.0,Ｅフォース,川口,20期,59歳,1級,A-78,04/13川 6着5R 3.473 3.38 ST 0.13,04/12川 2着1R 3.479 3.39 ST 0.24,04/11川 6着2R 3.490 3.39 ST 0.13,04/07川 5着1R 3.804 3.40 ST 0.16,04/06川 7着7R 3.490 3.40 ST 0.09,04/05川 6着3R 3.465 3.38 ST 0.25,03/28川 ⑧着12R 3.481 3.36 ST 0.20,03/27川 2着12R 3.431 3.35 ST 0.19,03/26川 1着9R 3.728 3.67 ST 0.13,03/17伊 3着1R 3.471 3.36 ST 0.14,04/13川 6着5R 3.473 3.38 ST 0.13,04/12川 2着1R 3.479 3.39 ST 0.24,04/11川 6着2R 3.490 3.39 ST 0.13,04/06川 7着7R 3.490 3.40 ST 0.09,04/05川 6着3R 3.465 3.38 ST 0.25,5.4,,20%,04/07川 5着1R 3.804 3.40 ST 0.16,03/26川 1着9R 3.728 3.67 ST 0.13,03/03浜 5着1R 3.776 3.65 ST 0.19,02/25川 1着6R 3.826 3.79 ST 0.28,02/11川 2着1R 3.718 3.63 ST 0.13,2.8,,60%,-,-,-,-,-,,,,7,6
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37, ,〇,4,山崎　　進,40,108,109.1,3.475,114.69,3.653,,2連率 10.0 3連率 20.0,ピークスパイダ,山陽,26期,48歳,1級,A-114,04/12山 4着4R 3.473 3.37 ST 0.07,04/11山 5着6R 3.482 3.38 ST 0.10,04/10山 8着11R 3.477 3.37 ST 0.08,04/09山 3着8R 3.723 3.40 ST 0.10,04/08山 4着9R 3.441 3.35 ST 0.07,04/03山 6着5R 3.457 3.35 ST 0.19,04/02山 4着9R 3.415 3.32 ST 0.24,04/01山 4着9R 3.622 3.54 ST 0.18,03/28川 1着9R 3.439 3.36 ST 0.17,03/27川 7着10R 3.471 3.35 ST 0.05,04/12山 4着4R 3.473 3.37 ST 0.07,04/11山 5着6R 3.482 3.38 ST 0.10,04/08山 4着9R 3.441 3.35 ST 0.07,04/02山 4着9R 3.415 3.32 ST 0.24,03/28川 1着9R 3.439 3.36 ST 0.17,3.6,,20%,04/09山 3着8R 3.723 3.40 ST 0.10,04/01山 4着9R 3.622 3.54 ST 0.18,03/26川 2着12R 3.613 3.60 ST 0.13,03/18山 3着5R 3.744 3.67 ST 0.20,03/06山 5着4R 3.623 3.55 ST 0.13,3.4,,20%,04/10山 8着11R 3.477 3.37 ST 0.08,04/03山 6着5R 3.457 3.35 ST 0.19,-,-,-,7,,,8,2
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37,◎, ,5,武藤　博臣,40,084,107.51,3.424,118.83,3.784,,2連率 30.0 3連率 40.0,ゲンシチ,川口,28期,42歳,1級,A-155,04/13川 5着6R 3.428 3.35 ST 0.07,04/12川 5着7R 3.417 3.33 ST 0.11,04/11川 3着8R 3.417 3.34 ST 0.18,04/07川 2着8R 3.419 3.37 ST 0.13,04/06川 4着5R 3.468 3.36 ST 0.19,04/05川 4着10R 3.428 3.34 ST 0.13,03/22飯 ④着8R 3.772 3.69 ST 0.14,03/21飯 2着6R 3.397 3.30 ST 0.11,03/20飯 4着7R 3.419 3.32 ST 0.09,03/19飯 1着4R 3.393 3.34 ST 0.14,04/13川 5着6R 3.428 3.35 ST 0.07,04/12川 5着7R 3.417 3.33 ST 0.11,04/11川 3着8R 3.417 3.34 ST 0.18,04/06川 4着5R 3.468 3.36 ST 0.19,04/05川 4着10R 3.428 3.34 ST 0.13,4.2,,,03/22飯 ④着8R 3.772 3.69 ST 0.14,02/25川 4着2R 3.902 3.86 ST 0.23,01/24飯 8着2R 3.679 3.66 ST 0.23,01/21飯 8着1R 3.826 3.77 ST 0.17,-,6,,,04/07川 2着8R 3.419 3.37 ST 0.13,-,-,-,-,2,,100%,1,7
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37,注,注,6,影山　　伸,40,088,108.58,3.458,117.91,3.755,,2連率 0.0 3連率 30.0,ブイシュガ,川口,22期,57歳,1級,A-21,04/12山 5着2R 3.460 3.38 ST 0.07,04/11山 6着5R 3.469 3.35 ST 0.14,04/10山 5着1R 3.695 3.63 ST 0.20,04/09山 3着1R 3.688 3.59 ST 0.05,04/08山 8着6R 3.469 3.38 ST 0.16,03/28川 4着11R 3.439 3.36 ST 0.13,03/27川 3着10R 3.423 3.33 ST 0.13,03/26川 3着4R 3.882 3.83 ST 0.20,03/22浜 8着2R 3.453 3.36 ST 0.10,03/21浜 7着6R 3.473 3.38 ST 0.14,04/12山 5着2R 3.460 3.38 ST 0.07,04/11山 6着5R 3.469 3.35 ST 0.14,04/08山 8着6R 3.469 3.38 ST 0.16,03/28川 4着11R 3.439 3.36 ST 0.13,03/27川 3着10R 3.423 3.33 ST 0.13,5.2,,,04/10山 5着1R 3.695 3.63 ST 0.20,04/09山 3着1R 3.688 3.59 ST 0.05,03/26川 3着4R 3.882 3.83 ST 0.20,03/18浜 2着12R 3.820 3.35 ST 0.06,02/11川 5着5R 3.681 3.57 ST 0.12,3.6,,20%,-,-,-,-,-,,,,5,5
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37,〇,▲,7,泉田　修佑,50,085,108.1,3.432,114.7,3.641,,2連率 10.0 3連率 40.0,ウーチャン,川口,33期,29歳,1級,A-27,04/12山 3着11R 3.415 3.34 ST 0.08,04/11山 4着10R 3.437 3.38 ST 0.12,04/10山 5着10R 3.395 3.34 ST 0.10,04/09山 1着6R 3.417 3.31 ST 0.08,04/08山 4着1R 3.429 3.32 ST 0.11,04/03山 5着7R 3.409 3.35 ST 0.11,04/02山 3着7R 3.393 3.30 ST 0.18,04/01山 3着2R 3.640 3.59 ST 0.22,03/28川 7着11R 3.437 3.33 ST 0.03,03/27川 4着9R 3.430 3.37 ST 0.15,04/12山 3着11R 3.415 3.34 ST 0.08,04/11山 4着10R 3.437 3.38 ST 0.12,04/08山 4着1R 3.429 3.32 ST 0.11,04/02山 3着7R 3.393 3.30 ST 0.18,03/28川 7着11R 3.437 3.33 ST 0.03,4.2,,,04/01山 3着2R 3.640 3.59 ST 0.22,03/26川 3着12R 3.602 3.57 ST 0.13,02/11川 1着1R 3.682 3.60 ST 0.17,-,-,2.3,,33.3%,04/10山 5着10R 3.395 3.34 ST 0.10,04/09山 1着6R 3.417 3.31 ST 0.08,04/03山 5着7R 3.409 3.35 ST 0.11,-,-,3.7,,33.3%,2,3
kawaguchi,令和８年度川口市営　普通開催　４／１８～,4月18日(土),予選6R,3100m,17:37,△,△,8,山田　達也,50,099,108.54,3.446,117.09,3.717,,2連率 50.0 3連率 60.0,イプシロン,川口,28期,42歳,1級,S-48,04/12山 1着1R 3.413 3.33 ST 0.09,04/11山 4着3R 3.455 3.35 ST 0.14,04/10山 5着6R 3.612 3.53 ST 0.13,04/09山 4着5R 3.433 3.32 ST 0.16,04/08山 6着11R 3.442 3.36 ST 0.20,03/28川 ②着12R 3.391 3.30 ST 0.09,03/27川 1着11R 3.406 3.30 ST 0.17,03/26川 2着5R 3.822 3.70 ST 0.25,03/22浜 1着5R 3.437 3.30 ST 0.11,03/21浜 3着1R 3.412 3.32 ST 0.11,04/12山 1着1R 3.413 3.33 ST 0.09,04/11山 4着3R 3.455 3.35 ST 0.14,04/08山 6着11R 3.442 3.36 ST 0.20,03/28川 ②着12R 3.391 3.30 ST 0.09,03/27川 1着11R 3.406 3.30 ST 0.17,2.8,,60%,04/10山 5着6R 3.612 3.53 ST 0.13,03/26川 2着5R 3.822 3.70 ST 0.25,-,-,-,3.5,,50%,04/09山 4着5R 3.433 3.32 ST 0.16,-,-,-,-,4,,,4,4
